"individual" "tissue_type"
"F001.C1.T" "C1" "T"
"F002.C1.N" "C1" "N"
"F003.C1.M" "C1" "M"
"F004.C2.T" "C2" "T"
"F005.C2.N" "C2" "N"
"F007.C3.T" "C3" "T"
"F009.C4.T" "C4" "T"
"F010.C4.N" "C4" "N"
"F014.C5.N" "C5" "N"
"F017.C7.T" "C7" "T"
"F018.C7.N" "C7" "N"
"F019.C7.M" "C7" "M"
"F020.C8.T" "C8" "T"
"F022.C8.M" "C8" "M"
"F023.C8.M" "C8" "M"
"F024.C9.T" "C9" "T"
"F025.C9.M" "C9" "M"
"F026.C10.T" "C10" "T"
"F028.C10.N" "C10" "N"
"F029.C10.M" "C10" "M"
"F030.C10.M" "C10" "M"
"F032.C11.T" "C11" "T"
"F033.C11.N" "C11" "N"
"F034.C11.M" "C11" "M"
"F035.C11.M" "C11" "M"
"F036.C12.T" "C12" "T"
"F037.C12.N" "C12" "N"
"F039.C12.M" "C12" "M"
"F040.C12.M" "C12" "M"
"F041.C13.T" "C13" "T"
"F042.C13.N" "C13" "N"
"F043.C14.N" "C14" "N"
"F044.C15.T" "C15" "T"
"F045.C15.N" "C15" "N"
"F046.C16.T" "C16" "T"
"F047.C16.N" "C16" "N"
"F048.C17.T" "C17" "T"
"F049.C17.N" "C17" "N"
"F050.C18.T" "C18" "T"
"F051.C18.N" "C18" "N"
"F053.C18.M" "C18" "M"
"F054.C18.M" "C18" "M"
"F055.C19.T" "C19" "T"
"F056.C19.N" "C19" "N"
"F057.C20.T" "C20" "T"
"F058.C20.N" "C20" "N"
"F059.C21.T" "C21" "T"
"F060.C21.N" "C21" "N"
"F061.C21.M" "C21" "M"
"F062.C22.T" "C22" "T"
"F063.C22.N" "C22" "N"
"F064.C23.T" "C23" "T"
"F065.C23.N" "C23" "N"
"F066.C23.M" "C23" "M"
"F067.C23.M" "C23" "M"
"F068.C24.T" "C24" "T"
"F069.C24.N" "C24" "N"
"F070.C25.T" "C25" "T"
"F071.C25.N" "C25" "N"
"F072.C25.M" "C25" "M"
"F073.C25.M" "C25" "M"
"F074.C26.T" "C26" "T"
"F075.C26.N" "C26" "N"
"F076.C26.M" "C26" "M"
"F078.C26.M" "C26" "M"
"F079.C27.T" "C27" "T"
"F080.C27.N" "C27" "N"
"F081.C27.M" "C27" "M"
"F083.C28.N" "C28" "N"
"F084.C28.M" "C28" "M"
"F085.C28.M" "C28" "M"
"F086.C29.M" "C29" "M"
"F087.C29.M" "C29" "M"
"F088.C30.T" "C30" "T"
"F089.C30.N" "C30" "N"
"F090.C30.M" "C30" "M"
"F093.C31.N" "C31" "N"
"F095.C31.M" "C31" "M"
"F096.C31.M" "C31" "M"
"F097.C31.M" "C31" "M"
"F098.C32.T" "C32" "T"
"F099.C32.T" "C32" "T"
"F100.C33.T" "C33" "T"
"F103.C35.T" "C35" "T"
"F104.C35.N" "C35" "N"
"F105.C36.T" "C36" "T"
"F106.C27.M" "C27" "M"
