NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC25A22	3042	2.2991886138916016	-0.16558304	No	
row_1	GPD2	3274	2.1276395320892334	-0.16910823	No	
row_2	DHRS2	5013	1.0878067016601562	-0.26475772	No	
row_3	ENOX2	5773	0.76455157995224	-0.3051874	No	
row_4	NDUFV2	6265	0.5943731069564819	-0.33087924	No	
row_5	NDUFS5	7044	0.3668118715286255	-0.37425247	No	
row_6	NDOR1	7418	0.2838449776172638	-0.3945468	No	
row_7	UQCRHL	7752	0.21082423627376556	-0.41286206	No	
row_8	SLC25A51	8380	0.09554734826087952	-0.44874406	No	
row_9	NDUFS8	8742	0.037574660032987595	-0.46948418	No	
row_10	NDUFAB1	8968	0.005071628838777542	-0.48249584	No	
row_11	SDHB	9023	-9.503583423793316E-4	-0.48561987	No	
row_12	UQCRH	9118	-0.009667953476309776	-0.4910209	No	
row_13	COA6	9741	-0.10062915831804276	-0.52658963	No	
row_14	SLC25A18	9880	-0.12257704883813858	-0.5340166	No	
row_15	NDUFB10	9973	-0.1429796814918518	-0.5386841	No	
row_16	COX4I2	10105	-0.16826264560222626	-0.5454939	No	
row_17	COX4I1	10491	-0.2546081840991974	-0.5666189	No	
row_18	UQCRB	10503	-0.2573062479496002	-0.56606406	No	
row_19	NDUFB8	10642	-0.2898830771446228	-0.5727159	No	
row_20	UQCC3	11457	-0.536163866519928	-0.6173901	No	
row_21	ETFA	11661	-0.5943304300308228	-0.62639713	No	
row_22	COX6B1	11664	-0.5949235558509827	-0.62375665	No	
row_23	SDHA	11810	-0.641370952129364	-0.62918556	No	
row_24	COX7C	11828	-0.6476640701293945	-0.6271697	No	
row_25	NDUFS7	11874	-0.6611036062240601	-0.6267138	No	
row_26	SLC25A13	12091	-0.7408452033996582	-0.6357951	No	
row_27	NDUFA4	12168	-0.772903561592102	-0.6366172	No	
row_28	NDUFS2	12203	-0.7847267389297485	-0.63495123	No	
row_29	SDHAF2	12216	-0.790374219417572	-0.63198453	No	
row_30	UQCRC1	12353	-0.8453896045684814	-0.63594675	No	
row_31	UQCRFS1P1	12658	-0.9763363003730774	-0.6490353	No	
row_32	NDUFA9	12819	-1.0544042587280273	-0.65341955	No	
row_33	UQCRQ	13299	-1.3120225667953491	-0.6750912	No	
row_34	NDUFA2	13362	-1.3463454246520996	-0.67244536	No	
row_35	NDUFAF1	13543	-1.4788916110992432	-0.67602164	Yes	
row_36	SDHC	13566	-1.4938242435455322	-0.6703751	Yes	
row_37	NDUFS6	13601	-1.5115705728530884	-0.6653416	Yes	
row_38	ETFRF1	13626	-1.532164454460144	-0.65963334	Yes	
row_39	NDUFS3	13731	-1.6074053049087524	-0.6582112	Yes	
row_40	COX7A2	13889	-1.7307751178741455	-0.659288	Yes	
row_41	NDUFB4	14050	-1.8782931566238403	-0.65985507	Yes	
row_42	CYC1	14057	-1.8860586881637573	-0.65146434	Yes	
row_43	NDUFS4	14063	-1.8904919624328613	-0.6429952	Yes	
row_44	COX15	14072	-1.896417498588562	-0.63467234	Yes	
row_45	UQCR11	14148	-1.9618736505508423	-0.6299278	Yes	
row_46	NDUFS1	14150	-1.9621472358703613	-0.6208949	Yes	
row_47	AFG1L	14222	-2.02341890335083	-0.6156335	Yes	
row_48	COX5A	14631	-2.4632315635681152	-0.62785816	Yes	
row_49	UQCRC2	14708	-2.5386762619018555	-0.6204992	Yes	
row_50	NDUFV1	14766	-2.592885732650757	-0.6117883	Yes	
row_51	NDUFA10	14787	-2.6135756969451904	-0.600838	Yes	
row_52	UQCRFS1	14880	-2.725820302963257	-0.5935389	Yes	
row_53	NDUFA3	14921	-2.783438205718994	-0.5829603	Yes	
row_54	NDUFB9	14957	-2.834733486175537	-0.57185435	Yes	
row_55	NDUFA8	14965	-2.84342885017395	-0.55908597	Yes	
row_56	NDUFB5	14992	-2.8884167671203613	-0.5472099	Yes	
row_57	COX6A1	15110	-3.0599753856658936	-0.53981096	Yes	
row_58	NDUFC2	15178	-3.1486127376556396	-0.52910465	Yes	
row_59	NDUFC1	15282	-3.3019423484802246	-0.5197736	Yes	
row_60	COX6C	15396	-3.4943923950195312	-0.5101303	Yes	
row_61	SDHD	15558	-3.7836246490478516	-0.5019277	Yes	
row_62	NDUFB1	15580	-3.827535629272461	-0.48541093	Yes	
row_63	NDUFB6	15588	-3.8428196907043457	-0.46801224	Yes	
row_64	ETFB	15608	-3.8815200328826904	-0.45112947	Yes	
row_65	NDUFB3	15616	-3.903435230255127	-0.43344995	Yes	
row_66	UQCR10	15642	-3.9532318115234375	-0.41658255	Yes	
row_67	NDUFA12	15776	-4.220357894897461	-0.4047344	Yes	
row_68	SLC25A12	15866	-4.423160552978516	-0.38939753	Yes	
row_69	NDUFA6	15900	-4.541218280792236	-0.3702694	Yes	
row_70	COX5B	15913	-4.56729793548584	-0.3498038	Yes	
row_71	NDUFB7	16060	-4.923641681671143	-0.3354504	Yes	
row_72	COX7B	16150	-5.180792808532715	-0.31660333	Yes	
