NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NR1D1	389	6.60532808303833	-0.0056064427	No	
row_1	GSK3B	1734	3.5382137298583984	-0.07469595	No	
row_2	ME3	1953	3.286893367767334	-0.07890739	No	
row_3	LEP	2059	3.193002939224243	-0.07678502	No	
row_4	GYG1	3028	2.310640811920166	-0.12715884	No	
row_5	SLC25A22	3042	2.2991886138916016	-0.12198722	No	
row_6	ADGRF1	3104	2.2469747066497803	-0.11974354	No	
row_7	GPD2	3274	2.1276395320892334	-0.12409245	No	
row_8	CS	3561	1.9098260402679443	-0.13581163	No	
row_9	PHKG2	4186	1.5107039213180542	-0.16822934	No	
row_10	STBD1	4215	1.4976555109024048	-0.16599728	No	
row_11	GYG2	5036	1.0739455223083496	-0.21094707	No	
row_12	MTFR2	5361	0.9342364072799683	-0.22739303	No	
row_13	GYS1	5390	0.9201105833053589	-0.22665007	No	
row_14	ADGRF5	5483	0.8829318284988403	-0.22972737	No	
row_15	PYGB	5533	0.8628822565078735	-0.23035406	No	
row_16	PYGL	5690	0.8010197281837463	-0.23736694	No	
row_17	MDH1	5903	0.7153905630111694	-0.24785948	No	
row_18	UGP2	6143	0.6333481073379517	-0.26013476	No	
row_19	ACSM1	6227	0.6043266654014587	-0.26340666	No	
row_20	NDUFV2	6265	0.5943731069564819	-0.26402733	No	
row_21	NDUFS5	7044	0.3668118715286255	-0.30835623	No	
row_22	C2orf69	7487	0.2680521011352539	-0.3333867	No	
row_23	MTLN	7488	0.26786115765571594	-0.33269605	No	
row_24	PER2	7601	0.24688425660133362	-0.33857718	No	
row_25	UQCRHL	7752	0.21082423627376556	-0.34676266	No	
row_26	OXA1L	7807	0.20057618618011475	-0.34938797	No	
row_27	ATP5F1E	7830	0.194206103682518	-0.35016748	No	
row_28	SLC25A51	8380	0.09554734826087952	-0.38186947	No	
row_29	ACO1	8523	0.07028990238904953	-0.38995174	No	
row_30	NDUFS8	8742	0.037574660032987595	-0.40254107	No	
row_31	SDHAF4	8781	0.03179285302758217	-0.40467045	No	
row_32	NR4A3	8914	0.01174602285027504	-0.41232172	No	
row_33	SUCLG2	8926	0.009900662116706371	-0.41293633	No	
row_34	NDUFAB1	8968	0.005071628838777542	-0.4153092	No	
row_35	ATP5MF	9007	-1.4005566299601924E-5	-0.41752052	No	
row_36	MRPS36	9016	-3.729199816007167E-4	-0.4179851	No	
row_37	SDHB	9023	-9.503583423793316E-4	-0.41833183	No	
row_38	SIRT3	9110	-0.009224780835211277	-0.4233127	No	
row_39	UQCRH	9118	-0.009667953476309776	-0.42369512	No	
row_40	GAA	9238	-0.024643657729029655	-0.43055663	No	
row_41	BLOC1S1	9269	-0.028821535408496857	-0.43222812	No	
row_42	ATP5F1EP2	9385	-0.04415952414274216	-0.43880653	No	
row_43	COA6	9741	-0.10062915831804276	-0.45920584	No	
row_44	SLC25A18	9880	-0.12257704883813858	-0.46692052	No	
row_45	NDUFB10	9973	-0.1429796814918518	-0.47190568	No	
row_46	COX4I2	10105	-0.16826264560222626	-0.4790952	No	
row_47	RB1CC1	10392	-0.23177744448184967	-0.495141	No	
row_48	COX4I1	10491	-0.2546081840991974	-0.5001875	No	
row_49	UQCRB	10503	-0.2573062479496002	-0.5001642	No	
row_50	ATP5MG	10587	-0.27688494324684143	-0.5042804	No	
row_51	NDUFB8	10642	-0.2898830771446228	-0.5066754	No	
row_52	LEPR	10710	-0.30871036648750305	-0.50977844	No	
row_53	NDUFA13	10801	-0.3300207853317261	-0.5141649	No	
row_54	IREB2	10841	-0.34124934673309326	-0.5155546	No	
row_55	DLST	11153	-0.43684032559394836	-0.53252655	No	
row_56	TEFM	11154	-0.4372052252292633	-0.53139925	No	
row_57	PPP1R3C	11292	-0.4803955554962158	-0.53813314	No	
row_58	UQCC3	11457	-0.536163866519928	-0.5462945	No	
row_59	SLC25A14	11552	-0.5661010146141052	-0.55030507	No	
row_60	ETFA	11661	-0.5943304300308228	-0.5550576	No	
row_61	COX6B1	11664	-0.5949235558509827	-0.55364007	No	
row_62	CHCHD5	11681	-0.5998692512512207	-0.5530245	No	
row_63	SDHA	11810	-0.641370952129364	-0.5588196	No	
row_64	COX7C	11828	-0.6476640701293945	-0.55813897	No	
row_65	NDUFS7	11874	-0.6611036062240601	-0.5590531	No	
