NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL28	131	8.72177505493164	0.031022912	Yes	
row_1	RPS2	626	5.644654750823975	0.027384756	Yes	
row_2	RPS4X	639	5.618854522705078	0.051566303	Yes	
row_3	RPL12	756	5.286534309387207	0.06824929	Yes	
row_4	RPL36	815	5.1204609870910645	0.08755835	Yes	
row_5	RPS8	819	5.114808082580566	0.11002987	Yes	
row_6	EEF1B2	1038	4.565522193908691	0.11760931	Yes	
row_7	RPL14	1090	4.475883960723877	0.13447024	Yes	
row_8	RPS19	1225	4.2327165603637695	0.14544436	Yes	
row_9	RPL23A	1259	4.190606594085693	0.16208543	Yes	
row_10	RPS9	1419	3.949784517288208	0.17035805	Yes	
row_11	RPL7A	1430	3.9377634525299072	0.18721262	Yes	
row_12	RPS24	1465	3.8990273475646973	0.20250478	Yes	
row_13	RPLP2	1522	3.8164117336273193	0.21615618	Yes	
row_14	RPSA	1722	3.5576248168945312	0.22037438	Yes	
row_15	RPS27L	1731	3.5405497550964355	0.23558621	Yes	
row_16	RPL39	1806	3.4579005241394043	0.24660717	Yes	
row_17	RPS28	1811	3.456132411956787	0.2616771	Yes	
row_18	RPL13	1869	3.3847289085388184	0.2733593	Yes	
row_19	RPL13A	1897	3.3448939323425293	0.28660375	Yes	
row_20	RPL32	1903	3.339838981628418	0.30110085	Yes	
row_21	RPL22L1	1905	3.336925983428955	0.31581685	Yes	
row_22	EEF1A1P5	1932	3.313854455947876	0.32898185	Yes	
row_23	RPL10A	2011	3.2388346195220947	0.3388011	Yes	
row_24	RPL8	2024	3.228666067123413	0.35240027	Yes	
row_25	RPS20	2070	3.1837635040283203	0.36388817	Yes	
row_26	RPS5	2241	3.022024154663086	0.3674157	Yes	
row_27	RPS15	2250	3.0079245567321777	0.3802694	Yes	
row_28	RPL4	2266	2.988466739654541	0.39263126	Yes	
row_29	RPL38	2326	2.9275567531585693	0.4021735	Yes	
row_30	UBA52	2346	2.905329704284668	0.41393545	Yes	
row_31	RPL31	2367	2.874635934829712	0.42550358	Yes	
row_32	RPS18	2471	2.790492296218872	0.43188894	Yes	
row_33	RPS12	2567	2.700981855392456	0.43834168	Yes	
row_34	RPS11	2583	2.6871345043182373	0.4493694	Yes	
row_35	EEF1A1	2599	2.6678383350372314	0.4603117	Yes	
row_36	RPS3	2655	2.625086784362793	0.4687466	Yes	
row_37	RPLP0	2670	2.6120688915252686	0.47949994	Yes	
row_38	RPL41	2680	2.605518341064453	0.49051407	Yes	
row_39	RPL19	2716	2.5755975246429443	0.4998889	Yes	
row_40	RPLP1	2745	2.554476022720337	0.5095759	Yes	
row_41	RPL29	2750	2.5498242378234863	0.5206332	Yes	
row_42	RPL35	2752	2.547894239425659	0.5318559	Yes	
row_43	RPS23	2771	2.5314488410949707	0.54202044	Yes	
row_44	RPL37A	2781	2.526059150695801	0.55268276	Yes	
row_45	RPL10	2787	2.5213451385498047	0.563556	Yes	
row_46	RPL11	2844	2.47769832611084	0.5712804	Yes	
row_47	RPS29	2919	2.409177780151367	0.57765824	Yes	
row_48	RPL27	2922	2.406339168548584	0.58819616	Yes	
row_49	RPL37	3033	2.309349775314331	0.59204566	Yes	
row_50	RPS27	3059	2.282564163208008	0.60070264	Yes	
row_51	RPS6	3105	2.2466390132904053	0.6080415	Yes	
row_52	RPL18	3178	2.2020180225372314	0.6136181	Yes	
row_53	RPL26	3196	2.190584897994995	0.6223315	Yes	
row_54	RPL23	3208	2.1857221126556396	0.6313711	Yes	
