NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF3A	2528	2.739095687866211	-0.13087477	No	
row_1	TEDC2	2566	2.701723098754883	-0.117697835	No	
row_2	CEP97	3098	2.250786781311035	-0.13568735	No	
row_3	TCTN3	3609	1.8733153343200684	-0.15460108	No	
row_4	CEP76	4678	1.24387526512146	-0.20939995	No	
row_5	BBS2	5661	0.8102782368659973	-0.26167688	No	
row_6	CEP295	5979	0.6871587634086609	-0.27613914	No	
row_7	C2CD3	6340	0.5696108937263489	-0.29375827	No	
row_8	SASS6	6712	0.45837754011154175	-0.31264517	No	
row_9	TRAPPC11	7123	0.34671053290367126	-0.3344239	No	
row_10	TMEM216	7339	0.29704809188842773	-0.34519103	No	
row_11	CEP104	7909	0.18216057121753693	-0.37711117	No	
row_12	ARL13B	8046	0.15701211988925934	-0.38409713	No	
row_13	SCLT1	8132	0.1422939896583557	-0.38821295	No	
row_14	TMEM231	8489	0.07778420299291611	-0.40838927	No	
row_15	IFT80	8509	0.0736832544207573	-0.4090718	No	
row_16	OFD1	8568	0.06397489458322525	-0.41206807	No	
row_17	BBS10	8905	0.012755529955029488	-0.4314548	No	
row_18	TMEM17	9070	-0.00531448470428586	-0.44092256	No	
row_19	INPP5E	9075	-0.005832993891090155	-0.44112116	No	
row_20	MIB1	9112	-0.009291093796491623	-0.44315335	No	
row_21	PIBF1	9171	-0.015789704397320747	-0.44642285	No	
row_22	ARMC9	9369	-0.04113489016890526	-0.45759863	No	
row_23	KATNB1	9377	-0.04310277849435806	-0.45775962	No	
row_24	TUBE1	9829	-0.11475524306297302	-0.48322812	No	
row_25	BBS1	10244	-0.20201845467090607	-0.506059	No	
row_26	EFCAB7	11077	-0.40942323207855225	-0.5519218	No	
row_27	CEP44	11095	-0.4149119257926941	-0.5505536	No	
row_28	IFT172	11558	-0.567405104637146	-0.57409245	No	
row_29	RABL2B	11820	-0.6458278298377991	-0.5855459	No	
row_30	CPLANE1	12266	-0.8118537068367004	-0.6067141	No	
row_31	RPGRIP1L	12527	-0.9188880920410156	-0.6165613	No	
row_32	TEDC1	12602	-0.9482002854347229	-0.6154703	No	
row_33	IFT57	12656	-0.975803554058075	-0.6130066	No	
row_34	TRAF3IP1	12861	-1.0791335105895996	-0.61870193	No	
row_35	CEP19	12977	-1.1351577043533325	-0.6189253	No	
row_36	EVC	13258	-1.2831794023513794	-0.6278651	No	
row_37	CC2D2A	13316	-1.3210585117340088	-0.6236753	No	
row_38	MKS1	13396	-1.3716075420379639	-0.620473	No	
row_39	BBS7	13588	-1.504269003868103	-0.6230048	No	
row_40	CDK20	13890	-1.7311733961105347	-0.63062054	Yes	
row_41	WDR35	13984	-1.811349868774414	-0.6257355	Yes	
row_42	ARL6	13992	-1.8180315494537354	-0.61583203	Yes	
row_43	DYNLT1	14023	-1.8563731908798218	-0.6070431	Yes	
row_44	DYNC2LI1	14185	-1.9958473443984985	-0.6050501	Yes	
row_45	KIAA0753	14235	-2.0341978073120117	-0.59635323	Yes	
row_46	IFT81	14266	-2.069836378097534	-0.5863539	Yes	
row_47	KIFAP3	14398	-2.1950111389160156	-0.5814941	Yes	
row_48	IFT52	14426	-2.221977710723877	-0.57045835	Yes	
row_49	BBS5	14488	-2.2936222553253174	-0.56098545	Yes	
row_50	BBS9	14491	-2.299402952194214	-0.5480628	Yes	
row_51	ARL3	14522	-2.3344452381134033	-0.5365631	Yes	
row_52	FBF1	14592	-2.4167115688323975	-0.5268555	Yes	
row_53	LZTFL1	14644	-2.4727368354797363	-0.5157878	Yes	
row_54	CLUAP1	14768	-2.5937299728393555	-0.5082038	Yes	
row_55	KIF3B	14850	-2.686343193054199	-0.4976623	Yes	
row_56	DYNC2H1	14946	-2.823789596557617	-0.48715222	Yes	
row_57	TUBD1	14963	-2.8431217670440674	-0.4719573	Yes	
row_58	IFT74	15129	-3.086651563644409	-0.4640107	Yes	
row_59	TMEM107	15248	-3.2475929260253906	-0.45242947	Yes	
row_60	TTC26	15257	-3.2542781829833984	-0.43443984	Yes	
row_61	WDPCP	15285	-3.303529977798462	-0.41727132	Yes	
row_62	CPLANE2	15514	-3.712451696395874	-0.40942472	Yes	
row_63	BBS4	15535	-3.755444049835205	-0.38928828	Yes	
row_64	TTC8	15648	-3.9631242752075195	-0.37330228	Yes	
row_65	TTC23	15962	-4.660800933837891	-0.3650009	Yes	
row_66	IFT20	15972	-4.677487850189209	-0.33899906	Yes	
row_67	CEP162	16132	-5.121876239776611	-0.31916448	Yes	
row_68	IFT27	16230	-5.4034905433654785	-0.2941424	Yes	
row_69	HSPB11	16332	-5.722618579864502	-0.26754236	Yes	
row_70	BBS12	16364	-5.806249141693115	-0.23641415	Yes	
row_71	EVC2	16411	-5.962806701660156	-0.2052669	Yes	
row_72	TCTN2	16693	-7.009300231933594	-0.18179543	Yes	
row_73	TMEM67	16733	-7.143613338470459	-0.14354719	Yes	
row_74	IFT140	16741	-7.187203884124756	-0.10319852	Yes	
row_75	RAB23	16831	-7.7240729331970215	-0.06455456	Yes	
row_76	TTC30B	16848	-7.8229660987854	-0.021122113	Yes	
row_77	TCTN1	16977	-8.780632019042969	0.021254284	Yes	
