NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM70	5131	1.0239406824111938	-0.28690234	No	
row_1	NDUFAF7	5209	0.9917015433311462	-0.2819873	No	
row_2	COA1	5481	0.8837074041366577	-0.2893054	No	
row_3	NDUFV2	6265	0.5943731069564819	-0.3289496	No	
row_4	NDUFS5	7044	0.3668118715286255	-0.37045392	No	
row_5	NDUFAF6	8535	0.06797615438699722	-0.45593417	No	
row_6	NDUFAB1	8968	0.005071628838777542	-0.4808559	No	
row_7	TMEM126B	9257	-0.02667561173439026	-0.4972504	No	
row_8	NDUFB10	9973	-0.1429796814918518	-0.5372272	No	
row_9	NDUFB8	10642	-0.2898830771446228	-0.57310003	No	
row_10	NDUFAF2	10683	-0.30414173007011414	-0.57253975	No	
row_11	NDUFA13	10801	-0.3300207853317261	-0.5761856	No	
row_12	TMEM186	12644	-0.9700159430503845	-0.6734926	No	
row_13	ACAD9	13310	-1.3187071084976196	-0.69947577	Yes	
row_14	NDUFA2	13362	-1.3463454246520996	-0.68970865	Yes	
row_15	NDUFAF1	13543	-1.4788916110992432	-0.686146	Yes	
row_16	NDUFS6	13601	-1.5115705728530884	-0.6751653	Yes	
row_17	NDUFS3	13731	-1.6074053049087524	-0.6674412	Yes	
row_18	DMAC1	13798	-1.6525046825408936	-0.6556497	Yes	
row_19	NDUFB4	14050	-1.8782931566238403	-0.6524189	Yes	
row_20	NDUFS4	14063	-1.8904919624328613	-0.6352587	Yes	
row_21	NDUFS1	14150	-1.9621472358703613	-0.6216989	Yes	
row_22	DMAC2	14338	-2.1317946910858154	-0.61237484	Yes	
row_23	NDUFAF4	14418	-2.208172559738159	-0.596087	Yes	
row_24	NDUFV1	14766	-2.592885732650757	-0.5916564	Yes	
row_25	NDUFA10	14787	-2.6135756969451904	-0.5681297	Yes	
row_26	TIMMDC1	14807	-2.6354167461395264	-0.544339	Yes	
row_27	NDUFA3	14921	-2.783438205718994	-0.5245836	Yes	
row_28	NDUFB9	14957	-2.834733486175537	-0.49983528	Yes	
row_29	NDUFB5	14992	-2.8884167671203613	-0.47452223	Yes	
row_30	NDUFC2	15178	-3.1486127376556396	-0.45547968	Yes	
row_31	NDUFC1	15282	-3.3019423484802246	-0.4302495	Yes	
row_32	NUBPL	15452	-3.5968098640441895	-0.40604937	Yes	
row_33	NDUFB1	15580	-3.827535629272461	-0.37724268	Yes	
row_34	NDUFB6	15588	-3.8428196907043457	-0.3413556	Yes	
row_35	NDUFB3	15616	-3.903435230255127	-0.3060521	Yes	
row_36	NDUFA12	15776	-4.220357894897461	-0.27538517	Yes	
row_37	NDUFA6	15900	-4.541218280792236	-0.23960723	Yes	
row_38	NDUFB11	15906	-4.552684783935547	-0.19690059	Yes	
row_39	NDUFB7	16060	-4.923641681671143	-0.15924503	Yes	
row_40	NDUFV3	16208	-5.34522008895874	-0.11726129	Yes	
row_41	NDUFA5	16419	-5.97447395324707	-0.07297627	Yes	
row_42	NDUFB2	16442	-6.07850456237793	-0.016842354	Yes	
row_43	ECSIT	16763	-7.29776668548584	0.03358186	Yes	
