NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFAF7	5209	0.9917015433311462	-0.29233587	No	
row_1	COA1	5481	0.8837074041366577	-0.30007556	No	
row_2	NDUFS5	7044	0.3668118715286255	-0.38711378	No	
row_3	OXA1L	7807	0.20057618618011475	-0.42937997	No	
row_4	NDUFAF6	8535	0.06797615438699722	-0.47081238	No	
row_5	NDUFAF8	8672	0.04824364185333252	-0.47824425	No	
row_6	NDUFS8	8742	0.037574660032987595	-0.48189726	No	
row_7	NDUFAB1	8968	0.005071628838777542	-0.4948635	No	
row_8	NDUFAF5	9136	-0.011313503608107567	-0.5044196	No	
row_9	TMEM126B	9257	-0.02667561173439026	-0.5111198	No	
row_10	FOXRED1	9786	-0.10874292254447937	-0.540678	No	
row_11	NDUFB10	9973	-0.1429796814918518	-0.55015105	No	
row_12	TMEM126A	10423	-0.23828504979610443	-0.57397795	No	
row_13	NDUFB8	10642	-0.2898830771446228	-0.5839829	No	
row_14	NDUFAF2	10683	-0.30414173007011414	-0.58356607	No	
row_15	NDUFA13	10801	-0.3300207853317261	-0.58736986	No	
row_16	NDUFS7	11874	-0.6611036062240601	-0.6434297	No	
row_17	NDUFS2	12203	-0.7847267389297485	-0.65535414	No	
row_18	BCS1L	12432	-0.8778981566429138	-0.66065925	No	
row_19	NDUFA11	12568	-0.9364008903503418	-0.66006106	No	
row_20	TMEM186	12644	-0.9700159430503845	-0.65569127	No	
row_21	NDUFA9	12819	-1.0544042587280273	-0.6562892	No	
row_22	ACAD9	13310	-1.3187071084976196	-0.67278904	Yes	
row_23	NDUFA2	13362	-1.3463454246520996	-0.6636534	Yes	
row_24	NDUFAF3	13474	-1.4192520380020142	-0.6573331	Yes	
row_25	NDUFAF1	13543	-1.4788916110992432	-0.6479907	Yes	
row_26	NDUFS3	13731	-1.6074053049087524	-0.64437664	Yes	
row_27	DMAC1	13798	-1.6525046825408936	-0.63336027	Yes	
row_28	NDUFB4	14050	-1.8782931566238403	-0.6310157	Yes	
row_29	NDUFS4	14063	-1.8904919624328613	-0.6147403	Yes	
row_30	NDUFS1	14150	-1.9621472358703613	-0.60210115	Yes	
row_31	DMAC2	14338	-2.1317946910858154	-0.59378004	Yes	
row_32	LYRM2	14348	-2.144213914871216	-0.57505363	Yes	
row_33	NDUFAF4	14418	-2.208172559738159	-0.559223	Yes	
row_34	NDUFA10	14787	-2.6135756969451904	-0.5570446	Yes	
row_35	NDUFA3	14921	-2.783438205718994	-0.5397514	Yes	
row_36	NDUFB9	14957	-2.834733486175537	-0.51633036	Yes	
row_37	NDUFA8	14965	-2.84342885017395	-0.49121207	Yes	
row_38	NDUFB5	14992	-2.8884167671203613	-0.4667887	Yes	
row_39	NDUFC2	15178	-3.1486127376556396	-0.4492248	Yes	
row_40	NDUFC1	15282	-3.3019423484802246	-0.4255425	Yes	
row_41	NUBPL	15452	-3.5968098640441895	-0.40303022	Yes	
row_42	TIMM21	15493	-3.6673617362976074	-0.37242454	Yes	
row_43	NDUFB1	15580	-3.827535629272461	-0.3430413	Yes	
row_44	NDUFB6	15588	-3.8428196907043457	-0.3089523	Yes	
row_45	NDUFB3	15616	-3.903435230255127	-0.2754758	Yes	
row_46	NDUFA6	15900	-4.541218280792236	-0.25107896	Yes	
row_47	NDUFB11	15906	-4.552684783935547	-0.21050243	Yes	
row_48	NDUFB7	16060	-4.923641681671143	-0.17515498	Yes	
row_49	NDUFA5	16419	-5.97447395324707	-0.14223027	Yes	
row_50	NDUFB2	16442	-6.07850456237793	-0.08894081	Yes	
row_51	ECSIT	16763	-7.29776668548584	-0.04194044	Yes	
row_52	NDUFA1	16939	-8.409116744995117	0.023420978	Yes	
