NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL28	131	8.72177505493164	0.031493038	Yes	
row_1	PABPC1	132	8.719656944274902	0.07056947	Yes	
row_2	RPS2	626	5.644654750823975	0.06729078	Yes	
row_3	RPS4X	639	5.618854522705078	0.09177569	Yes	
row_4	RPL12	756	5.286534309387207	0.10874339	Yes	
row_5	RPL36	815	5.1204609870910645	0.12832859	Yes	
row_6	RPS8	819	5.114808082580566	0.1510763	Yes	
row_7	RPL14	1090	4.475883960723877	0.15548515	Yes	
row_8	RPS19	1225	4.2327165603637695	0.16668697	Yes	
row_9	RPL23A	1259	4.190606594085693	0.18355411	Yes	
row_10	RPS9	1419	3.949784517288208	0.19203897	Yes	
row_11	RPL7A	1430	3.9377634525299072	0.20910612	Yes	
row_12	RPS24	1465	3.8990273475646973	0.22460862	Yes	
row_13	RPLP2	1522	3.8164117336273193	0.23846574	Yes	
row_14	RPSA	1722	3.5576248168945312	0.24287473	Yes	
row_15	RPS27L	1731	3.5405497550964355	0.2582777	Yes	
row_16	RPL39	1806	3.4579005241394043	0.2694849	Yes	
row_17	RPS28	1811	3.456132411956787	0.28474143	Yes	
row_18	RPL13	1869	3.3847289085388184	0.29660606	Yes	
row_19	RPL13A	1897	3.3448939323425293	0.31003097	Yes	
row_20	RPL32	1903	3.339838981628418	0.32470837	Yes	
row_21	RPL22L1	1905	3.336925983428955	0.3396046	Yes	
row_22	RPL10A	2011	3.2388346195220947	0.34803325	Yes	
row_23	RPL8	2024	3.228666067123413	0.36180672	Yes	
row_24	RPS20	2070	3.1837635040283203	0.37346625	Yes	
row_25	RPS5	2241	3.022024154663086	0.37715587	Yes	
row_26	RPS15	2250	3.0079245567321777	0.39017195	Yes	
row_27	RPL4	2266	2.988466739654541	0.4026951	Yes	
row_28	RPL38	2326	2.9275567531585693	0.412395	Yes	
row_29	UBA52	2346	2.905329704284668	0.42431375	Yes	
row_30	RPL31	2367	2.874635934829712	0.43603697	Yes	
row_31	RPS18	2471	2.790492296218872	0.44257236	Yes	
row_32	RPS12	2567	2.700981855392456	0.4491703	Yes	
row_33	RPS11	2583	2.6871345043182373	0.46034306	Yes	
row_34	RPS3	2655	2.625086784362793	0.46799195	Yes	
row_35	RPLP0	2670	2.6120688915252686	0.47888628	Yes	
row_36	RPL41	2680	2.605518341064453	0.49004105	Yes	
row_37	RPL19	2716	2.5755975246429443	0.49955472	Yes	
row_38	RPLP1	2745	2.554476022720337	0.5093795	Yes	
row_39	RPL29	2750	2.5498242378234863	0.5205745	Yes	
row_40	RPL35	2752	2.547894239425659	0.5319347	Yes	
row_41	RPS23	2771	2.5314488410949707	0.5422359	Yes	
row_42	RPL37A	2781	2.526059150695801	0.55303454	Yes	
row_43	RPL10	2787	2.5213451385498047	0.56404394	Yes	
row_44	RPL11	2844	2.47769832611084	0.57190174	Yes	
row_45	RPS29	2919	2.409177780151367	0.5784092	Yes	
row_46	RPL27	2922	2.406339168548584	0.58907706	Yes	
row_47	RPL37	3033	2.309349775314331	0.59305054	Yes	
row_48	RPS27	3059	2.282564163208008	0.60183066	Yes	
row_49	RPS6	3105	2.2466390132904053	0.60929054	Yes	
row_50	RPL18	3178	2.2020180225372314	0.61498547	Yes	
row_51	RPL26	3196	2.190584897994995	0.6238171	Yes	
row_52	RPL23	3208	2.1857221126556396	0.6329746	Yes	
row_53	RPL3	3429	2.0086464881896973	0.62922484	Yes	
row_54	RPL30	3489	1.9594539403915405	0.6345863	Yes	
row_55	RPL39L	3514	1.945772647857666	0.641915	Yes	
row_56	RPS25	3542	1.9291150569915771	0.6489953	Yes	
row_57	RPL15	3585	1.8928598165512085	0.6550436	Yes	
row_58	RPL34	3668	1.835391640663147	0.65851593	Yes	
