NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL28	131	8.72177505493164	0.0328304	Yes	
row_1	RPS2	626	5.644654750823975	0.030367525	Yes	
row_2	RPS4X	639	5.618854522705078	0.055712543	Yes	
row_3	RPL12	756	5.286534309387207	0.073491596	Yes	
row_4	RPL36	815	5.1204609870910645	0.09386156	Yes	
row_5	RPS8	819	5.114808082580566	0.11739206	Yes	
row_6	RPL14	1090	4.475883960723877	0.122491315	Yes	
row_7	RPS19	1225	4.2327165603637695	0.13434356	Yes	
row_8	RPL23A	1259	4.190606594085693	0.15185268	Yes	
row_9	RPS9	1419	3.949784517288208	0.16094518	Yes	
row_10	RPL7A	1430	3.9377634525299072	0.17861515	Yes	
row_11	RPS24	1465	3.8990273475646973	0.19471501	Yes	
row_12	RPLP2	1522	3.8164117336273193	0.2091573	Yes	
row_13	RPSA	1722	3.5576248168945312	0.21411473	Yes	
row_14	RPS27L	1731	3.5405497550964355	0.2300597	Yes	
row_15	RPL39	1806	3.4579005241394043	0.24179755	Yes	
row_16	RPS28	1811	3.456132411956787	0.25758308	Yes	
row_17	RPL13	1869	3.3847289085388184	0.2699668	Yes	
row_18	RPL13A	1897	3.3448939323425293	0.28390417	Yes	
row_19	RPL32	1903	3.339838981628418	0.29909277	Yes	
row_20	RPL22L1	1905	3.336925983428955	0.31449965	Yes	
row_21	RPL10A	2011	3.2388346195220947	0.3234261	Yes	
row_22	RPL8	2024	3.228666067123413	0.3376939	Yes	
row_23	RPS20	2070	3.1837635040283203	0.34984156	Yes	
row_24	RPS5	2241	3.022024154663086	0.35399705	Yes	
row_25	RPS15	2250	3.0079245567321777	0.3674736	Yes	
row_26	RPL4	2266	2.988466739654541	0.3804544	Yes	
row_27	RPL38	2326	2.9275567531585693	0.3906035	Yes	
row_28	UBA52	2346	2.905329704284668	0.40296724	Yes	
row_29	RPL31	2367	2.874635934829712	0.41513076	Yes	
row_30	RPS18	2471	2.790492296218872	0.42209527	Yes	
row_31	RPS12	2567	2.700981855392456	0.42910847	Yes	
row_32	RPS11	2583	2.6871345043182373	0.44069275	Yes	
row_33	EEF1A1	2599	2.6678383350372314	0.4521876	Yes	
row_34	RPS3	2655	2.625086784362793	0.4611667	Yes	
row_35	RPLP0	2670	2.6120688915252686	0.47246104	Yes	
row_36	RPL41	2680	2.605518341064453	0.48401472	Yes	
row_37	RPL19	2716	2.5755975246429443	0.49392328	Yes	
row_38	RPLP1	2745	2.554476022720337	0.50413954	Yes	
row_39	RPL29	2750	2.5498242378234863	0.5157248	Yes	
row_40	RPL35	2752	2.547894239425659	0.52747494	Yes	
row_41	RPS23	2771	2.5314488410949707	0.5381639	Yes	
row_42	RPL37A	2781	2.526059150695801	0.5493493	Yes	
row_43	RPL10	2787	2.5213451385498047	0.56074464	Yes	
row_44	RPL11	2844	2.47769832611084	0.5689827	Yes	
row_45	RPS29	2919	2.409177780151367	0.5758603	Yes	
row_46	RPL27	2922	2.406339168548584	0.58689654	Yes	
row_47	RPL37	3033	2.309349775314331	0.5912256	Yes	
row_48	RPS27	3059	2.282564163208008	0.6003555	Yes	
row_49	RPS6	3105	2.2466390132904053	0.60816014	Yes	
row_50	RPL18	3178	2.2020180225372314	0.61419356	Yes	
row_51	RPL26	3196	2.190584897994995	0.6233607	Yes	
row_52	RPL23	3208	2.1857221126556396	0.632853	Yes	
row_53	RPL3	3429	2.0086464881896973	0.629415	Yes	
row_54	RPL30	3489	1.9594539403915405	0.6350775	Yes	
row_55	RPL39L	3514	1.945772647857666	0.6427045	Yes	
row_56	RPS25	3542	1.9291150569915771	0.65008044	Yes	
row_57	EEF2	3556	1.918068766593933	0.6582164	Yes	
row_58	RPL15	3585	1.8928598165512085	0.6653665	Yes	
row_59	RPL34	3668	1.835391640663147	0.6691213	Yes	
row_60	RPS3A	3673	1.832391381263733	0.6773817	Yes	
row_61	RPS14	3674	1.8321702480316162	0.6858728	Yes	
row_62	RPS15A	3840	1.7299472093582153	0.6843299	Yes	
row_63	RPL27A	3967	1.6362429857254028	0.68461245	Yes	
row_64	RPL7	3987	1.6211977005004883	0.69102496	Yes	
row_65	RPS13	4020	1.6053389310836792	0.69661075	Yes	
row_66	RPS7	4061	1.5857787132263184	0.70164233	Yes	
row_67	RPS17	4066	1.582407832145691	0.7087441	Yes	
row_68	RPL21	4206	1.504205346107483	0.7076615	No	
row_69	RPL35A	4375	1.4035594463348389	0.7044322	No	
row_70	RPS21	4432	1.3710334300994873	0.7075415	No	
row_71	RPL24	4634	1.2633136510849	0.70175016	No	
row_72	RPS16	5244	0.9778925180435181	0.67099625	No	
row_73	RPS4Y1	5532	0.8631565570831299	0.6583675	No	
row_74	FAU	5570	0.8449311852455139	0.66013944	No	
row_75	RPL36A	5911	0.7130482792854309	0.6437442	No	
row_76	RPL36AL	5973	0.6889755129814148	0.6434028	No	
row_77	RPL18A	6296	0.5830884575843811	0.6274482	No	
row_78	RPS26	6329	0.5717571377754211	0.62824386	No	
row_79	RPL6	6385	0.5572066903114319	0.6276395	No	
row_80	RPS27A	6549	0.5131173729896545	0.62057316	No	
row_81	RPL5	6878	0.4131092429161072	0.6034831	No	
row_82	RPS10	8068	0.15185211598873138	0.53529525	No	
row_83	RPL17	8615	0.0576719306409359	0.5039269	No	
row_84	RPL22	9863	-0.11989893019199371	0.43223035	No	
row_85	RPL26L1	10482	-0.2517525553703308	0.39758968	No	
