NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL28	131	8.72177505493164	0.035309628	Yes	
row_1	RPS2	626	5.644654750823975	0.034462273	Yes	
row_2	RPS4X	639	5.618854522705078	0.06140255	Yes	
row_3	RPL12	756	5.286534309387207	0.080685325	Yes	
row_4	RPL36	815	5.1204609870910645	0.1025103	Yes	
row_5	RPS8	819	5.114808082580566	0.12749276	Yes	
row_6	RPL14	1090	4.475883960723877	0.13386975	Yes	
row_7	RPS19	1225	4.2327165603637695	0.14692707	Yes	
row_8	RPL23A	1259	4.190606594085693	0.1656266	Yes	
row_9	RPS9	1419	3.949784517288208	0.17584452	Yes	
row_10	RPL7A	1430	3.9377634525299072	0.19463252	Yes	
row_11	RPS24	1465	3.8990273475646973	0.21184003	Yes	
row_12	RPLP2	1522	3.8164117336273193	0.22736713	Yes	
row_13	RPSA	1722	3.5576248168945312	0.23333974	Yes	
row_14	RPL39	1806	3.4579005241394043	0.2455399	Yes	
row_15	RPS28	1811	3.456132411956787	0.26230657	Yes	
row_16	RPL13	1869	3.3847289085388184	0.2756526	Yes	
row_17	RPL13A	1897	3.3448939323425293	0.29054013	Yes	
row_18	RPL32	1903	3.339838981628418	0.3066769	Yes	
row_19	RACK1	1969	3.272919178009033	0.31900972	Yes	
row_20	RPL10A	2011	3.2388346195220947	0.33256483	Yes	
row_21	RPL8	2024	3.228666067123413	0.3477494	Yes	
row_22	RPS20	2070	3.1837635040283203	0.36080202	Yes	
row_23	RPS5	2241	3.022024154663086	0.36581987	Yes	
row_24	RPS15	2250	3.0079245567321777	0.38015047	Yes	
row_25	RPL4	2266	2.988466739654541	0.39397994	Yes	
row_26	RPL38	2326	2.9275567531585693	0.40496165	Yes	
row_27	UBA52	2346	2.905329704284668	0.41815057	Yes	
row_28	RPL31	2367	2.874635934829712	0.43113062	Yes	
row_29	RPS18	2471	2.790492296218872	0.43888998	Yes	
row_30	RPS12	2567	2.700981855392456	0.4466724	Yes	
row_31	RPS11	2583	2.6871345043182373	0.45901987	Yes	
row_32	RPS3	2655	2.625086784362793	0.46781895	Yes	
row_33	RPLP0	2670	2.6120688915252686	0.4798551	Yes	
row_34	RPL41	2680	2.605518341064453	0.4921486	Yes	
row_35	RPL19	2716	2.5755975246429443	0.5027892	Yes	
row_36	RPLP1	2745	2.554476022720337	0.5137313	Yes	
row_37	RPL29	2750	2.5498242378234863	0.52604043	Yes	
row_38	RPL35	2752	2.547894239425659	0.53851384	Yes	
row_39	RPS23	2771	2.5314488410949707	0.5499219	Yes	
row_40	RPL37A	2781	2.526059150695801	0.56182456	Yes	
row_41	RPL10	2787	2.5213451385498047	0.57393575	Yes	
row_42	RPL11	2844	2.47769832611084	0.58287865	Yes	
row_43	RPS29	2919	2.409177780151367	0.59044206	Yes	
row_44	RPL27	2922	2.406339168548584	0.60216135	Yes	
row_45	RPL37	3033	2.309349775314331	0.6071489	Yes	
row_46	RPS27	3059	2.282564163208008	0.6169274	Yes	
row_47	RPS6	3105	2.2466390132904053	0.6253709	Yes	
row_48	RPL18	3178	2.2020180225372314	0.6320313	Yes	
row_49	RPL26	3196	2.190584897994995	0.6418207	Yes	
row_50	RPL23	3208	2.1857221126556396	0.6519337	Yes	
row_51	RPL3	3429	2.0086464881896973	0.6490718	Yes	
row_52	RPL30	3489	1.9594539403915405	0.6552921	Yes	
row_53	RPS25	3542	1.9291150569915771	0.66176856	Yes	
row_54	RPL15	3585	1.8928598165512085	0.6686458	Yes	
row_55	RPL34	3668	1.835391640663147	0.67292386	Yes	
row_56	RPS3A	3673	1.832391381263733	0.6817045	Yes	
row_57	RPS14	3674	1.8321702480316162	0.6907157	Yes	
row_58	RPS15A	3840	1.7299472093582153	0.6896683	Yes	
row_59	RPL27A	3967	1.6362429857254028	0.69041866	Yes	
row_60	RPL7	3987	1.6211977005004883	0.69729185	Yes	
row_61	RPS13	4020	1.6053389310836792	0.70333415	Yes	
row_62	RPS7	4061	1.5857787132263184	0.70881695	Yes	
row_63	RPS17	4066	1.582407832145691	0.716368	Yes	
row_64	RPL21	4206	1.504205346107483	0.7157161	Yes	
row_65	RPL35A	4375	1.4035594463348389	0.71288973	Yes	
row_66	RPS21	4432	1.3710334300994873	0.7163897	Yes	
row_67	RPL24	4634	1.2633136510849	0.71096236	No	
row_68	RPS16	5244	0.9778925180435181	0.68050236	No	
row_69	FAU	5570	0.8449311852455139	0.665836	No	
row_70	RPL36A	5911	0.7130482792854309	0.6496522	No	
row_71	RPL18A	6296	0.5830884575843811	0.63028103	No	
row_72	RPS26	6329	0.5717571377754211	0.6312399	No	
row_73	RPL6	6385	0.5572066903114319	0.6307951	No	
row_74	RPL5	6878	0.4131092429161072	0.6043333	No	
row_75	RPS10	8068	0.15185211598873138	0.53622043	No	
row_76	RPL17	8615	0.0576719306409359	0.5048831	No	
row_77	RPL22	9863	-0.11989893019199371	0.4332541	No	
