NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL28	131	8.72177505493164	0.03524482	Yes	
row_1	RPS2	626	5.644654750823975	0.034352776	Yes	
row_2	RPS4X	639	5.618854522705078	0.061251786	Yes	
row_3	RPL12	756	5.286534309387207	0.08049503	Yes	
row_4	RPL36	815	5.1204609870910645	0.10228209	Yes	
row_5	RPS8	819	5.114808082580566	0.12722702	Yes	
row_6	RPL14	1090	4.475883960723877	0.1335694	Yes	
row_7	RPS19	1225	4.2327165603637695	0.14659481	Yes	
row_8	RPL23A	1259	4.190606594085693	0.16526338	Yes	
row_9	RPS9	1419	3.949784517288208	0.17545131	Yes	
row_10	RPL7A	1430	3.9377634525299072	0.19421035	Yes	
row_11	RPS24	1465	3.8990273475646973	0.21138908	Yes	
row_12	RPLP2	1522	3.8164117336273193	0.22688782	Yes	
row_13	RPSA	1722	3.5576248168945312	0.23283303	Yes	
row_14	RPL39	1806	3.4579005241394043	0.24500728	Yes	
row_15	RPS28	1811	3.456132411956787	0.26174858	Yes	
row_16	RPL13	1869	3.3847289085388184	0.27506942	Yes	
row_17	RPL13A	1897	3.3448939323425293	0.28993225	Yes	
row_18	RPL32	1903	3.339838981628418	0.30604452	Yes	
row_19	RACK1	1969	3.272919178009033	0.3183529	Yes	
row_20	RPL10A	2011	3.2388346195220947	0.331884	Yes	
row_21	RPL8	2024	3.228666067123413	0.34704486	Yes	
row_22	RPS20	2070	3.1837635040283203	0.3600738	Yes	
row_23	RPS5	2241	3.022024154663086	0.36506838	Yes	
row_24	RPS15	2250	3.0079245567321777	0.37937686	Yes	
row_25	RPL4	2266	2.988466739654541	0.39318433	Yes	
row_26	RPL38	2326	2.9275567531585693	0.40414417	Yes	
row_27	UBA52	2346	2.905329704284668	0.41731167	Yes	
row_28	RPL31	2367	2.874635934829712	0.43027052	Yes	
row_29	RPS18	2471	2.790492296218872	0.43800876	Yes	
row_30	RPS12	2567	2.700981855392456	0.44577074	Yes	
row_31	RPS11	2583	2.6871345043182373	0.45809838	Yes	
row_32	RPS3	2655	2.625086784362793	0.46687776	Yes	
row_33	RPLP0	2670	2.6120688915252686	0.47889468	Yes	
row_34	RPL41	2680	2.605518341064453	0.491169	Yes	
row_35	RPL19	2716	2.5755975246429443	0.50179046	Yes	
row_36	RPLP1	2745	2.554476022720337	0.5127137	Yes	
row_37	RPL29	2750	2.5498242378234863	0.52500415	Yes	
row_38	RPL35	2752	2.547894239425659	0.53745884	Yes	
row_39	RPS23	2771	2.5314488410949707	0.54884815	Yes	
row_40	RPL37A	2781	2.526059150695801	0.5607323	Yes	
row_41	RPL10	2787	2.5213451385498047	0.57282495	Yes	
row_42	RPL11	2844	2.47769832611084	0.5817493	Yes	
row_43	RPS29	2919	2.409177780151367	0.5892946	Yes	
row_44	RPL27	2922	2.406339168548584	0.60099626	Yes	
row_45	RPL37	3033	2.309349775314331	0.6059661	Yes	
row_46	RPS27	3059	2.282564163208008	0.6157277	Yes	
row_47	RPS6	3105	2.2466390132904053	0.62415445	Yes	
row_48	RPL18	3178	2.2020180225372314	0.6307982	Yes	
row_49	RPL26	3196	2.190584897994995	0.6405715	Yes	
row_50	RPL23	3208	2.1857221126556396	0.6506684	Yes	
row_51	RPL3	3429	2.0086464881896973	0.64779025	Yes	
row_52	RPL30	3489	1.9594539403915405	0.6539958	Yes	
row_53	RPS25	3542	1.9291150569915771	0.66045773	Yes	
row_54	RPL15	3585	1.8928598165512085	0.66732085	Yes	
row_55	RPL34	3668	1.835391640663147	0.67158496	Yes	
row_56	RPS3A	3673	1.832391381263733	0.6803521	Yes	
row_57	RPS14	3674	1.8321702480316162	0.68934983	Yes	
row_58	RPS15A	3840	1.7299472093582153	0.6882886	Yes	
row_59	RPL27A	3967	1.6362429857254028	0.6890262	Yes	
row_60	RPL7	3987	1.6211977005004883	0.6958874	Yes	
row_61	RPS13	4020	1.6053389310836792	0.7019177	Yes	
row_62	RPS7	4061	1.5857787132263184	0.7073886	Yes	
row_63	RPS17	4066	1.582407832145691	0.7149281	Yes	
row_64	RPL21	4206	1.504205346107483	0.7142642	No	
row_65	RPL35A	4375	1.4035594463348389	0.7114264	No	
row_66	RPS21	4432	1.3710334300994873	0.71491593	No	
row_67	RPL24	4634	1.2633136510849	0.709478	No	
row_68	RPS16	5244	0.9778925180435181	0.6790067	No	
row_69	FAU	5570	0.8449311852455139	0.664332	No	
row_70	RPL36A	5911	0.7130482792854309	0.64814067	No	
row_71	RPL18A	6296	0.5830884575843811	0.6287627	No	
row_72	RPS26	6329	0.5717571377754211	0.6297171	No	
row_73	RPL6	6385	0.5572066903114319	0.62926793	No	
row_74	RPL5	6878	0.4131092429161072	0.6027997	No	
row_75	FARSA	7802	0.20076745748519897	0.5503249	No	
row_76	RPS10	8068	0.15185211598873138	0.5357217	No	
row_77	RPL17	8615	0.0576719306409359	0.5043802	No	
row_78	FARSB	9756	-0.1027030274271965	0.43885508	No	
row_79	RPL22	9863	-0.11989893019199371	0.4333043	No	
