NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFV2	6265	0.5943731069564819	-0.3577517	No	
row_1	NDUFS5	7044	0.3668118715286255	-0.39993277	No	
row_2	ATP5F1E	7830	0.194206103682518	-0.4438413	No	
row_3	NDUFS8	8742	0.037574660032987595	-0.4962367	No	
row_4	NDUFAB1	8968	0.005071628838777542	-0.50920963	No	
row_5	ATP5MF	9007	-1.4005566299601924E-5	-0.5114071	No	
row_6	SDHB	9023	-9.503583423793316E-4	-0.51226723	No	
row_7	ATP5F1EP2	9385	-0.04415952414274216	-0.53280556	No	
row_8	NDUFB10	9973	-0.1429796814918518	-0.5656563	No	
row_9	ATP5MG	10587	-0.27688494324684143	-0.5989845	No	
row_10	NDUFB8	10642	-0.2898830771446228	-0.599886	No	
row_11	NDUFA13	10801	-0.3300207853317261	-0.60649425	No	
row_12	SDHA	11810	-0.641370952129364	-0.6598724	No	
row_13	NDUFS7	11874	-0.6611036062240601	-0.65844977	No	
row_14	NDUFS2	12203	-0.7847267389297485	-0.6714049	No	
row_15	NDUFA11	12568	-0.9364008903503418	-0.6852796	No	
row_16	NDUFA9	12819	-1.0544042587280273	-0.6916574	No	
row_17	NDUFA2	13362	-1.3463454246520996	-0.7126846	No	
row_18	SDHC	13566	-1.4938242435455322	-0.71297723	Yes	
row_19	NDUFS6	13601	-1.5115705728530884	-0.70336056	Yes	
row_20	NDUFS3	13731	-1.6074053049087524	-0.6985034	Yes	
row_21	NDUFB4	14050	-1.8782931566238403	-0.70250034	Yes	
row_22	NDUFS4	14063	-1.8904919624328613	-0.68870777	Yes	
row_23	ATP5F1D	14130	-1.9476184844970703	-0.6776003	Yes	
row_24	NDUFS1	14150	-1.9621472358703613	-0.6636635	Yes	
row_25	ATP5ME	14257	-2.0619006156921387	-0.65399355	Yes	
row_26	ATP5PB	14553	-2.361917018890381	-0.65295446	Yes	
row_27	NDUFV1	14766	-2.592885732650757	-0.6453457	Yes	
row_28	NDUFA10	14787	-2.6135756969451904	-0.6264749	Yes	
row_29	ATP5PO	14802	-2.6290745735168457	-0.6071384	Yes	
row_30	NDUFA3	14921	-2.783438205718994	-0.5926333	Yes	
row_31	NDUFB9	14957	-2.834733486175537	-0.57293534	Yes	
row_32	NDUFA8	14965	-2.84342885017395	-0.55155146	Yes	
row_33	NDUFB5	14992	-2.8884167671203613	-0.5309216	Yes	
row_34	ATP5PF	15066	-3.003762722015381	-0.5121259	Yes	
row_35	NDUFC2	15178	-3.1486127376556396	-0.49441776	Yes	
row_36	ATP5F1A	15265	-3.2690796852111816	-0.47434077	Yes	
row_37	NDUFC1	15282	-3.3019423484802246	-0.44996387	Yes	
row_38	SDHD	15558	-3.7836246490478516	-0.4368739	Yes	
row_39	NDUFB1	15580	-3.827535629272461	-0.4087586	Yes	
row_40	NDUFB6	15588	-3.8428196907043457	-0.37971658	Yes	
row_41	NDUFB3	15616	-3.903435230255127	-0.35136664	Yes	
row_42	NDUFA12	15776	-4.220357894897461	-0.32822177	Yes	
row_43	NDUFA6	15900	-4.541218280792236	-0.30053633	Yes	
row_44	NDUFB11	15906	-4.552684783935547	-0.26593906	Yes	
row_45	ATP5F1C	16030	-4.843791484832764	-0.23593503	Yes	
row_46	NDUFB7	16060	-4.923641681671143	-0.1998831	Yes	
row_47	ATP5PD	16074	-4.958098888397217	-0.16264185	Yes	
row_48	ATP5F1B	16077	-4.964226245880127	-0.12471751	Yes	
row_49	NDUFV3	16208	-5.34522008895874	-0.09127595	Yes	
row_50	NDUFA5	16419	-5.97447395324707	-0.057638943	Yes	
row_51	NDUFB2	16442	-6.07850456237793	-0.01233269	Yes	
row_52	NDUFA1	16939	-8.409116744995117	0.023421116	Yes	
