NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCO2	3743	1.7875816822052002	-0.20838709	No	
row_1	COX18	3855	1.7159208059310913	-0.20660324	No	
row_2	COX11	4941	1.1178053617477417	-0.26413772	No	
row_3	NDUFAF7	5209	0.9917015433311462	-0.27486405	No	
row_4	COQ10B	5325	0.9497132301330566	-0.2769814	No	
row_5	COA1	5481	0.8837074041366577	-0.2817333	No	
row_6	TRAP1	6005	0.6796714663505554	-0.30879194	No	
row_7	NDUFV2	6265	0.5943731069564819	-0.3209574	No	
row_8	NDUFS5	7044	0.3668118715286255	-0.36429432	No	
row_9	COX19	7118	0.3480546176433563	-0.36685866	No	
row_10	COX7A2L	8149	0.13778898119926453	-0.42589855	No	
row_11	NDUFAF6	8535	0.06797615438699722	-0.447888	No	
row_12	NDUFS8	8742	0.037574660032987595	-0.45964798	No	
row_13	NDUFAB1	8968	0.005071628838777542	-0.4726649	No	
row_14	SDHB	9023	-9.503583423793316E-4	-0.47579023	No	
row_15	UQCRH	9118	-0.009667953476309776	-0.48119226	No	
row_16	LRPPRC	9124	-0.010089486837387085	-0.48143375	No	
row_17	NDUFAF5	9136	-0.011313503608107567	-0.48201716	No	
row_18	TMEM126B	9257	-0.02667561173439026	-0.48884472	No	
row_19	NDUFB10	9973	-0.1429796814918518	-0.52960205	No	
row_20	COX4I1	10491	-0.2546081840991974	-0.55834854	No	
row_21	UQCRB	10503	-0.2573062479496002	-0.55775386	No	
row_22	NDUFB8	10642	-0.2898830771446228	-0.56436425	No	
row_23	NDUFAF2	10683	-0.30414173007011414	-0.56522614	No	
row_24	NDUFA13	10801	-0.3300207853317261	-0.5704271	No	
row_25	TACO1	11594	-0.5754684805870056	-0.6135763	No	
row_26	ETFA	11661	-0.5943304300308228	-0.6145555	No	
row_27	COX6B1	11664	-0.5949235558509827	-0.6118223	No	
row_28	SDHA	11810	-0.641370952129364	-0.61715513	No	
row_29	COX7C	11828	-0.6476640701293945	-0.6150388	No	
row_30	NDUFS7	11874	-0.6611036062240601	-0.61448103	No	
row_31	COQ10A	12020	-0.7133077383041382	-0.6194694	No	
row_32	NDUFA4	12168	-0.772903561592102	-0.6242882	No	
row_33	NDUFS2	12203	-0.7847267389297485	-0.62250084	No	
row_34	UQCRC1	12353	-0.8453896045684814	-0.6270885	No	
row_35	NDUFA11	12568	-0.9364008903503418	-0.63500774	No	
