NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UCP2	658	5.566729545593262	-0.016768692	No	
row_1	SCO2	3743	1.7875816822052002	-0.18886094	No	
row_2	COX18	3855	1.7159208059310913	-0.18870103	No	
row_3	COX11	4941	1.1178053617477417	-0.24736491	No	
row_4	NDUFAF7	5209	0.9917015433311462	-0.2590441	No	
row_5	COQ10B	5325	0.9497132301330566	-0.26206404	No	
row_6	COA1	5481	0.8837074041366577	-0.2676592	No	
row_7	PM20D1	5883	0.722761332988739	-0.28814927	No	
row_8	TRAP1	6005	0.6796714663505554	-0.2925563	No	
row_9	NDUFV2	6265	0.5943731069564819	-0.30529982	No	
row_10	NDUFS5	7044	0.3668118715286255	-0.34903717	No	
row_11	ATP5MC2	7081	0.35805487632751465	-0.34974882	No	
row_12	COX19	7118	0.3480546176433563	-0.35049894	No	
row_13	ATP5F1E	7830	0.194206103682518	-0.39101225	No	
row_14	COX7A2L	8149	0.13778898119926453	-0.4089362	No	
row_15	NDUFAF6	8535	0.06797615438699722	-0.43101683	No	
row_16	NDUFS8	8742	0.037574660032987595	-0.44282678	No	
row_17	NDUFAB1	8968	0.005071628838777542	-0.45586437	No	
row_18	ATP5MF	9007	-1.4005566299601924E-5	-0.4580695	No	
row_19	SDHB	9023	-9.503583423793316E-4	-0.45893633	No	
row_20	UQCRH	9118	-0.009667953476309776	-0.4643541	No	
row_21	LRPPRC	9124	-0.010089486837387085	-0.46460545	No	
row_22	NDUFAF5	9136	-0.011313503608107567	-0.46520028	No	
row_23	TMEM126B	9257	-0.02667561173439026	-0.47206143	No	
row_24	NDUFB10	9973	-0.1429796814918518	-0.51300395	No	
row_25	COX4I1	10491	-0.2546081840991974	-0.54202676	No	
row_26	UQCRB	10503	-0.2573062479496002	-0.5416752	No	
row_27	UCP3	10562	-0.272012859582901	-0.54399455	No	
row_28	ATP5MG	10587	-0.27688494324684143	-0.5443221	No	
row_29	NDUFB8	10642	-0.2898830771446228	-0.5463406	No	
row_30	NDUFAF2	10683	-0.30414173007011414	-0.5474917	No	
row_31	NDUFA13	10801	-0.3300207853317261	-0.5530118	No	
row_32	SLC25A14	11552	-0.5661010146141052	-0.5943576	No	
row_33	TACO1	11594	-0.5754684805870056	-0.59452295	No	
row_34	ETFA	11661	-0.5943304300308228	-0.5960666	No	
row_35	COX6B1	11664	-0.5949235558509827	-0.5938939	No	
row_36	SDHA	11810	-0.641370952129364	-0.599841	No	
row_37	COX7C	11828	-0.6476640701293945	-0.59833586	No	
row_38	NDUFS7	11874	-0.6611036062240601	-0.59840393	No	
row_39	COQ10A	12020	-0.7133077383041382	-0.6040743	No	
row_40	NDUFA4	12168	-0.772903561592102	-0.6096314	No	
row_41	NDUFS2	12203	-0.7847267389297485	-0.60858554	No	
row_42	UQCRC1	12353	-0.8453896045684814	-0.61397994	No	
row_43	NDUFA11	12568	-0.9364008903503418	-0.6227962	No	
row_44	TMEM186	12644	-0.9700159430503845	-0.6234168	No	
row_45	NDUFA9	12819	-1.0544042587280273	-0.6294578	No	
row_46	UQCRQ	13299	-1.3120225667953491	-0.6522074	Yes	
row_47	ACAD9	13310	-1.3187071084976196	-0.6477144	Yes	
row_48	NDUFA2	13362	-1.3463454246520996	-0.6454944	Yes	
row_49	COX14	13423	-1.3894505500793457	-0.64363086	Yes	
row_50	NDUFAF3	13474	-1.4192520380020142	-0.64107233	Yes	
row_51	COX16	13482	-1.4280686378479004	-0.6359846	Yes	
row_52	NDUFAF1	13543	-1.4788916110992432	-0.63377696	Yes	
row_53	SDHC	13566	-1.4938242435455322	-0.6293067	Yes	
row_54	NDUFS6	13601	-1.5115705728530884	-0.6254645	Yes	
row_55	NDUFS3	13731	-1.6074053049087524	-0.6267666	Yes	
row_56	DMAC2L	13751	-1.623650074005127	-0.6216228	Yes	
row_57	NDUFB4	14050	-1.8782931566238403	-0.6316901	Yes	
row_58	CYC1	14057	-1.8860586881637573	-0.6247823	Yes	
row_59	NDUFS4	14063	-1.8904919624328613	-0.61779946	Yes	
row_60	ATP5F1D	14130	-1.9476184844970703	-0.61413676	Yes	
row_61	UQCR11	14148	-1.9618736505508423	-0.60757565	Yes	
row_62	NDUFS1	14150	-1.9621472358703613	-0.600085	Yes	
row_63	ATP5ME	14257	-2.0619006156921387	-0.5983039	Yes	
row_64	NDUFAF4	14418	-2.208172559738159	-0.5990938	Yes	
row_65	SLC25A27	14499	-2.314336061477661	-0.59483266	Yes	
row_66	ATP5PB	14553	-2.361917018890381	-0.5888217	Yes	
row_67	COX5A	14631	-2.4632315635681152	-0.58381367	Yes	
row_68	UQCRC2	14708	-2.5386762619018555	-0.5784574	Yes	
row_69	NDUFV1	14766	-2.592885732650757	-0.57179	Yes	
row_70	NDUFA10	14787	-2.6135756969451904	-0.5628958	Yes	
row_71	ATP5PO	14802	-2.6290745735168457	-0.55359375	Yes	
row_72	TIMMDC1	14807	-2.6354167461395264	-0.543687	Yes	
row_73	UQCRFS1	14880	-2.725820302963257	-0.5373786	Yes	
row_74	NDUFA3	14921	-2.783438205718994	-0.5289916	Yes	
row_75	NDUFB9	14957	-2.834733486175537	-0.520117	Yes	
row_76	NDUFA8	14965	-2.84342885017395	-0.5095841	Yes	
row_77	NDUFB5	14992	-2.8884167671203613	-0.49998075	Yes	
row_78	SCO1	15037	-2.9507763385772705	-0.49118203	Yes	
row_79	ATP5PF	15066	-3.003762722015381	-0.48125097	Yes	
row_80	COX6A1	15110	-3.0599753856658936	-0.47197413	Yes	
row_81	ATP5MC3	15138	-3.1016504764556885	-0.46160844	Yes	
row_82	NDUFC2	15178	-3.1486127376556396	-0.45175847	Yes	
row_83	ATP5F1A	15265	-3.2690796852111816	-0.44417253	Yes	
row_84	NDUFC1	15282	-3.3019423484802246	-0.43239793	Yes	
row_85	COX6C	15396	-3.4943923950195312	-0.42551205	Yes	
row_86	NUBPL	15452	-3.5968098640441895	-0.41486627	Yes	
row_87	SDHD	15558	-3.7836246490478516	-0.4064034	Yes	
row_88	NDUFB1	15580	-3.827535629272461	-0.39289692	Yes	
row_89	NDUFB6	15588	-3.8428196907043457	-0.37851924	Yes	
row_90	ETFB	15608	-3.8815200328826904	-0.36468902	Yes	
row_91	NDUFB3	15616	-3.903435230255127	-0.3500781	Yes	
row_92	UQCR10	15642	-3.9532318115234375	-0.3363202	Yes	
row_93	NDUFA12	15776	-4.220357894897461	-0.32780203	Yes	
row_94	NDUFA6	15900	-4.541218280792236	-0.31746912	Yes	
row_95	NDUFB11	15906	-4.552684783935547	-0.3002444	Yes	
row_96	COX5B	15913	-4.56729793548584	-0.28302148	Yes	
row_97	ATP5F1C	16030	-4.843791484832764	-0.2711183	Yes	
row_98	SURF1	16031	-4.8448333740234375	-0.2524795	Yes	
row_99	NDUFB7	16060	-4.923641681671143	-0.23516235	Yes	
row_100	ATP5PD	16074	-4.958098888397217	-0.21684217	Yes	
row_101	ATP5F1B	16077	-4.964226245880127	-0.19786008	Yes	
row_102	COX20	16119	-5.078096866607666	-0.18070315	Yes	
row_103	COX7B	16150	-5.180792808532715	-0.16251278	Yes	
row_104	NDUFV3	16208	-5.34522008895874	-0.14525667	Yes	
row_105	COX8A	16238	-5.438021183013916	-0.12601867	Yes	
row_106	CYCS	16318	-5.686758995056152	-0.10872532	Yes	
row_107	NDUFA5	16419	-5.97447395324707	-0.091543734	Yes	
row_108	NDUFB2	16442	-6.07850456237793	-0.06943548	Yes	
row_109	ATP5MC1	16444	-6.083494186401367	-0.046089355	Yes	
row_110	ECSIT	16763	-7.29776668548584	-0.036467742	Yes	
row_111	NDUFA1	16939	-8.409116744995117	-0.01427208	Yes	
row_112	ETFDH	17085	-9.803898811340332	0.0150304735	Yes	
