NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	Details ...	90	0.7101468	2.5692995	0.0	0.0	0.0	4066	tags=79%, list=23%, signal=103%	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	Details ...	78	0.7163897	2.5343392	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	Details ...	78	0.7163897	2.5332239	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	Details ...	78	0.7163897	2.509372	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	Details ...	78	0.7163897	2.5063941	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	Details ...	78	0.7163897	2.5063338	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902	Details ...	86	0.7087441	2.5018547	0.0	0.0	0.0	4066	tags=79%, list=23%, signal=103%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	Details ...	78	0.7163897	2.501067	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	Details ...	78	0.7163897	2.499109	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	Details ...	78	0.7163897	2.4974039	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975956	Details ...	92	0.69607633	2.4973702	0.0	0.0	0.0	4066	tags=73%, list=23%, signal=95%	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	Details ...	78	0.7163897	2.4940903	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	Details ...	78	0.7163897	2.4915137	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	Details ...	78	0.7163897	2.4856317	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	Details ...	78	0.7163897	2.483895	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	Details ...	80	0.7149281	2.4825723	0.0	0.0	0.0	4066	tags=80%, list=23%, signal=104%	
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	Details ...	78	0.7163897	2.4792469	0.0	0.0	0.0	4432	tags=86%, list=26%, signal=115%	
