NAME	TITLE	SCORE	
LHX2		16.611805	
SSTR3		14.454431	
TRDC		13.989718	
TMC6		13.425956	
RASGRF1		13.304414	
HS6ST2		13.239999	
KLK11		13.19504	
SIGLEC6		13.187368	
MROH6		13.075354	
BID		12.963775	
CLDN16		12.915122	
RINL		12.643897	
HMGA2		12.611106	
SYTL1		12.211514	
FYN		12.177433	
PRR15		12.101824	
EDEM1		11.983969	
SLIT1		11.937418	
PLXNC1		11.919198	
CYP2S1		11.774324	
RSPO1		11.756691	
SDK1		11.730444	
TRPC5		11.706332	
INPP4A		11.592141	
SFTPA1		11.550064	
CTSC		11.525291	
TMEM215		11.516095	
CBL		11.27874	
CTXND1		11.254505	
LINC02555		11.145701	
TRIM14		11.069812	
FBXO41		11.031853	
DPP4		11.019526	
MAST3		11.000564	
CLIP3		10.9987	
GRM4		10.96375	
UNC5B		10.932433	
SEPTIN9		10.90304	
AMIGO2		10.625158	
CDH3		10.609936	
ALDH3B1		10.5855055	
SIGLEC15		10.538918	
SDC3		10.532317	
LASP1		10.511706	
FXYD5		10.497308	
TGFB1		10.444737	
GALE		10.41019	
TMEM130		10.353966	
ARHGAP36		10.336749	
STRA6		10.307477	
CDC25B		10.275795	
ZCCHC12		10.24258	
CTSH		10.210595	
HIVEP1		10.200854	
RBFOX1		10.155326	
IGFL2		10.108942	
RUNX1		10.064074	
CORO2A		10.04634	
LINC02471		10.022831	
XKRX		9.989347	
BLOC1S2		9.97341	
SNX30		9.971849	
SYTL5		9.967748	
PTPRE		9.966632	
KCNJ2		9.946429	
PLXND1		9.926425	
ESPN		9.893458	
ABCC11		9.889647	
ASCC3		9.8195	
SLC22A31		9.800102	
EPOP		9.786363	
LPAR5		9.780625	
IL1RAP		9.725017	
SPOCK3		9.717641	
RCC2		9.680352	
BAIAP3		9.678286	
HNRNPA1P27		9.676374	
SLC6A20		9.672585	
NRP2		9.657991	
RUNX2		9.633821	
ABCA1		9.568885	
IKBKE		9.559598	
KLK6		9.54885	
KCNN4		9.547876	
BRCA2		9.529418	
RTL4		9.524689	
B3GNT3		9.502444	
QPCT		9.502209	
BAX		9.458694	
FAM43A		9.445196	
ITPR2		9.443763	
BRINP1		9.416134	
NAT8L		9.395857	
WNT10A		9.349845	
ABR		9.318315	
NFE2L3		9.317862	
PPP1R1B		9.31136	
TIAM1		9.294832	
ISYNA1		9.282056	
FAS		9.239847	
PDK3		9.234465	
ARX		9.177101	
EPHB3		9.175096	
METTL7B		9.134945	
DNMT1		9.114314	
CAMK2N1		9.095688	
PARP4		9.079418	
RIN1		9.079077	
GJB3		9.0764265	
DDB2		9.057518	
ATAD2		9.056922	
SPTBN2		9.036556	
PCDHAC2		8.978609	
LIPH		8.968394	
ABCC3		8.958874	
MSN		8.929102	
GNPTAB		8.853	
NAPSA		8.844387	
PPT1		8.843778	
MIR31HG		8.837278	
TNFSF11		8.834225	
HPCAL4		8.832651	
MTHFD1L		8.823722	
CD5L		8.820105	
CXCL16		8.795099	
TNNT1		8.790228	
SYT12		8.787347	
ESYT1		8.773744	
TP63		8.769113	
NRIP1		8.7651005	
RAB27A		8.754186	
RPL28		8.721775	
PABPC1		8.719657	
PARP14		8.709488	
RAP1GDS1		8.68945	
DSC3		8.687415	
SV2A		8.663129	
TMSB10		8.625014	
ALK		8.597933	
TGFA		8.5962305	
NAP1L1		8.590727	
SHKBP1		8.582511	
ZMAT3		8.560618	
TRABD2A		8.522556	
MAP4K4		8.518756	
CD177		8.490486	
CYSLTR2		8.477104	
TNFRSF21		8.460933	
PHYHIP		8.446827	
SINHCAF		8.440199	
RAPGEF5		8.42168	
SLC30A3		8.413907	
PSD3		8.40454	
PAK2		8.387553	
KRT15		8.384634	
BBC3		8.379295	
RXRG		8.361395	
TRIM38		8.3549795	
CTSA		8.350165	
SGPP1		8.347662	
LRRK2		8.341386	
SHISA5		8.340634	
TENM1		8.332693	
SYNGR2		8.314676	
CYP1B1		8.301644	
ROS1		8.300492	
PKP2		8.291362	
SFTPA2		8.283698	
CYFIP2		8.282963	
CLDN10		8.280141	
MUC21		8.269588	
CCSAP		8.255974	
TMPRSS4		8.251	
ZNF217		8.222305	
CD44		8.21504	
TMEM163		8.21189	
CAD		8.183625	
ICAM5		8.174213	
NELL2		8.161719	
PABPC4		8.156986	
MIF4GD		8.150879	
BIRC7		8.147381	
ADTRP		8.12418	
ARL6IP5		8.115634	
SLC9A7P1		8.10821	
LY6E		8.09424	
FAM20A		8.051522	
DOCK11		8.043933	
OPCML		8.027299	
SLITRK6		8.010477	
RNF144A		8.00211	
KIF2A		7.9989038	
PTCHD4		7.9715624	
RPS6KA3		7.967437	
RYR1		7.9429073	
PLAG1		7.925297	
SLC2A1		7.924848	
ARHGAP19		7.9170814	
SLC1A5		7.9151883	
TUSC3		7.9097314	
EHBP1L1		7.9094067	
FUT2		7.9061174	
PTK2B		7.890586	
CCL22		7.884908	
ACOT7		7.8749905	
TGFBR1		7.8605413	
PAFAH1B3		7.81138	
B3GNT7		7.799752	
PAPLN		7.7788377	
TMC8		7.774848	
ADAMTS9		7.7650933	
RAP2A		7.759354	
CKAP2		7.7567635	
GGT6		7.7549095	
FUCA1		7.7542944	
TPSB2		7.752532	
TMEM79		7.752046	
BICD1		7.745821	
PLEKHG5		7.7360454	
APOE		7.693985	
TIMP1		7.6800575	
NT5C1A		7.6644754	
ICAM4		7.6625934	
HPSE		7.656605	
BASP1		7.640819	
PLCD3		7.6324086	
SH3BGRL3		7.6312723	
ETV4		7.6251917	
TET3		7.6165195	
LRP4		7.6127577	
AGR2		7.6042304	
DCSTAMP		7.603071	
APOC1		7.597749	
CCM2		7.5924196	
SLC15A4		7.568984	
CPA3		7.5545206	
ROCK1		7.529464	
UNC93B1		7.5213313	
EGFEM1P		7.5169487	
SHISA6		7.516914	
RAMP1		7.5098343	
CDC42EP3		7.4958854	
HCN4		7.4872465	
SCEL		7.483501	
ADAR		7.463486	
GLS2		7.460279	
NR2F1-AS1		7.4592247	
PPP1R9B		7.457606	
SERTAD2		7.4418516	
CASP10		7.4314523	
BNC1		7.4272375	
RNF213		7.426048	
PHACTR3		7.4137683	
CPSF1		7.412062	
INF2		7.3984222	
GABRB2		7.397188	
ARAP1		7.3910556	
RDH5		7.3836465	
GOLT1A		7.3731084	
SLC35F2		7.37103	
CPNE4		7.3680234	
LGALS3		7.367045	
HAGLR		7.3609233	
IVL		7.346423	
