NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS5	2195	1.571982741355896	-0.11747694	No	
row_1	NDUFS8	4594	0.3798869848251343	-0.25394884	No	
row_2	NDUFAB1	4841	0.3189389705657959	-0.26624697	No	
row_3	COX4I2	6648	0.01880571059882641	-0.37065262	No	
row_4	UQCRC1	6840	-0.0010706279426813126	-0.38169998	No	
row_5	NDUFA4	7605	-0.0924597904086113	-0.42535344	No	
row_6	NDUFV2	7823	-0.12047820538282394	-0.43717968	No	
row_7	NDUFB10	8759	-0.2538987100124359	-0.48974818	No	
row_8	SLC25A51	10530	-0.5935985445976257	-0.58857626	No	
row_9	NDUFB8	10790	-0.6575247645378113	-0.59956855	No	
row_10	COX7C	11145	-0.7631180882453918	-0.61541694	No	
row_11	COX6B1	11373	-0.8246908783912659	-0.6235411	No	
row_12	UQCRQ	11386	-0.8270066976547241	-0.61920834	No	
row_13	SDHB	11827	-0.9576210379600525	-0.6388515	No	
row_14	UQCRFS1P1	12003	-1.0167566537857056	-0.64279866	No	
row_15	UQCRHL	12207	-1.0890990495681763	-0.64792657	No	
row_16	UQCRB	12411	-1.1653754711151123	-0.65259075	No	
row_17	NDUFAF1	12707	-1.2931939363479614	-0.66180235	Yes	
row_18	NDUFS4	12760	-1.3173221349716187	-0.65680397	Yes	
row_19	COX7A2	12818	-1.3444617986679077	-0.6519299	Yes	
row_20	COX4I1	12966	-1.412304162979126	-0.65185213	Yes	
row_21	NDUFB9	12989	-1.424977421760559	-0.6444631	Yes	
row_22	UQCC3	13035	-1.4482872486114502	-0.6382635	Yes	
row_23	CYC1	13357	-1.6171412467956543	-0.64701056	Yes	
row_24	NDUFS3	13603	-1.7523658275604248	-0.65053725	Yes	
row_25	UQCRH	13611	-1.75447416305542	-0.64027715	Yes	
row_26	SDHC	13703	-1.80094575881958	-0.63459593	Yes	
row_27	NDUFB4	14003	-1.9913033246994019	-0.6397953	Yes	
row_28	NDUFS7	14130	-2.0635857582092285	-0.6345431	Yes	
row_29	COX5A	14135	-2.0671958923339844	-0.6222084	Yes	
row_30	SDHAF2	14167	-2.087885856628418	-0.6113105	Yes	
row_31	AFG1L	14170	-2.0925867557525635	-0.5987057	Yes	
row_32	NDUFS6	14367	-2.2302017211914062	-0.5964918	Yes	
row_33	COX6A1	14424	-2.268899440765381	-0.5859404	Yes	
row_34	NDUFA9	14528	-2.358956813812256	-0.5775616	Yes	
row_35	COX5B	14607	-2.4186956882476807	-0.56737286	Yes	
row_36	NDUFV1	14706	-2.4850051403045654	-0.55793846	Yes	
row_37	NDUFA2	14737	-2.5051774978637695	-0.544446	Yes	
row_38	UQCR11	14884	-2.6313281059265137	-0.5369001	Yes	
row_39	NDUFB5	14898	-2.653782367706299	-0.52152044	Yes	
row_40	NDUFC1	14952	-2.7080881595611572	-0.5081256	Yes	
row_41	NDUFB7	14959	-2.714019298553467	-0.4919747	Yes	
row_42	UQCRFS1	14966	-2.7207465171813965	-0.4757829	Yes	
row_43	NDUFA8	15030	-2.7912800312042236	-0.4624611	Yes	
row_44	NDUFS1	15060	-2.822007656097412	-0.44698483	Yes	
row_45	NDUFB6	15111	-2.877983331680298	-0.43238363	Yes	
row_46	NDUFB1	15177	-2.9584250450134277	-0.41816154	Yes	
row_47	NDUFB2	15237	-3.0224244594573975	-0.40320316	Yes	
row_48	NDUFS2	15244	-3.0309019088745117	-0.38512596	Yes	
row_49	NDUFC2	15428	-3.2519493103027344	-0.37594867	Yes	
row_50	NDUFA6	15492	-3.332843065261841	-0.3593348	Yes	
row_51	COX6C	15691	-3.5697944164276123	-0.3490935	Yes	
row_52	NDUFA10	15834	-3.7726941108703613	-0.33437786	Yes	
row_53	SDHA	15856	-3.8164961338043213	-0.31239322	Yes	
row_54	UQCRC2	15992	-4.059958457946777	-0.2955262	Yes	
row_55	COX8A	16029	-4.115386486053467	-0.27259278	Yes	
row_56	NDUFA3	16075	-4.2057318687438965	-0.249631	Yes	
row_57	UQCR10	16134	-4.326603412628174	-0.22668682	Yes	
row_58	COX7B	16225	-4.4968132972717285	-0.2045599	Yes	
row_59	SDHD	16325	-4.7067060470581055	-0.18167797	Yes	
row_60	NDUFB3	16518	-5.126477241516113	-0.16162653	Yes	
row_61	NDUFA5	16653	-5.533434867858887	-0.13574459	Yes	
row_62	COX15	16689	-5.6289849281311035	-0.103552304	Yes	
row_63	NDUFV3	16983	-7.034494400024414	-0.07774753	Yes	
row_64	CYCS	17018	-7.227428436279297	-0.03578065	Yes	
row_65	NDUFA1	17223	-8.980220794677734	0.0070026955	Yes	
