NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS5	2195	1.571982741355896	-0.116597764	No	
row_1	NDUFS8	4594	0.3798869848251343	-0.25282592	No	
row_2	NDUFAB1	4841	0.3189389705657959	-0.26494902	No	
row_3	UQCRC1	6840	-0.0010706279426813126	-0.3805402	No	
row_4	NDUFA4	7605	-0.0924597904086113	-0.42413133	No	
row_5	NDUFV2	7823	-0.12047820538282394	-0.43588936	No	
row_6	NDUFA4L2	8348	-0.19113275408744812	-0.46494213	No	
row_7	NDUFA13	8399	-0.1982557475566864	-0.46652356	No	
row_8	NDUFB10	8759	-0.2538987100124359	-0.48561472	No	
row_9	NDUFA11	9007	-0.2977558970451355	-0.4979358	No	
row_10	NDUFB8	10790	-0.6575247645378113	-0.59668756	No	
row_11	COX7C	11145	-0.7631180882453918	-0.6121211	No	
row_12	COX6B1	11373	-0.8246908783912659	-0.6197995	No	
row_13	UQCRQ	11386	-0.8270066976547241	-0.6150233	No	
row_14	SDHB	11827	-0.9576210379600525	-0.6341459	No	
row_15	UQCRB	12411	-1.1653754711151123	-0.6601679	No	
row_16	NDUFS4	12760	-1.3173221349716187	-0.6715883	Yes	
row_17	COX7A2	12818	-1.3444617986679077	-0.66599286	Yes	
row_18	COX4I1	12966	-1.412304162979126	-0.66515577	Yes	
row_19	NDUFB9	12989	-1.424977421760559	-0.6570027	Yes	
row_20	CYC1	13357	-1.6171412467956543	-0.6675392	Yes	
row_21	NDUFS3	13603	-1.7523658275604248	-0.6701227	Yes	
row_22	UQCRH	13611	-1.75447416305542	-0.6589222	Yes	
row_23	SDHC	13703	-1.80094575881958	-0.65227437	Yes	
row_24	NDUFB4	14003	-1.9913033246994019	-0.6564016	Yes	
row_25	NDUFS7	14130	-2.0635857582092285	-0.6500414	Yes	
row_26	COX5A	14135	-2.0671958923339844	-0.6365988	Yes	
row_27	NDUFS6	14367	-2.2302017211914062	-0.6352115	Yes	
row_28	COX6A1	14424	-2.268899440765381	-0.62344325	Yes	
row_29	NDUFA9	14528	-2.358956813812256	-0.61379856	Yes	
row_30	COX5B	14607	-2.4186956882476807	-0.60231227	Yes	
row_31	NDUFV1	14706	-2.4850051403045654	-0.5915445	Yes	
row_32	NDUFA2	14737	-2.5051774978637695	-0.57670903	Yes	
row_33	UQCR11	14884	-2.6313281059265137	-0.5677505	Yes	
row_34	NDUFB5	14898	-2.653782367706299	-0.5509485	Yes	
row_35	NDUFC1	14952	-2.7080881595611572	-0.5361016	Yes	
row_36	NDUFB7	14959	-2.714019298553467	-0.5184961	Yes	
row_37	UQCRFS1	14966	-2.7207465171813965	-0.5008461	Yes	
row_38	NDUFA8	15030	-2.7912800312042236	-0.48602742	Yes	
row_39	NDUFS1	15060	-2.822007656097412	-0.46903834	Yes	
row_40	NDUFB6	15111	-2.877983331680298	-0.452894	Yes	
row_41	NDUFB1	15177	-2.9584250450134277	-0.4370854	Yes	
row_42	NDUFB2	15237	-3.0224244594573975	-0.4205063	Yes	
row_43	NDUFS2	15244	-3.0309019088745117	-0.40080473	Yes	
row_44	NDUFC2	15428	-3.2519493103027344	-0.38988164	Yes	
row_45	NDUFA6	15492	-3.332843065261841	-0.37148064	Yes	
row_46	COX6C	15691	-3.5697944164276123	-0.35932297	Yes	
row_47	NDUFA10	15834	-3.7726941108703613	-0.34258315	Yes	
row_48	SDHA	15856	-3.8164961338043213	-0.31855288	Yes	
row_49	NDUFB11	15880	-3.8633811473846436	-0.2943282	Yes	
row_50	UQCRC2	15992	-4.059958457946777	-0.27389467	Yes	
row_51	COX8A	16029	-4.115386486053467	-0.24875517	Yes	
row_52	NDUFA3	16075	-4.2057318687438965	-0.22353879	Yes	
row_53	UQCR10	16134	-4.326603412628174	-0.198275	Yes	
row_54	COX7B	16225	-4.4968132972717285	-0.17373674	Yes	
row_55	NDUFA12	16288	-4.618636131286621	-0.14677265	Yes	
row_56	SDHD	16325	-4.7067060470581055	-0.117721714	Yes	
row_57	NDUFB3	16518	-5.126477241516113	-0.094919786	Yes	
row_58	NDUFA5	16653	-5.533434867858887	-0.066070214	Yes	
row_59	NDUFV3	16983	-7.034494400024414	-0.03857359	Yes	
row_60	NDUFA1	17223	-8.980220794677734	0.0070006927	Yes	
