NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ME3	478	5.654603481292725	-0.00944029	No	
row_1	ACO1	1857	1.951910376548767	-0.08310349	No	
row_2	NDUFS5	2195	1.571982741355896	-0.09757512	No	
row_3	MDH1	4213	0.47999706864356995	-0.21309145	No	
row_4	NDUFS8	4594	0.3798869848251343	-0.23391762	No	
row_5	NDUFAB1	4841	0.3189389705657959	-0.24716347	No	
row_6	MRPS36	5259	0.22988951206207275	-0.27062273	No	
row_7	DLST	6555	0.03008810430765152	-0.3456893	No	
row_8	COX4I2	6648	0.01880571059882641	-0.35096827	No	
row_9	UQCRC1	6840	-0.0010706279426813126	-0.36205074	No	
row_10	BLOC1S1	7166	-0.03605934605002403	-0.38079756	No	
row_11	MTFR2	7317	-0.054356835782527924	-0.38932788	No	
row_12	NDUFA4	7605	-0.0924597904086113	-0.40568656	No	
row_13	NDUFV2	7823	-0.12047820538282394	-0.41789162	No	
row_14	NDUFA13	8399	-0.1982557475566864	-0.45062384	No	
row_15	NDUFB10	8759	-0.2538987100124359	-0.47063893	No	
row_16	ATP5F1EP2	8808	-0.2624207139015198	-0.4725755	No	
row_17	SIRT3	8853	-0.27058032155036926	-0.47425348	No	
row_18	NDUFA11	9007	-0.2977558970451355	-0.48217005	No	
row_19	CS	9113	-0.31567442417144775	-0.48724258	No	
row_20	OXA1L	9984	-0.4735078513622284	-0.5362061	No	
row_21	SLC25A14	10144	-0.5042006969451904	-0.5438027	No	
row_22	SLC25A51	10530	-0.5935985445976257	-0.5642273	No	
row_23	ATP5F1E	10731	-0.6460621953010559	-0.57374436	No	
row_24	C2orf69	10747	-0.6482204794883728	-0.57251674	No	
row_25	NDUFB8	10790	-0.6575247645378113	-0.5728261	No	
row_26	COX7C	11145	-0.7631180882453918	-0.5909027	No	
row_27	COA6	11185	-0.7721588611602783	-0.5906669	No	
row_28	COX6B1	11373	-0.8246908783912659	-0.5988512	No	
row_29	UQCRQ	11386	-0.8270066976547241	-0.5968707	No	
row_30	SDHB	11827	-0.9576210379600525	-0.6193093	No	
row_31	UQCRFS1P1	12003	-1.0167566537857056	-0.6261754	No	
row_32	UQCRHL	12207	-1.0890990495681763	-0.6344325	No	
row_33	ATP5MG	12402	-1.1636358499526978	-0.641926	No	
row_34	UQCRB	12411	-1.1653754711151123	-0.63861805	No	
row_35	TEFM	12603	-1.249401330947876	-0.64565974	No	
row_36	SUCLG2	12643	-1.2654170989990234	-0.6438273	No	
row_37	NDUFAF1	12707	-1.2931939363479614	-0.643298	No	
row_38	NDUFS4	12760	-1.3173221349716187	-0.642052	No	
row_39	COX7A2	12818	-1.3444617986679077	-0.64100844	No	
row_40	COX4I1	12966	-1.412304162979126	-0.64496905	No	
row_41	NDUFB9	12989	-1.424977421760559	-0.6416334	No	
row_42	UQCC3	13035	-1.4482872486114502	-0.63955724	No	
row_43	CYC1	13357	-1.6171412467956543	-0.652954	No	
row_44	NDUFS3	13603	-1.7523658275604248	-0.6615019	Yes	
row_45	UQCRH	13611	-1.75447416305542	-0.6562291	Yes	
row_46	SDHC	13703	-1.80094575881958	-0.6556813	Yes	
row_47	IDH3A	13715	-1.8108818531036377	-0.65045804	Yes	
row_48	IDH3G	13781	-1.8546082973480225	-0.64822745	Yes	
row_49	IREB2	13786	-1.86211359500885	-0.6424321	Yes	
row_50	MDH2	13908	-1.9447680711746216	-0.64316005	Yes	
row_51	NDUFB4	14003	-1.9913033246994019	-0.6421702	Yes	
row_52	NDUFS7	14130	-2.0635857582092285	-0.6428037	Yes	
row_53	COX5A	14135	-2.0671958923339844	-0.6363445	Yes	
row_54	SDHAF2	14167	-2.087885856628418	-0.63138545	Yes	
row_55	AFG1L	14170	-2.0925867557525635	-0.62472796	Yes	
row_56	NDUFS6	14367	-2.2302017211914062	-0.6288851	Yes	
row_57	COX6A1	14424	-2.268899440765381	-0.6247911	Yes	
row_58	ATP5MF	14507	-2.3404555320739746	-0.6219746	Yes	
row_59	NDUFA9	14528	-2.358956813812256	-0.6154996	Yes	
row_60	ATP5ME	14534	-2.3610193729400635	-0.6081474	Yes	
row_61	COX5B	14607	-2.4186956882476807	-0.6044972	Yes	
row_62	NDUFV1	14706	-2.4850051403045654	-0.60214144	Yes	
row_63	SURF1	14713	-2.490534543991089	-0.59442794	Yes	
row_64	NDUFA2	14737	-2.5051774978637695	-0.5876538	Yes	
row_65	UQCR11	14884	-2.6313281059265137	-0.5876104	Yes	
row_66	NDUFB5	14898	-2.653782367706299	-0.57977486	Yes	
row_67	NDUFC1	14952	-2.7080881595611572	-0.5740851	Yes	
row_68	NDUFB7	14959	-2.714019298553467	-0.56564826	Yes	
row_69	UQCRFS1	14966	-2.7207465171813965	-0.5571896	Yes	
row_70	NDUFA8	15030	-2.7912800312042236	-0.551811	Yes	
row_71	NDUFS1	15060	-2.822007656097412	-0.5443595	Yes	
row_72	ATP5PB	15084	-2.843700885772705	-0.5364896	Yes	
row_73	NDUFB6	15111	-2.877983331680298	-0.5286828	Yes	
row_74	ATP5F1D	15115	-2.8833279609680176	-0.51952374	Yes	
row_75	NDUFB1	15177	-2.9584250450134277	-0.51348805	Yes	
row_76	NDUFB2	15237	-3.0224244594573975	-0.5071291	Yes	
row_77	NDUFS2	15244	-3.0309019088745117	-0.49766648	Yes	
row_78	NDUFC2	15428	-3.2519493103027344	-0.49776173	Yes	
row_79	NDUFA6	15492	-3.332843065261841	-0.49063012	Yes	
row_80	ATP5PF	15632	-3.4848365783691406	-0.4874177	Yes	
row_81	SUCLA2	15685	-3.5594935417175293	-0.478914	Yes	
row_82	COX6C	15691	-3.5697944164276123	-0.46764898	Yes	
row_83	IDH3B	15740	-3.6547183990478516	-0.45860487	Yes	
row_84	NDUFA10	15834	-3.7726941108703613	-0.45179075	Yes	
row_85	SDHA	15856	-3.8164961338043213	-0.44065583	Yes	
row_86	NDUFB11	15880	-3.8633811473846436	-0.42948526	Yes	
row_87	ATP5PD	15906	-3.9043750762939453	-0.41829807	Yes	
row_88	ATP5F1A	15971	-4.031851291656494	-0.40896186	Yes	
row_89	ATP5PO	15977	-4.039560794830322	-0.39617622	Yes	
row_90	ACO2	15978	-4.040835857391357	-0.38309628	Yes	
row_91	UQCRC2	15992	-4.059958457946777	-0.37070897	Yes	
row_92	COX8A	16029	-4.115386486053467	-0.3594772	Yes	
row_93	NDUFA3	16075	-4.2057318687438965	-0.34847534	Yes	
row_94	UQCR10	16134	-4.326603412628174	-0.3378368	Yes	
row_95	COX7B	16225	-4.4968132972717285	-0.32850462	Yes	
row_96	NDUFA12	16288	-4.618636131286621	-0.31715295	Yes	
row_97	MTFR1L	16321	-4.703781604766846	-0.3037844	Yes	
row_98	SDHD	16325	-4.7067060470581055	-0.28872317	Yes	
row_99	ATP5F1B	16343	-4.739020347595215	-0.27436996	Yes	
row_100	ATP5F1C	16455	-4.990995407104492	-0.26465702	Yes	
row_101	NNT	16497	-5.084190368652344	-0.25057948	Yes	
row_102	NIPSNAP2	16501	-5.094390392303467	-0.23426336	Yes	
row_103	NDUFB3	16518	-5.126477241516113	-0.2185979	Yes	
row_104	OGDH	16550	-5.214919090270996	-0.2035168	Yes	
row_105	NDUFA5	16653	-5.533434867858887	-0.19152564	Yes	
row_106	COX15	16689	-5.6289849281311035	-0.17533639	Yes	
row_107	MTFR1	16723	-5.7915520668029785	-0.15850484	Yes	
row_108	MDH1B	16854	-6.440436840057373	-0.14520293	Yes	
row_109	SUCLG1	16882	-6.554940700531006	-0.12555209	Yes	
row_110	FH	16896	-6.615677833557129	-0.10489205	Yes	
row_111	NDUFV3	16983	-7.034494400024414	-0.08711338	Yes	
row_112	CYCS	17018	-7.227428436279297	-0.06569202	Yes	
row_113	CHCHD10	17147	-8.168514251708984	-0.04668034	Yes	
row_114	OGDHL	17219	-8.93732738494873	-0.021871679	Yes	
row_115	NDUFA1	17223	-8.980220794677734	0.0070226616	Yes	
