NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ULBP1	308	6.866145133972168	0.14053476	Yes	
row_1	HLA-G	351	6.40706205368042	0.2858388	Yes	
row_2	ULBP2	520	5.497636795043945	0.40290096	Yes	
row_3	RAET1G	1162	3.2069778442382812	0.43984395	Yes	
row_4	ERAP2	1213	3.067995071411133	0.5076969	Yes	
row_5	HLA-B	1390	2.727137565612793	0.56041753	Yes	
row_6	B2M	1598	2.345477342605591	0.6025488	Yes	
row_7	RAET1E	1662	2.234928846359253	0.65044326	Yes	
row_8	HLA-C	1686	2.202075958251953	0.6998891	Yes	
row_9	HLA-H	1691	2.194960355758667	0.75026774	Yes	
row_10	HLA-A	1776	2.0715153217315674	0.79318213	Yes	
row_11	IDE	2396	1.4111278057098389	0.7899879	Yes	
row_12	MICA	2917	1.0373190641403198	0.78388935	Yes	
row_13	TAP1	2922	1.0364242792129517	0.80755544	Yes	
row_14	MICB	5249	0.23215845227241516	0.6786437	No	
row_15	HLA-F	5483	0.1842682808637619	0.6694429	No	
row_16	TAP2	5525	0.17696760594844818	0.6711566	No	
row_17	ERAP1	5964	0.10420064628124237	0.64827627	No	
row_18	HFE	7140	-0.03257487714290619	0.5812024	No	
row_19	ULBP3	7525	-0.0805778056383133	0.5608945	No	
row_20	HLA-E	8751	-0.25300729274749756	0.49601698	No	
