NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ULBP1	308	6.866145133972168	0.1310319	Yes	
row_1	HLA-G	351	6.40706205368042	0.2674701	Yes	
row_2	ULBP2	520	5.497636795043945	0.37692398	Yes	
row_3	RAET1G	1162	3.2069778442382812	0.40942514	Yes	
row_4	ERAP2	1213	3.067995071411133	0.47303256	Yes	
row_5	HLA-B	1390	2.727137565612793	0.52197844	Yes	
row_6	B2M	1598	2.345477342605591	0.5608628	Yes	
row_7	RAET1E	1662	2.234928846359253	0.6056643	Yes	
row_8	HLA-C	1686	2.202075958251953	0.652063	Yes	
row_9	HLA-H	1691	2.194960355758667	0.69940436	Yes	
row_10	HLA-A	1776	2.0715153217315674	0.7394518	Yes	
row_11	HLA-DRA	2312	1.4786958694458008	0.74061465	Yes	
row_12	IDE	2396	1.4111278057098389	0.766407	Yes	
row_13	HLA-DRB1	2546	1.2902542352676392	0.7857694	Yes	
row_14	MICA	2917	1.0373190641403198	0.7868915	Yes	
row_15	TAP1	2922	1.0364242792129517	0.80912346	Yes	
row_16	MICB	5249	0.23215845227241516	0.679875	No	
row_17	HLA-F	5483	0.1842682808637619	0.67041767	No	
row_18	TAP2	5525	0.17696760594844818	0.6718862	No	
row_19	ERAP1	5964	0.10420064628124237	0.64885885	No	
row_20	HFE	7140	-0.03257487714290619	0.58173203	No	
row_21	ULBP3	7525	-0.0805778056383133	0.56131005	No	
row_22	HLA-E	8751	-0.25300729274749756	0.4960743	No	
