NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ULBP1	308	6.866145133972168	0.14691019	Yes	
row_1	HLA-G	351	6.40706205368042	0.29816338	Yes	
row_2	ULBP2	520	5.497636795043945	0.4203303	Yes	
row_3	CD1A	747	4.46450662612915	0.5143689	Yes	
row_4	RAET1G	1162	3.2069778442382812	0.5673929	Yes	
row_5	HLA-B	1390	2.727137565612793	0.61970186	Yes	
row_6	RAET1E	1662	2.234928846359253	0.6576651	Yes	
row_7	HLA-C	1686	2.202075958251953	0.7091557	Yes	
row_8	HLA-H	1691	2.194960355758667	0.7615723	Yes	
row_9	HLA-A	1776	2.0715153217315674	0.8064102	Yes	
row_10	MICA	2917	1.0373190641403198	0.76548636	No	
row_11	CD1B	3448	0.7555633187294006	0.75301564	No	
row_12	CD1E	4811	0.32658737897872925	0.68222976	No	
row_13	MICB	5249	0.23215845227241516	0.6625731	No	
row_14	CD1C	5474	0.18620774149894714	0.6541094	No	
row_15	HLA-F	5483	0.1842682808637619	0.6580674	No	
row_16	TAP2	5525	0.17696760594844818	0.6599454	No	
row_17	HFE	7140	-0.03257487714290619	0.5675612	No	
row_18	ULBP3	7525	-0.0805778056383133	0.5473282	No	
row_19	HLA-E	8751	-0.25300729274749756	0.48268554	No	
row_20	CD1D	10352	-0.5534077286720276	0.40360197	No	
