NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFB1	258	7.254058361053467	0.028163565	No	
row_1	NDUFS5	2195	1.571982741355896	-0.07452221	No	
row_2	NUDT2	4096	0.5153933763504028	-0.18140152	No	
row_3	NDUFS8	4594	0.3798869848251343	-0.20790306	No	
row_4	NDUFAB1	4841	0.3189389705657959	-0.22024289	No	
row_5	VPS9D1	5760	0.13641703128814697	-0.27255136	No	
row_6	NDUFV2	7823	-0.12047820538282394	-0.39115056	No	
row_7	NDUFA13	8399	-0.1982557475566864	-0.42324445	No	
row_8	NDUFB10	8759	-0.2538987100124359	-0.44250923	No	
row_9	ATP5F1EP2	8808	-0.2624207139015198	-0.4437278	No	
row_10	NDUFA11	9007	-0.2977558970451355	-0.453416	No	
row_11	SLC25A13	9035	-0.3037109971046448	-0.4531741	No	
row_12	AK9	9745	-0.4233147203922272	-0.4916848	No	
row_13	ATP5F1E	10731	-0.6460621953010559	-0.5448426	No	
row_14	NDUFB8	10790	-0.6575247645378113	-0.5442927	No	
row_15	ATP5MC2	11585	-0.8852762579917908	-0.5849775	No	
row_16	PRKAG2	11806	-0.9522266387939453	-0.59205085	No	
row_17	SDHB	11827	-0.9576210379600525	-0.5875194	No	
row_18	ATP5MG	12402	-1.1636358499526978	-0.6138207	No	
row_19	NDUFS4	12760	-1.3173221349716187	-0.6266525	No	
row_20	NDUFB9	12989	-1.424977421760559	-0.6313804	No	
row_21	ALDOA	13192	-1.534595251083374	-0.6339527	No	
row_22	NDUFS3	13603	-1.7523658275604248	-0.6472669	No	
row_23	SDHC	13703	-1.80094575881958	-0.64229697	No	
row_24	NDUFB4	14003	-1.9913033246994019	-0.647769	Yes	
row_25	NDUFS7	14130	-2.0635857582092285	-0.64280117	Yes	
row_26	NDUFS6	14367	-2.2302017211914062	-0.6432086	Yes	
row_27	ATP5MF	14507	-2.3404555320739746	-0.6373483	Yes	
row_28	NDUFA9	14528	-2.358956813812256	-0.6244923	Yes	
row_29	ATP5ME	14534	-2.3610193729400635	-0.6107561	Yes	
row_30	NDUFV1	14706	-2.4850051403045654	-0.6058887	Yes	
row_31	NDUFA2	14737	-2.5051774978637695	-0.59274274	Yes	
row_32	NDUFB5	14898	-2.653782367706299	-0.58623624	Yes	
row_33	NDUFC1	14952	-2.7080881595611572	-0.5732157	Yes	
row_34	NDUFB7	14959	-2.714019298553467	-0.5574404	Yes	
row_35	NDUFA8	15030	-2.7912800312042236	-0.5449094	Yes	
row_36	NDUFS1	15060	-2.822007656097412	-0.5298235	Yes	
row_37	ATP5PB	15084	-2.843700885772705	-0.5142614	Yes	
row_38	NDUFB6	15111	-2.877983331680298	-0.4986694	Yes	
row_39	ATP5F1D	15115	-2.8833279609680176	-0.4817147	Yes	
row_40	NDUFB1	15177	-2.9584250450134277	-0.46767	Yes	
row_41	NDUFB2	15237	-3.0224244594573975	-0.45312938	Yes	
row_42	NDUFS2	15244	-3.0309019088745117	-0.43547162	Yes	
row_43	NDUFC2	15428	-3.2519493103027344	-0.42674264	Yes	
row_44	NDUFA6	15492	-3.332843065261841	-0.41058946	Yes	
row_45	ATP5PF	15632	-3.4848365783691406	-0.39793098	Yes	
row_46	NDUFA10	15834	-3.7726941108703613	-0.38715008	Yes	
row_47	SDHA	15856	-3.8164961338043213	-0.36569348	Yes	
row_48	NDUFB11	15880	-3.8633811473846436	-0.34407413	Yes	
row_49	ATP5PD	15906	-3.9043750762939453	-0.32232696	Yes	
row_50	ATP5F1A	15971	-4.031851291656494	-0.3020792	Yes	
row_51	ATP5PO	15977	-4.039560794830322	-0.2783717	Yes	
row_52	ATP5MC3	16070	-4.195987701416016	-0.2587691	Yes	
row_53	NDUFA3	16075	-4.2057318687438965	-0.2340166	Yes	
row_54	NDUFA12	16288	-4.618636131286621	-0.2188469	Yes	
row_55	SDHD	16325	-4.7067060470581055	-0.19297002	Yes	
row_56	ATP5F1B	16343	-4.739020347595215	-0.16580178	Yes	
row_57	ATP5F1C	16455	-4.990995407104492	-0.14257587	Yes	
row_58	NDUFB3	16518	-5.126477241516113	-0.11570982	Yes	
row_59	NDUFA5	16653	-5.533434867858887	-0.090592444	Yes	
row_60	ATP5MC1	16750	-5.9369120597839355	-0.060879406	Yes	
row_61	NDUFV3	16983	-7.034494400024414	-0.03251569	Yes	
row_62	NDUFA1	17223	-8.980220794677734	0.0070014736	Yes	
