NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN16	0	14.873589515686035	0.06831151	Yes	
row_1	CDH3	38	10.840822219848633	0.115958735	Yes	
row_2	SDK1	52	10.472935676574707	0.1633061	Yes	
row_3	CLDN10	63	10.202343940734863	0.20958441	Yes	
row_4	CLDN1	172	8.368075370788574	0.24176338	Yes	
row_5	NECTIN4	189	8.135899543762207	0.2782035	Yes	
row_6	LAMB3	199	7.959422588348389	0.3142384	Yes	
row_7	CLDN9	256	7.2915802001953125	0.34448442	Yes	
row_8	CDH4	274	7.107949256896973	0.37614542	Yes	
row_9	FLNA	346	6.437281131744385	0.4015992	Yes	
row_10	CLDN2	437	5.841607093811035	0.4232169	Yes	
row_11	CDH6	468	5.723079681396484	0.4477647	Yes	
row_12	ITGA6	552	5.306312084197998	0.46732926	Yes	
row_13	CDH2	564	5.250921726226807	0.49080873	Yes	
row_14	CTNNB1	575	5.200794696807861	0.5141159	Yes	
row_15	CD151	598	5.128293991088867	0.5363952	Yes	
row_16	CDH13	640	4.8930745124816895	0.55649394	Yes	
row_17	ITGB4	670	4.762547016143799	0.5766881	Yes	
row_18	ACTN1	739	4.487182140350342	0.5933592	Yes	
row_19	PLEC	835	4.169034004211426	0.60700554	Yes	
row_20	DST	841	4.150140762329102	0.62577677	Yes	
row_21	ITGB1	888	4.0007195472717285	0.6414876	Yes	
row_22	NECTIN1	1161	3.21047306060791	0.6404819	Yes	
row_23	CLDN11	1237	3.013350248336792	0.6499786	Yes	
row_24	LAMC2	1291	2.9046406745910645	0.66024995	Yes	
row_25	CDH11	1408	2.700869083404541	0.6659373	Yes	
row_26	CDH15	1442	2.650753974914551	0.67620075	Yes	
row_27	CDH24	1549	2.422044038772583	0.68118656	Yes	
row_28	VASP	1680	2.212545156478882	0.6838204	Yes	
row_29	CLDN7	2305	1.4856560230255127	0.65450966	No	
row_30	CADM1	2527	1.3024131059646606	0.6476939	No	
row_31	CLDN4	2539	1.296248197555542	0.6530103	No	
row_32	PATJ	3014	0.9865829348564148	0.63009346	No	
row_33	CTNNA1	3401	0.7774976491928101	0.61131215	No	
row_34	FBLIM1	3930	0.5693429112434387	0.583352	No	
row_35	CDH8	3957	0.5618701577186584	0.584427	No	
row_36	F11R	4371	0.43913576006889343	0.5625282	No	
row_37	CRB3	4538	0.39405137300491333	0.5547254	No	
row_38	PRKCI	4636	0.36940932273864746	0.55080503	No	
row_39	CLDN3	4676	0.35803720355033875	0.55019104	No	
row_40	PXN	4853	0.3162951171398163	0.54145205	No	
row_41	CDH18	4877	0.3120374381542206	0.54155326	No	
row_42	CLDN12	4950	0.2923152446746826	0.5387265	No	
row_43	ANG	4985	0.2851049304008484	0.5380671	No	
row_44	PARD6B	5422	0.19602608680725098	0.51371986	No	
row_45	CLDN15	5556	0.1722121685743332	0.5068091	No	
row_46	PARVA	6638	0.019731497392058372	0.44430202	No	
row_47	NECTIN2	6703	0.013034326955676079	0.44065583	No	
row_48	CDH1	6766	0.006622379645705223	0.437096	No	
row_49	PARVB	6838	-7.405590731650591E-4	0.432988	No	
row_50	CLDN6	7251	-0.04584215208888054	0.40934074	No	
row_51	CADM3	7345	-0.05920885503292084	0.40422732	No	
row_52	ARHGEF6	7554	-0.08530939370393753	0.39257443	No	
row_53	LAMA3	7656	-0.09854580461978912	0.3871784	No	
row_54	JUP	7883	-0.12835349142551422	0.37468085	No	
row_55	ILK	9004	-0.2969648241996765	0.31118867	No	
row_56	PARD3	9013	-0.29900023341178894	0.31209865	No	
row_57	CTNND1	9514	-0.3817761540412903	0.28489846	No	
row_58	FERMT2	9680	-0.41207849979400635	0.27723637	No	
row_59	PARD6A	9711	-0.4177148640155792	0.27741763	No	
row_60	RSU1	10206	-0.5200856328010559	0.2512001	No	
row_61	FLNC	11170	-0.768834114074707	0.19896655	No	
row_62	CDH17	11304	-0.8063536286354065	0.19496831	No	
row_63	TESK1	11509	-0.8628215789794922	0.18711801	No	
row_64	LIMS1	12155	-1.0724034309387207	0.15469319	No	
row_65	PVR	12485	-1.1932644844055176	0.14112213	No	
row_66	SDK2	12819	-1.344717025756836	0.12801506	No	
row_67	COL17A1	12985	-1.424363374710083	0.12500219	No	
row_68	CLDN5	13657	-1.782639741897583	0.09433375	No	
row_69	NECTIN3	13869	-1.9161025285720825	0.09091561	No	
row_70	CLDN23	14038	-2.0105795860290527	0.0904214	No	
row_71	CDH5	15482	-3.321321964263916	0.022115452	No	
row_72	LIMS2	15776	-3.701333522796631	0.02214814	No	
row_73	CADM2	15868	-3.83682918548584	0.034500394	No	
row_74	CLDN8	16329	-4.715445518493652	0.029520197	No	
row_75	PARD6G	16837	-6.3572492599487305	0.029358841	No	
