NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN16	0	14.873589515686035	0.055732917	Yes	
row_1	CDH3	38	10.840822219848633	0.09420833	Yes	
row_2	SDK1	52	10.472935676574707	0.13269742	Yes	
row_3	CLDN10	63	10.202343940734863	0.1703466	Yes	
row_4	CLDN1	172	8.368075370788574	0.1954378	Yes	
row_5	NECTIN4	189	8.135899543762207	0.22499576	Yes	
row_6	FYN	192	8.09643840789795	0.25521797	Yes	
row_7	LAMB3	199	7.959422588348389	0.2846947	Yes	
row_8	CLDN9	256	7.2915802001953125	0.3087686	Yes	
row_9	CDH4	274	7.107949256896973	0.3344167	Yes	
row_10	FLNA	346	6.437281131744385	0.3544193	Yes	
row_11	CLDN2	437	5.841607093811035	0.3710877	Yes	
row_12	IQGAP1	442	5.83340311050415	0.39271405	Yes	
row_13	CDH6	468	5.723079681396484	0.41270882	Yes	
row_14	ITGA6	552	5.306312084197998	0.42777747	Yes	
row_15	CDH2	564	5.250921726226807	0.44681516	Yes	
row_16	CTNNB1	575	5.200794696807861	0.465723	Yes	
row_17	CD151	598	5.128293991088867	0.48366308	Yes	
row_18	CDH13	640	4.8930745124816895	0.49961963	Yes	
row_19	ITGB4	670	4.762547016143799	0.5157832	Yes	
row_20	ACTN1	739	4.487182140350342	0.52865255	Yes	
row_21	PLEC	835	4.169034004211426	0.53876364	Yes	
row_22	DST	841	4.150140762329102	0.5540246	Yes	
row_23	ITGB1	888	4.0007195472717285	0.56634736	Yes	
row_24	CD47	899	3.9564146995544434	0.5805924	Yes	
row_25	PTK2B	1155	3.2310123443603516	0.57790726	Yes	
row_26	NECTIN1	1161	3.21047306060791	0.58964723	Yes	
row_27	CLDN11	1237	3.013350248336792	0.59658796	Yes	
row_28	LAMC2	1291	2.9046406745910645	0.60439754	Yes	
row_29	CDH11	1408	2.700869083404541	0.60778904	Yes	
row_30	SPTAN1	1427	2.6741156578063965	0.6167651	Yes	
row_31	CDH15	1442	2.650753974914551	0.62588567	Yes	
row_32	CDH24	1549	2.422044038772583	0.62881243	Yes	
row_33	VASP	1680	2.212545156478882	0.629562	Yes	
row_34	ACTN4	2153	1.6158398389816284	0.60823697	No	
row_35	TYROBP	2184	1.5832217931747437	0.61242926	No	
row_36	CLDN7	2305	1.4856560230255127	0.6110352	No	
row_37	PIK3CA	2380	1.4266042709350586	0.61208826	No	
row_38	CASK	2470	1.3427627086639404	0.611957	No	
row_39	CADM1	2527	1.3024131059646606	0.61358887	No	
row_40	CLDN4	2539	1.296248197555542	0.6178079	No	
row_41	PATJ	3014	0.9865829348564148	0.594009	No	
row_42	CTNNA1	3401	0.7774976491928101	0.57453126	No	
row_43	SIRPA	3429	0.7642716765403748	0.57582885	No	
row_44	FBLIM1	3930	0.5693429112434387	0.54895824	No	
row_45	CDH8	3957	0.5618701577186584	0.5495554	No	
row_46	F11R	4371	0.43913576006889343	0.5272436	No	
row_47	CRB3	4538	0.39405137300491333	0.51909083	No	
row_48	PRKCI	4636	0.36940932273864746	0.51484823	No	
row_49	CLDN3	4676	0.35803720355033875	0.5139275	No	
row_50	KIRREL3	4689	0.35457348823547363	0.51456004	No	
row_51	SKAP2	4785	0.3317036032676697	0.51029223	No	
row_52	PXN	4853	0.3162951171398163	0.5075909	No	
row_53	CDH18	4877	0.3120374381542206	0.50742596	No	
row_54	CLDN12	4950	0.2923152446746826	0.5043447	No	
row_55	ANG	4985	0.2851049304008484	0.50344074	No	
row_56	NCK2	5116	0.2593299448490143	0.49687144	No	
row_57	KIRREL1	5255	0.23082956671714783	0.48973128	No	
row_58	PTPN6	5304	0.22166317701339722	0.4877775	No	
row_59	FYB1	5310	0.22048401832580566	0.48831365	No	
row_60	PARD6B	5422	0.19602608680725098	0.48260927	No	
row_61	PTPN11	5426	0.19509373605251312	0.48316628	No	
row_62	CLDN15	5556	0.1722121685743332	0.47632855	No	
row_63	PIK3CB	5843	0.12279104441404343	0.46019837	No	
row_64	KIRREL2	6202	0.0724921002984047	0.43970314	No	
row_65	CD2AP	6382	0.051395248621702194	0.4295123	No	
row_66	SIRPB1	6485	0.03969113156199455	0.4237442	No	
row_67	PARVA	6638	0.019731497392058372	0.41500092	No	
row_68	NECTIN2	6703	0.013034326955676079	0.41133726	No	
row_69	CDH1	6766	0.006622379645705223	0.40776557	No	
row_70	PARVB	6838	-7.405590731650591E-4	0.40364978	No	
row_71	CLDN6	7251	-0.04584215208888054	0.37992224	No	
row_72	CADM3	7345	-0.05920885503292084	0.37474936	No	
row_73	ARHGEF6	7554	-0.08530939370393753	0.36300337	No	
row_74	LAMA3	7656	-0.09854580461978912	0.35751382	No	
row_75	JUP	7883	-0.12835349142551422	0.34488496	No	
row_76	SIRPG	8673	-0.2393418252468109	0.30001348	No	
row_77	ILK	9004	-0.2969648241996765	0.2819836	No	
row_78	PARD3	9013	-0.29900023341178894	0.28263992	No	
row_79	CTNND1	9514	-0.3817761540412903	0.25506648	No	
row_80	WASL	9643	-0.40451252460479736	0.2491572	No	
row_81	FERMT2	9680	-0.41207849979400635	0.24861303	No	
row_82	PARD6A	9711	-0.4177148640155792	0.248438	No	
row_83	ACTN2	10098	-0.4951059818267822	0.22790213	No	
row_84	RSU1	10206	-0.5200856328010559	0.2236441	No	
row_85	PTK2	11001	-0.7228840589523315	0.18029445	No	
row_86	FLNC	11170	-0.768834114074707	0.17343001	No	
row_87	CDH17	11304	-0.8063536286354065	0.16873644	No	
row_88	TESK1	11509	-0.8628215789794922	0.1601359	No	
row_89	LIMS1	12155	-1.0724034309387207	0.12673914	No	
row_90	PVR	12485	-1.1932644844055176	0.11212579	No	
row_91	SDK2	12819	-1.344717025756836	0.09784792	No	
row_92	COL17A1	12985	-1.424363374710083	0.09361385	No	
row_93	NCK1	13251	-1.5651373863220215	0.08410646	No	
row_94	NPHS1	13624	-1.763687014579773	0.0691362	No	
row_95	CLDN5	13657	-1.782639741897583	0.073959686	No	
row_96	PIK3R1	13726	-1.8180898427963257	0.07682772	No	
row_97	NECTIN3	13869	-1.9161025285720825	0.07577042	No	
row_98	CLDN23	14038	-2.0105795860290527	0.073558934	No	
row_99	MAGI2	15473	-3.3133504390716553	0.0027909281	No	
row_100	CDH5	15482	-3.321321964263916	0.014772209	No	
row_101	LIMS2	15776	-3.701333522796631	0.011645153	No	
row_102	CADM2	15868	-3.83682918548584	0.02074343	No	
row_103	CLDN8	16329	-4.715445518493652	0.011729022	No	
row_104	SPTBN1	16804	-6.194551944732666	0.00744487	No	
