NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FN1	215	7.756340980529785	0.10287562	Yes	
row_1	ITGA6	552	5.306312084197998	0.16234636	Yes	
row_2	ITGB4	670	4.762547016143799	0.22638106	Yes	
row_3	RCC2	690	4.667489051818848	0.29466197	Yes	
row_4	PTPRK	699	4.625638008117676	0.36295605	Yes	
row_5	ACTN1	739	4.487182140350342	0.42740193	Yes	
row_6	PLEC	835	4.169034004211426	0.483885	Yes	
row_7	DST	841	4.150140762329102	0.54528445	Yes	
row_8	DLC1	1031	3.5037217140197754	0.58645004	Yes	
row_9	SRC	1110	3.312025785446167	0.6311761	Yes	
row_10	PEAK1	1389	2.7275748252868652	0.6556656	Yes	
row_11	CDH11	1408	2.700869083404541	0.6947721	Yes	
row_12	CTTN	1551	2.421710968017578	0.7225687	Yes	
row_13	LAMC1	1610	2.319533348083496	0.7536972	Yes	
row_14	RHOD	3295	0.8297584056854248	0.66878533	No	
row_15	THY1	4056	0.5265856981277466	0.63272506	No	
row_16	TESK2	6568	0.028030535206198692	0.48813972	No	
row_17	TRIP6	7323	-0.055040840059518814	0.4454168	No	
row_18	PIP5K1A	8882	-0.27601152658462524	0.3595501	No	
row_19	FERMT2	9680	-0.41207849979400635	0.31965116	No	
row_20	TAOK2	9709	-0.4173959195613861	0.32423845	No	
row_21	WHAMM	9846	-0.4415262043476105	0.3229478	No	
row_22	ACTN2	10098	-0.4951059818267822	0.31581268	No	
row_23	SORBS1	11602	-0.8896455764770508	0.24224316	No	
row_24	BCR	12343	-1.1368454694747925	0.21640879	No	
row_25	ARHGEF7	12568	-1.2350430488586426	0.22183135	No	
row_26	COL17A1	12985	-1.424363374710083	0.21898063	No	
row_27	THSD1	14317	-2.1985647678375244	0.17479946	No	
