NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPD2	1369	2.7614455223083496	-0.06645667	No	
row_1	NDUFS5	2195	1.571982741355896	-0.10693438	No	
row_2	DHRS2	4539	0.3940187096595764	-0.24083968	No	
row_3	NDUFS8	4594	0.3798869848251343	-0.24219966	No	
row_4	NDUFAB1	4841	0.3189389705657959	-0.25496674	No	
row_5	SLC25A22	6438	0.045401785522699356	-0.34721816	No	
row_6	COX4I2	6648	0.01880571059882641	-0.35923883	No	
row_7	UQCRC1	6840	-0.0010706279426813126	-0.37029925	No	
row_8	NDUFA4	7605	-0.0924597904086113	-0.41413045	No	
row_9	NDUFV2	7823	-0.12047820538282394	-0.4261413	No	
row_10	NDOR1	8060	-0.14993993937969208	-0.43911573	No	
row_11	NDUFB10	8759	-0.2538987100124359	-0.47837177	No	
row_12	SLC25A13	9035	-0.3037109971046448	-0.4928898	No	
row_13	SLC25A51	10530	-0.5935985445976257	-0.57668	No	
row_14	NDUFB8	10790	-0.6575247645378113	-0.588624	No	
row_15	COX7C	11145	-0.7631180882453918	-0.6055802	No	
row_16	COA6	11185	-0.7721588611602783	-0.60424507	No	
row_17	COX6B1	11373	-0.8246908783912659	-0.6112397	No	
row_18	UQCRQ	11386	-0.8270066976547241	-0.608085	No	
row_19	SDHB	11827	-0.9576210379600525	-0.629118	No	
row_20	ENOX2	11971	-1.0077112913131714	-0.6327115	No	
row_21	UQCRFS1P1	12003	-1.0167566537857056	-0.6297743	No	
row_22	UQCRHL	12207	-1.0890990495681763	-0.63646495	No	
row_23	SLC25A18	12272	-1.1122872829437256	-0.6349948	No	
row_24	UQCRB	12411	-1.1653754711151123	-0.63756466	No	
row_25	NDUFAF1	12707	-1.2931939363479614	-0.6486351	No	
row_26	NDUFS4	12760	-1.3173221349716187	-0.64551526	No	
row_27	COX7A2	12818	-1.3444617986679077	-0.6425588	No	
row_28	COX4I1	12966	-1.412304162979126	-0.64450055	No	
row_29	NDUFB9	12989	-1.424977421760559	-0.63914156	No	
row_30	UQCC3	13035	-1.4482872486114502	-0.6350065	No	
row_31	CYC1	13357	-1.6171412467956543	-0.64607525	No	
row_32	NDUFS3	13603	-1.7523658275604248	-0.6521115	Yes	
row_33	UQCRH	13611	-1.75447416305542	-0.6443496	Yes	
row_34	ETFRF1	13647	-1.7752622365951538	-0.6381131	Yes	
row_35	SDHC	13703	-1.80094575881958	-0.6329157	Yes	
row_36	NDUFB4	14003	-1.9913033246994019	-0.6409681	Yes	
row_37	NDUFS7	14130	-2.0635857582092285	-0.6386614	Yes	
row_38	COX5A	14135	-2.0671958923339844	-0.6292699	Yes	
row_39	SDHAF2	14167	-2.087885856628418	-0.62134635	Yes	
row_40	AFG1L	14170	-2.0925867557525635	-0.6117208	Yes	
row_41	ETFB	14266	-2.163344383239746	-0.6071537	Yes	
row_42	NDUFS6	14367	-2.2302017211914062	-0.6025651	Yes	
row_43	COX6A1	14424	-2.268899440765381	-0.59524727	Yes	
row_44	NDUFA9	14528	-2.358956813812256	-0.590233	Yes	
row_45	COX5B	14607	-2.4186956882476807	-0.5834924	Yes	
row_46	NDUFV1	14706	-2.4850051403045654	-0.57760173	Yes	
row_47	NDUFA2	14737	-2.5051774978637695	-0.5676777	Yes	
row_48	ETFA	14838	-2.5853350162506104	-0.5614358	Yes	
row_49	UQCR11	14884	-2.6313281059265137	-0.5517935	Yes	
row_50	NDUFB5	14898	-2.653782367706299	-0.5401928	Yes	
row_51	NDUFC1	14952	-2.7080881595611572	-0.5306566	Yes	
row_52	NDUFB7	14959	-2.714019298553467	-0.5183699	Yes	
row_53	UQCRFS1	14966	-2.7207465171813965	-0.5060519	Yes	
row_54	NDUFA8	15030	-2.7912800312042236	-0.49670777	Yes	
row_55	NDUFS1	15060	-2.822007656097412	-0.48525083	Yes	
row_56	POR	15096	-2.8615853786468506	-0.4739573	Yes	
row_57	NDUFB6	15111	-2.877983331680298	-0.4613708	Yes	
row_58	NDUFB1	15177	-2.9584250450134277	-0.45136446	Yes	
row_59	NDUFB2	15237	-3.0224244594573975	-0.44071257	Yes	
row_60	NDUFS2	15244	-3.0309019088745117	-0.42695072	Yes	
row_61	SLC25A12	15416	-3.2441625595092773	-0.42175522	Yes	
row_62	NDUFC2	15428	-3.2519493103027344	-0.40725404	Yes	
row_63	NDUFA6	15492	-3.332843065261841	-0.39538884	Yes	
row_64	COX6C	15691	-3.5697944164276123	-0.39024168	Yes	
row_65	NDUFA10	15834	-3.7726941108703613	-0.3809057	Yes	
row_66	SDHA	15856	-3.8164961338043213	-0.36435574	Yes	
row_67	UQCRC2	15992	-4.059958457946777	-0.35327694	Yes	
row_68	COX8A	16029	-4.115386486053467	-0.33620462	Yes	
row_69	NDUFA3	16075	-4.2057318687438965	-0.31923315	Yes	
row_70	UQCR10	16134	-4.326603412628174	-0.30245212	Yes	
row_71	COX7B	16225	-4.4968132972717285	-0.28673264	Yes	
row_72	NDUFA12	16288	-4.618636131286621	-0.2688239	Yes	
row_73	SDHD	16325	-4.7067060470581055	-0.24899887	Yes	
row_74	CYB561	16379	-4.832297325134277	-0.22957407	Yes	
row_75	NDUFB3	16518	-5.126477241516113	-0.2137042	Yes	
row_76	PDIA5	16527	-5.150153636932373	-0.19019268	Yes	
row_77	NDUFA5	16653	-5.533434867858887	-0.17167522	Yes	
row_78	COX15	16689	-5.6289849281311035	-0.14749886	Yes	
row_79	NDUFV3	16983	-7.034494400024414	-0.13172658	Yes	
row_80	ETFDH	17010	-7.189838886260986	-0.099762745	Yes	
row_81	CYCS	17018	-7.227428436279297	-0.06652317	Yes	
row_82	NDUFA1	17223	-8.980220794677734	-0.036537014	Yes	
row_83	PPARGC1A	17257	-9.342024803161621	0.0050401366	Yes	
