NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ME3	478	5.654603481292725	-0.013578565	No	
row_1	NR1D1	830	4.187397480010986	-0.023460886	No	
row_2	GYG1	1230	3.024656057357788	-0.039064225	No	
row_3	GSK3B	1236	3.0135557651519775	-0.03176721	No	
row_4	GPD2	1369	2.7614455223083496	-0.032495596	No	
row_5	ADGRF1	1451	2.6320230960845947	-0.03058198	No	
row_6	PYGB	1503	2.5246570110321045	-0.027192896	No	
row_7	STBD1	1630	2.2930984497070312	-0.02875139	No	
row_8	ACO1	1857	1.951910376548767	-0.036988348	No	
row_9	NDUFS5	2195	1.571982741355896	-0.05264144	No	
row_10	PHKG2	2213	1.5582818984985352	-0.049707055	No	
row_11	ADGRF5	2446	1.3631168603897095	-0.05977573	No	
row_12	MDH1	4213	0.47999706864356995	-0.16133714	No	
row_13	NDUFS8	4594	0.3798869848251343	-0.1824942	No	
row_14	ACADVL	4771	0.3354516327381134	-0.19189163	No	
row_15	NDUFAB1	4841	0.3189389705657959	-0.19510393	No	
row_16	ACSM1	4881	0.31049644947052	-0.19659166	No	
row_17	MRPS36	5259	0.22988951206207275	-0.21795182	No	
row_18	SDHAF4	5391	0.20247824490070343	-0.22506537	No	
row_19	RB1CC1	6147	0.07956816256046295	-0.26880124	No	
row_20	MTLN	6356	0.053616635501384735	-0.2807705	No	
row_21	GFPT1	6386	0.050958052277565	-0.28232983	No	
row_22	SLC25A22	6438	0.045401785522699356	-0.28518337	No	
row_23	PYGL	6544	0.03127530962228775	-0.29121497	No	
row_24	DLST	6555	0.03008810430765152	-0.29172114	No	
row_25	UGP2	6557	0.02958650141954422	-0.29170483	No	
row_26	COX4I2	6648	0.01880571059882641	-0.2968949	No	
row_27	NR4A3	6698	0.013438977301120758	-0.29971257	No	
row_28	UQCRC1	6840	-0.0010706279426813126	-0.30791518	No	
row_29	PER2	7017	-0.01961672119796276	-0.31810787	No	
row_30	BLOC1S1	7166	-0.03605934605002403	-0.32662973	No	
row_31	MTFR2	7317	-0.054356835782527924	-0.33522192	No	
row_32	GFPT2	7480	-0.0763045996427536	-0.34445718	No	
row_33	NDUFA4	7605	-0.0924597904086113	-0.35144037	No	
row_34	NDUFV2	7823	-0.12047820538282394	-0.36376503	No	
row_35	GAA	8123	-0.15843887627124786	-0.380766	No	
row_36	GYS1	8128	-0.15936502814292908	-0.3805975	No	
row_37	NDUFA13	8399	-0.1982557475566864	-0.3958106	No	
row_38	NDUFB10	8759	-0.2538987100124359	-0.41606283	No	
row_39	ATP5F1EP2	8808	-0.2624207139015198	-0.41819537	No	
row_40	SIRT3	8853	-0.27058032155036926	-0.42007458	No	
row_41	NDUFA11	9007	-0.2977558970451355	-0.42822847	No	
row_42	SLC25A13	9035	-0.3037109971046448	-0.42903498	No	
row_43	CS	9113	-0.31567442417144775	-0.43272102	No	
row_44	LEP	9123	-0.31797298789024353	-0.43244413	No	
row_45	LEPR	9213	-0.3314673602581024	-0.43678874	No	
row_46	CHCHD5	9222	-0.3323458731174469	-0.43641746	No	
row_47	OXA1L	9984	-0.4735078513622284	-0.47951058	No	
row_48	SLC25A14	10144	-0.5042006969451904	-0.4874938	No	
row_49	NHLRC1	10511	-0.5895758867263794	-0.5073082	No	
row_50	SLC25A51	10530	-0.5935985445976257	-0.50686103	No	
row_51	ATP5F1E	10731	-0.6460621953010559	-0.516873	No	
row_52	C2orf69	10747	-0.6482204794883728	-0.5161137	No	
row_53	NDUFB8	10790	-0.6575247645378113	-0.5169022	No	
row_54	GYG2	10929	-0.6974391937255859	-0.52317685	No	
row_55	COX7C	11145	-0.7631180882453918	-0.533767	No	
row_56	COA6	11185	-0.7721588611602783	-0.5340923	No	
row_57	COX6B1	11373	-0.8246908783912659	-0.542898	No	
row_58	UQCRQ	11386	-0.8270066976547241	-0.5415139	No	
row_59	PPP1R3C	11714	-0.927587628364563	-0.55820763	No	
row_60	PRKAG2	11806	-0.9522266387939453	-0.5611056	No	
row_61	SDHB	11827	-0.9576210379600525	-0.55985826	No	
row_62	UQCRFS1P1	12003	-1.0167566537857056	-0.567482	No	
row_63	UQCRHL	12207	-1.0890990495681763	-0.576553	No	
row_64	SLC25A18	12272	-1.1122872829437256	-0.57747674	No	
row_65	ATP5MG	12402	-1.1636358499526978	-0.5820537	No	
row_66	UQCRB	12411	-1.1653754711151123	-0.5795849	No	
row_67	TEFM	12603	-1.249401330947876	-0.587554	No	
row_68	SUCLG2	12643	-1.2654170989990234	-0.58663726	No	
row_69	NDUFAF1	12707	-1.2931939363479614	-0.5870473	No	
row_70	NDUFS4	12760	-1.3173221349716187	-0.5867564	No	
row_71	COX7A2	12818	-1.3444617986679077	-0.58668816	No	
row_72	COX4I1	12966	-1.412304162979126	-0.5916865	No	
row_73	NDUFB9	12989	-1.424977421760559	-0.5893788	No	
row_74	UQCC3	13035	-1.4482872486114502	-0.5883508	No	
row_75	CYC1	13357	-1.6171412467956543	-0.60295904	No	
row_76	MRAP2	13506	-1.7042038440704346	-0.6072806	No	
row_77	NDUFS3	13603	-1.7523658275604248	-0.6084548	Yes	
row_78	UQCRH	13611	-1.75447416305542	-0.6044445	Yes	
row_79	ETFRF1	13647	-1.7752622365951538	-0.60201126	Yes	
row_80	SDHC	13703	-1.80094575881958	-0.6006772	Yes	
row_81	IDH3A	13715	-1.8108818531036377	-0.59675765	Yes	
row_82	GBE1	13724	-1.8179364204406738	-0.5926457	Yes	
row_83	IDH3G	13781	-1.8546082973480225	-0.59123474	Yes	
row_84	IREB2	13786	-1.86211359500885	-0.5867788	Yes	
row_85	MDH2	13908	-1.9447680711746216	-0.5889234	Yes	
row_86	NDUFB4	14003	-1.9913033246994019	-0.5893796	Yes	
row_87	NDUFS7	14130	-2.0635857582092285	-0.591516	Yes	
row_88	COX5A	14135	-2.0671958923339844	-0.5865437	Yes	
row_89	SDHAF2	14167	-2.087885856628418	-0.5830905	Yes	
row_90	AFG1L	14170	-2.0925867557525635	-0.57793784	Yes	
row_91	ETFB	14266	-2.163344383239746	-0.5780191	Yes	
row_92	NDUFS6	14367	-2.2302017211914062	-0.5782229	Yes	
row_93	COX6A1	14424	-2.268899440765381	-0.57576877	Yes	
row_94	ATP5MF	14507	-2.3404555320739746	-0.5746475	Yes	
row_95	NDUFA9	14528	-2.358956813812256	-0.56987166	Yes	
row_96	ATP5ME	14534	-2.3610193729400635	-0.5642177	Yes	
row_97	COX5B	14607	-2.4186956882476807	-0.5623175	Yes	
row_98	NDUFV1	14706	-2.4850051403045654	-0.56176335	Yes	
row_99	SURF1	14713	-2.490534543991089	-0.55584145	Yes	
row_100	NDUFA2	14737	-2.5051774978637695	-0.55087197	Yes	
row_101	ETFA	14838	-2.5853350162506104	-0.5501816	Yes	
row_102	UQCR11	14884	-2.6313281059265137	-0.54617476	Yes	
row_103	NDUFB5	14898	-2.653782367706299	-0.5402492	Yes	
row_104	NDUFC1	14952	-2.7080881595611572	-0.53651464	Yes	
row_105	NDUFB7	14959	-2.714019298553467	-0.53003	Yes	
row_106	UQCRFS1	14966	-2.7207465171813965	-0.5235285	Yes	
row_107	NDUFA8	15030	-2.7912800312042236	-0.5201664	Yes	
row_108	NDUFS1	15060	-2.822007656097412	-0.51474833	Yes	
row_109	ATP5PB	15084	-2.843700885772705	-0.5089265	Yes	
row_110	PID1	15093	-2.8590736389160156	-0.50219303	Yes	
row_111	NDUFB6	15111	-2.877983331680298	-0.4959357	Yes	
row_112	ATP5F1D	15115	-2.8833279609680176	-0.4888502	Yes	
row_113	NDUFB1	15177	-2.9584250450134277	-0.48495087	Yes	
row_114	NDUFB2	15237	-3.0224244594573975	-0.480774	Yes	
row_115	NDUFS2	15244	-3.0309019088745117	-0.4734915	Yes	
row_116	SLC25A12	15416	-3.2441625595092773	-0.47527397	Yes	
row_117	NDUFC2	15428	-3.2519493103027344	-0.46772584	Yes	
row_118	NDUFA6	15492	-3.332843065261841	-0.46300012	Yes	
row_119	ATP5PF	15632	-3.4848365783691406	-0.46231437	Yes	
row_120	AGL	15640	-3.495070695877075	-0.45392132	Yes	
row_121	SUCLA2	15685	-3.5594935417175293	-0.4475192	Yes	
row_122	COX6C	15691	-3.5697944164276123	-0.4388216	Yes	
row_123	IDH3B	15740	-3.6547183990478516	-0.43241253	Yes	
row_124	NDUFA10	15834	-3.7726941108703613	-0.4283251	Yes	
row_125	SDHA	15856	-3.8164961338043213	-0.4199374	Yes	
row_126	NDUFB11	15880	-3.8633811473846436	-0.41154805	Yes	
row_127	ATP5PD	15906	-3.9043750762939453	-0.40317187	Yes	
row_128	ATP5F1A	15971	-4.031851291656494	-0.39674428	Yes	
row_129	ATP5PO	15977	-4.039560794830322	-0.38686383	Yes	
row_130	ACO2	15978	-4.040835857391357	-0.3766892	Yes	
row_131	UQCRC2	15992	-4.059958457946777	-0.36722293	Yes	
row_132	COX8A	16029	-4.115386486053467	-0.3589556	Yes	
row_133	NDUFA3	16075	-4.2057318687438965	-0.35098448	Yes	
row_134	UQCR10	16134	-4.326603412628174	-0.34346554	Yes	
row_135	COX7B	16225	-4.4968132972717285	-0.3373802	Yes	
row_136	NDUFA12	16288	-4.618636131286621	-0.32935873	Yes	
row_137	LYRM7	16289	-4.619129180908203	-0.31772798	Yes	
row_138	MTFR1L	16321	-4.703781604766846	-0.30768812	Yes	
row_139	SDHD	16325	-4.7067060470581055	-0.29601145	Yes	
row_140	ATP5F1B	16343	-4.739020347595215	-0.28506812	Yes	
row_141	ATP5F1C	16455	-4.990995407104492	-0.27896053	Yes	
row_142	NNT	16497	-5.084190368652344	-0.26854473	Yes	
row_143	NIPSNAP2	16501	-5.094390392303467	-0.2558919	Yes	
row_144	NDUFB3	16518	-5.126477241516113	-0.24391478	Yes	
row_145	OGDH	16550	-5.214919090270996	-0.23258787	Yes	
row_146	NDUFA5	16653	-5.533434867858887	-0.22459072	Yes	
row_147	COX15	16689	-5.6289849281311035	-0.21245399	Yes	
row_148	MTFR1	16723	-5.7915520668029785	-0.19979155	Yes	
row_149	MDH1B	16854	-6.440436840057373	-0.19114003	Yes	
row_150	SUCLG1	16882	-6.554940700531006	-0.17620625	Yes	
row_151	FH	16896	-6.615677833557129	-0.16030481	Yes	
row_152	PYGM	16952	-6.910824775695801	-0.14610435	Yes	
row_153	NDUFV3	16983	-7.034494400024414	-0.13013765	Yes	
row_154	ETFDH	17010	-7.189838886260986	-0.113547035	Yes	
row_155	CYCS	17018	-7.227428436279297	-0.09575609	Yes	
row_156	CHCHD10	17147	-8.168514251708984	-0.08263697	Yes	
row_157	OGDHL	17219	-8.93732738494873	-0.064264975	Yes	
row_158	NDUFA1	17223	-8.980220794677734	-0.04182781	Yes	
row_159	PPARGC1A	17257	-9.342024803161621	-0.02022545	Yes	
row_160	MT3	17294	-10.02005672454834	0.0029095795	Yes	
