NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH3	38	10.840822219848633	0.0324677	Yes	
row_1	WNT10A	61	10.213289260864258	0.063857615	Yes	
row_2	BNC1	78	9.811097145080566	0.09430963	Yes	
row_3	KLK7	94	9.554899215698242	0.124000266	Yes	
row_4	KRT15	137	8.909311294555664	0.15005754	Yes	
row_5	SCEL	142	8.822376251220703	0.17804414	Yes	
row_6	CLDN1	172	8.368075370788574	0.2031254	Yes	
row_7	EREG	191	8.104013442993164	0.22800101	Yes	
row_8	LAMB3	199	7.959422588348389	0.25305313	Yes	
row_9	TMEM79	207	7.7972412109375	0.2775865	Yes	
row_10	MET	255	7.297868251800537	0.29819903	Yes	
row_11	COL7A1	343	6.468628883361816	0.31383562	Yes	
row_12	KRT17	363	6.308168411254883	0.33290902	Yes	
row_13	ANXA1	383	6.144872188568115	0.3514601	Yes	
row_14	POU2F3	396	6.090054512023926	0.37024248	Yes	
row_15	GRHL3	406	6.039093971252441	0.38903612	Yes	
row_16	EDA2R	447	5.807465553283691	0.4052881	Yes	
row_17	SFN	567	5.244332313537598	0.41514987	Yes	
row_18	CTNNB1	575	5.200794696807861	0.43137833	Yes	
row_19	KRT80	630	4.932378768920898	0.44401807	Yes	
row_20	CDSN	644	4.883881568908691	0.45888433	Yes	
row_21	IVL	659	4.803308010101318	0.47343478	Yes	
row_22	SPINT1	696	4.64033317565918	0.486186	Yes	
row_23	WNT5A	701	4.623974323272705	0.50074375	Yes	
row_24	CRABP2	752	4.449882507324219	0.5120725	Yes	
row_25	ABCA12	879	4.029911994934082	0.5176433	Yes	
row_26	TGFB2	892	3.9851083755493164	0.5296928	Yes	
row_27	MYO6	896	3.9664649963378906	0.5422056	Yes	
row_28	EPHA2	908	3.919295310974121	0.5541027	Yes	
row_29	TP63	909	3.918600082397461	0.56663656	Yes	
row_30	KRT14	1092	3.353508472442627	0.5667908	Yes	
row_31	JAG2	1175	3.180260419845581	0.5721998	Yes	
row_32	GRHL1	1212	3.0713295936584473	0.57993245	Yes	
row_33	KRT6A	1240	3.0048179626464844	0.58797514	Yes	
row_34	EVPL	1252	2.9751574993133545	0.5968524	Yes	
row_35	LAMC2	1291	2.9046406745910645	0.6039357	Yes	
row_36	IL18	1296	2.8869001865386963	0.61293733	Yes	
row_37	KRT27	1350	2.799433469772339	0.6188128	Yes	
row_38	TGM1	1367	2.7697391510009766	0.62674254	Yes	
