NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27L	391	6.100013256072998	0.064273074	Yes	
row_1	RPS4X	963	3.713189125061035	0.084099025	Yes	
row_2	RPL12	992	3.627394914627075	0.13417143	Yes	
row_3	RPL28	1554	2.420092821121216	0.1361486	Yes	
row_4	RPS9	1713	2.164020299911499	0.15783197	Yes	
row_5	EEF1A1	1863	1.9454578161239624	0.17692211	Yes	
row_6	EEF1A2	1945	1.835538387298584	0.19838664	Yes	
row_7	EEF1A1P5	1947	1.8328763246536255	0.22444957	Yes	
row_8	RPL8	2025	1.7391307353973389	0.24477199	Yes	
row_9	RPS2	2161	1.6081610918045044	0.25986657	Yes	
row_10	RPL7A	2186	1.580193042755127	0.2809955	Yes	
row_11	RPS8	2328	1.461248517036438	0.29364866	Yes	
row_12	EEF2	2462	1.3501869440078735	0.30518267	Yes	
row_13	RPL10A	2484	1.3335137367248535	0.32296994	Yes	
row_14	RPLP0	2545	1.2911590337753296	0.3378934	Yes	
row_15	RPS24	2557	1.2819650173187256	0.35552558	Yes	
row_16	RPL36	2610	1.2476383447647095	0.37029245	Yes	
row_17	RPS19	2629	1.2294341325759888	0.3867703	Yes	
row_18	RPS28	2685	1.1895389556884766	0.40053532	Yes	
row_19	EEF1B2	2693	1.1837326288223267	0.41699937	Yes	
row_20	RPS20	2770	1.12912118434906	0.42868632	Yes	
row_21	RPL14	2795	1.1141546964645386	0.4431736	Yes	
row_22	RPL24	2850	1.081952691078186	0.4554633	Yes	
row_23	RPS5	2855	1.0785083770751953	0.47060165	Yes	
row_24	RPL13	2894	1.0539218187332153	0.48341915	Yes	
row_25	RPL37A	2986	1.0013055801391602	0.49241522	Yes	
row_26	RPL22L1	3036	0.9724437594413757	0.50343406	Yes	
row_27	RPL15	3139	0.9070780277252197	0.51044977	Yes	
row_28	RPL31	3161	0.8974649310112	0.5220228	Yes	
row_29	RPL41	3218	0.8709487915039062	0.5311895	Yes	
row_30	RPL13A	3548	0.7054182887077332	0.5221757	Yes	
row_31	RPL3	3609	0.6817293763160706	0.528414	Yes	
row_32	RPSA	3628	0.6743817925453186	0.53698164	Yes	
row_33	EEF1D	3643	0.6691886782646179	0.5457071	Yes	
row_34	RPS29	3680	0.6582475304603577	0.55300164	Yes	
row_35	RPL35	3721	0.6412225961685181	0.5598217	Yes	
row_36	RPL4	3722	0.6408283710479736	0.56895435	Yes	
