NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC27A2	593	5.139186382293701	-0.002556202	No	
row_1	ACOX1	1507	2.513249635696411	-0.039853342	No	
row_2	ACAA1	2344	1.4488270282745361	-0.079272285	No	
row_3	ACAA2	2743	1.1500357389450073	-0.09519464	No	
row_4	ECHDC1	3461	0.7481712698936462	-0.13205755	No	
row_5	ABCD3	4277	0.4647231101989746	-0.1763422	No	
row_6	ACADVL	4771	0.3354516327381134	-0.20279458	No	
row_7	ACSM1	4881	0.31049644947052	-0.20718281	No	
row_8	ABCD4	5041	0.27441802620887756	-0.21468697	No	
row_9	ALOX15	5198	0.24117138981819153	-0.22222298	No	
row_10	ACOXL	5955	0.1054358184337616	-0.26531392	No	
row_11	ADIPOR1	6023	0.09653037041425705	-0.2685941	No	
row_12	AMACR	6308	0.05903938412666321	-0.28466162	No	
row_13	MTLN	6356	0.053616635501384735	-0.28704977	No	
row_14	DECR2	6613	0.022423328831791878	-0.30172345	No	
row_15	ABCD1	6614	0.02223575860261917	-0.30158606	No	
row_16	ACAD11	7481	-0.07630828022956848	-0.3512216	No	
row_17	ACOT8	8059	-0.14985013008117676	-0.38368106	No	
row_18	CYP4V2	8840	-0.26845449209213257	-0.42715335	No	
row_19	CPT2	9119	-0.31677675247192383	-0.44128117	No	
row_20	ACAT2	9404	-0.36481034755706787	-0.45545933	No	
row_21	PEX13	9614	-0.3984927833080292	-0.46508986	No	
row_22	ABCD2	10230	-0.5246018171310425	-0.49743244	No	
row_23	BDH2	10828	-0.667147159576416	-0.5278528	No	
row_24	PPARD	11205	-0.7772961854934692	-0.54480535	No	
row_25	AUH	11212	-0.7791746854782104	-0.540338	No	
row_26	ACOX2	11687	-0.9191004037857056	-0.5620847	No	
row_27	CRAT	12068	-1.0391638278961182	-0.5776506	No	
row_28	ADIPOQ	12221	-1.0951536893844604	-0.5796785	No	
row_29	PEX2	12828	-1.348636507987976	-0.6064086	No	
row_30	ECI1	12848	-1.355694055557251	-0.5991311	No	
row_31	CROT	12994	-1.432726263999939	-0.5986681	No	
row_32	HADHB	13307	-1.5915563106536865	-0.60688627	No	
row_33	MCAT	13629	-1.7676430940628052	-0.61453724	No	
row_34	ETFB	14266	-2.163344383239746	-0.6379691	Yes	
row_35	ECHS1	14319	-2.199547529220581	-0.62738687	Yes	
row_36	EHHADH	14563	-2.3858213424682617	-0.626705	Yes	
row_37	DECR1	14788	-2.542698621749878	-0.62395436	Yes	
row_38	HADH	14820	-2.5647809505462646	-0.6099003	Yes	
row_39	ETFA	14838	-2.5853350162506104	-0.5949092	Yes	
row_40	HADHA	14940	-2.6942028999328613	-0.5841056	Yes	
row_41	ACOX3	15047	-2.810540199279785	-0.5728725	Yes	
row_42	ECI2	15365	-3.191844940185547	-0.57149184	Yes	
row_43	SCP2	15407	-3.240274667739868	-0.55384254	Yes	
row_44	ILVBL	15529	-3.3696703910827637	-0.5400225	Yes	
row_45	ECHDC2	15581	-3.428858518600464	-0.52178645	Yes	
row_46	ACADL	15586	-3.4347379207611084	-0.5007947	Yes	
row_47	HACL1	15718	-3.617236852645874	-0.48602355	Yes	
row_48	PHYH	15878	-3.8555140495300293	-0.47140017	Yes	
row_49	SLC25A17	16292	-4.6251420974731445	-0.46671778	Yes	
row_50	GCDH	16499	-5.09318733215332	-0.44716626	Yes	
row_51	IVD	16502	-5.094648838043213	-0.4158022	Yes	
row_52	ADH5	16521	-5.138453960418701	-0.38509324	Yes	
row_53	HSD17B4	16622	-5.434446811676025	-0.3572999	Yes	
row_54	ACADS	16669	-5.572508335113525	-0.325529	Yes	
row_55	ACAD10	16713	-5.708116054534912	-0.29274663	Yes	
row_56	ETFDH	17010	-7.189838886260986	-0.26544738	Yes	
row_57	ACAT1	17037	-7.377182960510254	-0.22136821	Yes	
row_58	ACADM	17178	-8.542972564697266	-0.17668173	Yes	
row_59	PPARGC1A	17257	-9.342024803161621	-0.12347058	Yes	
row_60	HSD17B10	17267	-9.477953910827637	-0.06542717	Yes	
row_61	ADIPOR2	17328	-11.300313949584961	9.257166E-4	Yes	
