NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAS	53	10.429974555969238	0.025762748	Yes	
row_1	TIMP1	80	9.750537872314453	0.051216517	Yes	
row_2	PRSS2	175	8.300997734069824	0.068707325	Yes	
row_3	PDLIM4	235	7.49051570892334	0.085991934	Yes	
row_4	TGFB1	258	7.254058361053467	0.10477415	Yes	
row_5	BMP1	340	6.498190402984619	0.11803514	Yes	
row_6	CD44	345	6.440485000610352	0.13561405	Yes	
row_7	FLNA	346	6.437281131744385	0.15341672	Yes	
row_8	COL8A2	350	6.413294792175293	0.1709786	Yes	
row_9	EDIL3	402	6.066005706787109	0.18478885	Yes	
row_10	SDC4	411	6.005440711975098	0.20093203	Yes	
row_11	CDH6	468	5.723079681396484	0.21350315	Yes	
row_12	FSTL3	486	5.609074115753174	0.22802682	Yes	
row_13	DPYSL3	490	5.601696491241455	0.24334417	Yes	
row_14	DKK1	498	5.585301399230957	0.2583836	Yes	
row_15	CTHRC1	539	5.391723155975342	0.2709687	Yes	
row_16	EMP3	556	5.296848297119141	0.28468704	Yes	
row_17	CDH2	564	5.250921726226807	0.29880172	Yes	
row_18	SDC1	566	5.245119094848633	0.31324926	Yes	
row_19	BASP1	605	5.088105201721191	0.325111	Yes	
row_20	NT5E	628	4.94436502456665	0.33750564	Yes	
row_21	COMP	722	4.542344093322754	0.3446598	Yes	
row_22	PLAUR	740	4.486863136291504	0.35607994	Yes	
row_23	TNFRSF12A	745	4.470364570617676	0.36821038	Yes	
row_24	ITGA2	773	4.3812255859375	0.37875688	Yes	
row_25	COL1A1	807	4.250407695770264	0.3885927	Yes	
row_26	VCAN	836	4.166661262512207	0.39848763	Yes	
row_27	DST	841	4.150140762329102	0.40973246	Yes	
row_28	POSTN	886	4.0093770027160645	0.41826203	Yes	
row_29	ITGB1	888	4.0007195472717285	0.42926812	Yes	
row_30	TGFBI	890	3.994853973388672	0.44025794	Yes	
row_31	ADAM12	921	3.8669934272766113	0.44920784	Yes	
row_32	LOXL2	983	3.6508352756500244	0.45575732	Yes	
row_33	COL12A1	1020	3.5299479961395264	0.4634262	Yes	
row_34	ID2	1023	3.525064468383789	0.47305864	Yes	
row_35	BDNF	1085	3.3681585788726807	0.47882634	Yes	
row_36	SGCB	1211	3.0725369453430176	0.48005491	Yes	
row_37	THBS1	1227	3.0277440547943115	0.48755607	Yes	
row_38	FBN2	1241	2.997673749923706	0.49509037	Yes	
row_39	COL3A1	1251	2.9760563373565674	0.5027975	Yes	
row_40	THBS2	1273	2.946965217590332	0.50972635	Yes	
row_41	LAMC2	1291	2.9046406745910645	0.5167707	Yes	
