NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNJ2	33	11.102106094360352	0.0353087	Yes	
row_1	PTPRE	69	9.996709823608398	0.06679412	Yes	
row_2	TIMP1	80	9.750537872314453	0.09890946	Yes	
row_3	LY6E	105	9.383543968200684	0.12897907	Yes	
row_4	ICAM4	109	9.309563636779785	0.16002317	Yes	
row_5	CD55	185	8.154040336608887	0.18300068	Yes	
row_6	EREG	191	8.104013442993164	0.20988564	Yes	
row_7	AHR	236	7.479382038116455	0.23240548	Yes	
row_8	SCN1B	449	5.801814079284668	0.23951924	Yes	
row_9	ABCA1	473	5.6735076904296875	0.2572058	Yes	
row_10	ADM	505	5.551231384277344	0.27401662	Yes	
row_11	EMP3	556	5.296848297119141	0.28886822	Yes	
row_12	HRH1	581	5.1826019287109375	0.30485037	Yes	
row_13	IRAK2	626	4.948803901672363	0.31888416	Yes	
row_14	CCL20	664	4.783037185668945	0.33276957	Yes	
row_15	PLAUR	740	4.486863136291504	0.34344956	Yes	
row_16	TNFAIP6	784	4.339548110961914	0.35549846	Yes	
row_17	HAS2	787	4.324466705322266	0.36988375	Yes	
row_18	SLC7A2	898	3.9584197998046875	0.37675402	Yes	
row_19	ROS1	935	3.8276724815368652	0.38749394	Yes	
row_20	DCBLD2	1080	3.3773584365844727	0.39043626	Yes	
row_21	LYN	1105	3.3260066509246826	0.4001925	Yes	
row_22	CDKN1A	1150	3.2357897758483887	0.40848187	Yes	
row_23	RIPK2	1186	3.14314341545105	0.4169845	Yes	
row_24	OLR1	1245	2.9924142360687256	0.42364267	Yes	
row_25	IL18	1296	2.8869001865386963	0.43041274	Yes	
row_26	CLEC5A	1347	2.8030595779418945	0.43690166	Yes	
row_27	HIF1A	1382	2.74658465385437	0.4441327	Yes	
row_28	SPHK1	1421	2.679527759552002	0.45090598	Yes	
row_29	EBI3	1432	2.6696062088012695	0.45927608	Yes	
row_30	MSR1	1491	2.5438942909240723	0.46443018	Yes	
row_31	MMP14	1544	2.4385135173797607	0.4695802	Yes	
row_32	GNA15	1555	2.416649103164673	0.47710204	Yes	
row_33	TNFRSF1B	1562	2.3990135192871094	0.4847976	Yes	
row_34	PCDH7	1622	2.306047201156616	0.4890959	Yes	
row_35	MARCO	1636	2.2802791595458984	0.49598578	Yes	
row_36	INHBA	1647	2.255612850189209	0.5029676	Yes	
row_37	CCL17	1737	2.121779680252075	0.5049014	Yes	
row_38	C5AR1	1982	1.7813782691955566	0.49667007	Yes	
row_39	SERPINE1	2015	1.7507686614990234	0.5006781	Yes	
row_40	CX3CL1	2035	1.7303619384765625	0.5053746	Yes	
row_41	CCL22	2046	1.7120167016983032	0.5105335	Yes	
row_42	ADORA2B	2082	1.676152229309082	0.51411676	Yes	
row_43	C3AR1	2123	1.6404558420181274	0.51728916	Yes	
row_44	NOD2	2147	1.6216071844100952	0.52138805	Yes	
row_45	LDLR	2257	1.5224194526672363	0.5201477	Yes	
row_46	NLRP3	2291	1.4948009252548218	0.5232392	Yes	
row_47	RGS1	2333	1.4577733278274536	0.52574074	Yes	
row_48	IFNGR2	2335	1.4561045169830322	0.53056544	Yes	
row_49	P2RX7	2348	1.446048617362976	0.534716	Yes	
row_50	LAMP3	2392	1.4143056869506836	0.5369554	Yes	
row_51	AXL	2407	1.400200366973877	0.5408358	Yes	
row_52	LIF	2412	1.395522117614746	0.5452827	Yes	
row_53	CYBB	2427	1.3766001462936401	0.54908395	Yes	
row_54	CD40	2442	1.3651307821273804	0.5528467	Yes	
row_55	CCL7	2575	1.272905707359314	0.5494306	No	
row_56	P2RX4	2606	1.2505645751953125	0.55187774	No	
row_57	P2RY2	2858	1.0772943496704102	0.5408778	No	
row_58	RELA	2981	1.004379391670227	0.53714335	No	
row_59	ATP2C1	3033	0.9740558862686157	0.5374407	No	
row_60	CSF3	3063	0.9518640637397766	0.53894436	No	
row_61	ITGB8	3093	0.9319753646850586	0.5403814	No	
row_62	EDN1	3105	0.9263883233070374	0.5428475	No	
row_63	PSEN1	3147	0.9033386707305908	0.5434899	No	
row_64	CCL2	3168	0.8954668641090393	0.5453284	No	
row_65	IL6	3243	0.8599212169647217	0.54390395	No	
row_66	PTGER4	3475	0.7358872890472412	0.53292346	No	
row_67	CCRL2	3553	0.7022416591644287	0.53079563	No	
row_68	F3	3695	0.6508679389953613	0.5247696	No	
row_69	KIF1B	3718	0.6416752934455872	0.52564067	No	
row_70	CD82	3756	0.623907744884491	0.5255788	No	
row_71	HBEGF	3828	0.6015541553497314	0.52346265	No	
row_72	PIK3R5	3881	0.5823814868927002	0.5223883	No	
row_73	PTGER2	4017	0.5404765009880066	0.5163414	No	
row_74	TLR1	4046	0.5305960178375244	0.5164906	No	
row_75	OSMR	4158	0.4968279302120209	0.51169455	No	
row_76	FPR1	4221	0.4773366153240204	0.50968575	No	
row_77	TPBG	4319	0.45363306999206543	0.50555986	No	
row_78	IL18R1	4389	0.43419724702835083	0.50299895	No	
row_79	MYC	4428	0.4230365455150604	0.50220525	No	
row_80	TNFRSF9	4586	0.38189923763275146	0.4943458	No	
row_81	IL2RB	4634	0.37067243456840515	0.4928526	No	
row_82	OSM	4653	0.3658994436264038	0.4930317	No	
row_83	LCP2	4725	0.34746184945106506	0.49006346	No	
row_84	SELE	4792	0.33091166615486145	0.4873308	No	
row_85	IL1R1	4907	0.3046864867210388	0.48171574	No	
row_86	BDKRB1	5146	0.25159335136413574	0.46870372	No	
row_87	CD14	5149	0.2514059245586395	0.46943033	No	
row_88	CXCL9	5261	0.2295171618461609	0.46373788	No	
row_89	STAB1	5395	0.2018946260213852	0.45667198	No	
row_90	PDPN	5411	0.19869418442249298	0.45646504	No	
row_91	IL10RA	5412	0.19813348352909088	0.45712945	No	
row_92	ADRM1	5692	0.14704987406730652	0.44137993	No	
row_93	PDE4B	5768	0.1352711021900177	0.43746725	No	
row_94	IL1A	5798	0.13020898401737213	0.43621558	No	
row_95	SLC31A2	5841	0.12313312292098999	0.43418336	No	
row_96	SLC11A2	5937	0.10838605463504791	0.42901617	No	
row_97	CCL24	5943	0.10769810527563095	0.42908624	No	
row_98	IL10	6174	0.07543300092220306	0.4159492	No	
row_99	KCNA3	6248	0.0674041137099266	0.41192538	No	
row_100	MEFV	6417	0.04779850319027901	0.40230513	No	
row_101	TAPBP	6445	0.044685062021017075	0.4008831	No	
row_102	ITGB3	6503	0.03753863647580147	0.3976906	No	
row_103	TACR1	6514	0.03645436838269234	0.39723068	No	
row_104	CCL5	6570	0.027824338525533676	0.39412203	No	
row_105	IL7R	6621	0.02174980193376541	0.39128408	No	
