NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAX	304	6.870530128479004	-4.0783273E-4	No	
row_1	IDH1	358	6.362666606903076	0.0125087565	No	
row_2	GPX4	623	4.9691667556762695	0.009646626	No	
row_3	TCIRG1	849	4.124536514282227	0.0069293203	No	
row_4	ISCU	1324	2.840794801712036	-0.013501292	No	
row_5	ATP6V1F	2226	1.549489974975586	-0.062019087	No	
row_6	PDK4	2269	1.5143367052078247	-0.060654365	No	
row_7	NDUFS8	4594	0.3798869848251343	-0.19489397	No	
row_8	ACADVL	4771	0.3354516327381134	-0.20428894	No	
row_9	NDUFAB1	4841	0.3189389705657959	-0.20750089	No	
row_10	ATP6V1G1	5272	0.22644895315170288	-0.231946	No	
row_11	COX11	5350	0.20930762588977814	-0.23589902	No	
row_12	RHOT1	5573	0.16872362792491913	-0.24838923	No	
row_13	COX7A2L	6029	0.09598784148693085	-0.27461672	No	
row_14	SLC25A11	6230	0.06948241591453552	-0.28607666	No	
row_15	TIMM10	6687	0.014272444881498814	-0.31256783	No	
row_16	UQCRC1	6840	-0.0010706279426813126	-0.3214075	No	
row_17	GLUD1	7227	-0.042783502489328384	-0.34375483	No	
row_18	ATP6V1E1	7494	-0.07740431278944016	-0.3590343	No	
row_19	NDUFA4	7605	-0.0924597904086113	-0.36520088	No	
row_20	NDUFV2	7823	-0.12047820538282394	-0.3775215	No	
row_21	ATP1B1	7974	-0.14065080881118774	-0.38589385	No	
row_22	MRPS12	8293	-0.18372271955013275	-0.403931	No	
row_23	TIMM9	8744	-0.25138354301452637	-0.42947686	No	
row_24	DLAT	8761	-0.25399547815322876	-0.42976892	No	
row_25	CS	9113	-0.31567442417144775	-0.44939396	No	
row_26	ATP6V1D	9604	-0.3970136344432831	-0.47690058	No	
row_27	TIMM50	9957	-0.4662879407405853	-0.49620503	No	
row_28	OXA1L	9984	-0.4735078513622284	-0.49652684	No	
row_29	ATP6V1C1	10021	-0.4790901839733124	-0.49741635	No	
row_30	PHB2	10028	-0.48042452335357666	-0.4965573	No	
row_31	MRPL35	10157	-0.5063058733940125	-0.5027303	No	
row_32	ABCB7	10245	-0.5275437831878662	-0.50646484	No	
row_33	LRPPRC	10609	-0.6149009466171265	-0.5260355	No	
row_34	ATP5F1E	10731	-0.6460621953010559	-0.53144985	No	
