NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICAM5	49	10.498321533203125	0.05634642	Yes	
row_1	SIGLEC6	55	10.299220085144043	0.11413242	Yes	
row_2	ICAM4	109	9.309563636779785	0.16354251	Yes	
row_3	ICAM1	194	8.080500602722168	0.20421667	Yes	
row_4	ULBP1	308	6.866145133972168	0.23635429	Yes	
row_5	HLA-G	351	6.40706205368042	0.2700378	Yes	
row_6	TREM1	742	4.476724624633789	0.27257058	Yes	
row_7	CD1A	747	4.46450662612915	0.29751295	Yes	
row_8	NPDC1	801	4.272468090057373	0.31851894	Yes	
row_9	FCGR3A	863	4.073233604431152	0.33793554	Yes	
row_10	ITGB1	888	4.0007195472717285	0.35909793	Yes	
row_11	OSCAR	1335	2.827272891998291	0.34906837	Yes	
row_12	HLA-B	1390	2.727137565612793	0.36130202	Yes	
row_13	CD22	1447	2.6392290592193604	0.37292346	Yes	
row_14	B2M	1598	2.345477342605591	0.37741444	Yes	
row_15	CD300LF	1619	2.3070950508117676	0.38925943	Yes	
row_16	TREM2	1635	2.2836294174194336	0.40126327	Yes	
row_17	RAET1E	1662	2.234928846359253	0.4123519	Yes	
row_18	HLA-C	1686	2.202075958251953	0.42343	Yes	
row_19	HLA-H	1691	2.194960355758667	0.4355744	Yes	
row_20	HLA-A	1776	2.0715153217315674	0.44236398	Yes	
row_21	CD300E	1851	1.9618792533874512	0.44911766	Yes	
row_22	ITGB7	1951	1.8306331634521484	0.45367536	Yes	
row_23	PILRA	2136	1.633231520652771	0.45217	Yes	
row_24	CD300LB	2151	1.6181834936141968	0.46047965	Yes	
row_25	IGKV1D-33	2152	1.616705060005188	0.46959624	Yes	
row_26	TYROBP	2184	1.5832217931747437	0.47671872	Yes	
row_27	SIGLEC8	2311	1.480019211769104	0.47772703	Yes	
row_28	SIGLEC9	2541	1.2957216501235962	0.47169793	Yes	
row_29	IGKV2D-40	2586	1.2671281099319458	0.47628093	Yes	
row_30	C3	2621	1.2375587224960327	0.48127952	Yes	
row_31	SIGLEC12	2716	1.17218017578125	0.4824154	Yes	
row_32	FCGR1A	2720	1.1707100868225098	0.48884234	Yes	
row_33	LILRB4	2733	1.1585105657577515	0.49467635	Yes	
row_34	KLRC1	2804	1.1094131469726562	0.4968559	Yes	
row_35	SIGLEC1	2831	1.0935419797897339	0.5015083	Yes	
row_36	CD300C	2884	1.0594117641448975	0.50445414	Yes	
row_37	MICA	2917	1.0373190641403198	0.50844	Yes	
row_38	CLEC2B	3017	0.98568195104599	0.5082331	Yes	
row_39	SIGLEC7	3043	0.9679149389266968	0.5122353	Yes	
row_40	IGKV1-33	3081	0.9386985301971436	0.51537395	Yes	
row_41	CD33	3130	0.9112305045127869	0.5177171	Yes	
row_42	CD300A	3173	0.8943027853965759	0.5203142	Yes	
row_43	ITGB2	3189	0.8884130716323853	0.5244505	Yes	
row_44	ITGA4	3194	0.8854225277900696	0.5292104	Yes	
