NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIMP1	80	9.750537872314453	0.15456802	Yes	
row_1	ICAM1	194	8.080500602722168	0.27996296	Yes	
row_2	CSF2	421	5.953495025634766	0.36410037	Yes	
row_3	CCL20	664	4.783037185668945	0.4282036	Yes	
row_4	CXCL2	1157	3.2176215648651123	0.45229995	Yes	
row_5	IL1RN	1286	2.9161572456359863	0.4925125	Yes	
row_6	IL18	1296	2.8869001865386963	0.53912514	Yes	
row_7	TNFRSF1B	1562	2.3990135192871094	0.5629764	Yes	
row_8	PTAFR	1702	2.1822001934051514	0.5905703	Yes	
row_9	CXCL8	1906	1.8840055465698242	0.60959667	Yes	
row_10	CCL22	2046	1.7120167016983032	0.6295141	Yes	
row_11	TNFRSF1A	2251	1.52681303024292	0.64265096	Yes	
row_12	CD86	2323	1.464501976966858	0.6624575	Yes	
row_13	PTGS2	2371	1.4321800470352173	0.6831235	Yes	
row_14	LIF	2412	1.395522117614746	0.7035956	Yes	
row_15	CSF3	3063	0.9518640637397766	0.68156826	No	
row_16	CCL2	3168	0.8954668641090393	0.6901772	No	
row_17	IL6	3243	0.8599212169647217	0.69993967	No	
row_18	CD80	3623	0.676998496055603	0.6890877	No	
row_19	CCR1	4191	0.4865456223487854	0.6642605	No	
row_20	FPR1	4221	0.4773366153240204	0.6703776	No	
row_21	CCR2	4536	0.394183486700058	0.658665	No	
row_22	IL1R1	4907	0.3046864867210388	0.64225465	No	
row_23	CXCL1	5231	0.2356206178665161	0.6274332	No	
row_24	IL10RA	5412	0.19813348352909088	0.62026453	No	
row_25	IL1R2	5458	0.18808826804161072	0.6207345	No	
row_26	CXCL10	5647	0.15504054725170135	0.6124	No	
row_27	CCR5	5725	0.14129124581813812	0.61025643	No	
row_28	IL1A	5798	0.13020898401737213	0.6082209	No	
row_29	TYK2	5908	0.11266495287418365	0.6037605	No	
row_30	IL10	6174	0.07543300092220306	0.58967584	No	
row_31	IL10RB	6412	0.04837113246321678	0.57676774	No	
row_32	STAT3	6442	0.04505244269967079	0.5758272	No	
row_33	CCL5	6570	0.027824338525533676	0.5689413	No	
row_34	CSF1	6977	-0.015066229738295078	0.54572177	No	
row_35	IL12B	7724	-0.10789381712675095	0.5043669	No	
row_36	CCL4	7881	-0.1278299242258072	0.4974376	No	
row_37	CCL19	9172	-0.32509902119636536	0.42818746	No	
row_38	CCL3	9313	-0.3472210168838501	0.4257648	No	
row_39	IL12A	9436	-0.3699831962585449	0.4247541	No	
row_40	IL1B	9697	-0.4153825640678406	0.41650867	No	
row_41	TNF	10635	-0.6215218305587769	0.37250033	No	
row_42	FCER2	11725	-0.9310321807861328	0.32476008	No	
