NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DSC3	112	9.286711692810059	0.0685171	Yes	
row_1	KRT15	137	8.909311294555664	0.13907643	Yes	
row_2	KRT17	363	6.308168411254883	0.17700423	Yes	
row_3	PERP	445	5.82394552230835	0.21935068	Yes	
row_4	DSC2	580	5.188499450683594	0.2535	Yes	
row_5	KRT13	610	5.031260013580322	0.29245278	Yes	
row_6	PKP2	615	5.009056091308594	0.33267227	Yes	
row_7	KRT80	630	4.932378768920898	0.37169412	Yes	
row_8	CDSN	644	4.883881568908691	0.41038218	Yes	
row_9	IVL	659	4.803308010101318	0.44836172	Yes	
row_10	KRT19	688	4.668607234954834	0.4844437	Yes	
row_11	KLK12	692	4.6615824699401855	0.52191496	Yes	
row_12	KRT14	1092	3.353508472442627	0.5259181	Yes	
row_13	KRT6A	1240	3.0048179626464844	0.5416811	Yes	
row_14	KLK13	1248	2.9777867794036865	0.5653235	Yes	
row_15	EVPL	1252	2.9751574993133545	0.58917594	Yes	
row_16	KRT27	1350	2.799433469772339	0.6061724	Yes	
row_17	TGM1	1367	2.7697391510009766	0.6276141	Yes	
row_18	PPL	1375	2.7530314922332764	0.6494414	Yes	
row_19	ST14	1392	2.7260913848876953	0.6705306	Yes	
row_20	DSP	1850	1.9620102643966675	0.6599419	Yes	
row_21	KRT16	1935	1.8431849479675293	0.66996807	Yes	
row_22	PKP4	1973	1.7938700914382935	0.68231446	Yes	
row_23	PKP1	2219	1.5556516647338867	0.6807063	Yes	
row_24	DSG2	2283	1.5012723207473755	0.689186	Yes	
row_25	CAPN1	2423	1.3841638565063477	0.69232404	Yes	
row_26	KRT5	3076	0.9441024661064148	0.66223633	No	
row_27	TCHH	3169	0.895459771156311	0.66414636	No	
row_28	KLK5	3447	0.7555797696113586	0.6542263	No	
row_29	KRT6B	3644	0.6690268516540527	0.64829236	No	
row_30	KAZN	3657	0.664600670337677	0.6529653	No	
row_31	FLG	3955	0.5625501871109009	0.64032966	No	
row_32	CAPNS1	4186	0.48768889904022217	0.63096476	No	
row_33	PKP3	5011	0.2799101173877716	0.5855648	No	
row_34	CSTA	5341	0.21265909075737	0.5682527	No	
row_35	LIPN	5359	0.20806486904621124	0.56894964	No	
row_36	KRT78	5935	0.10871981084346771	0.5365695	No	
row_37	KRT7	6690	0.014087462797760963	0.4930717	No	
row_38	FURIN	6704	0.012880871072411537	0.4924238	No	
row_39	KRT18	6806	0.002343387110158801	0.48660085	No	
row_40	KRT73	7287	-0.05025041475892067	0.45924333	No	
row_41	PRSS8	7374	-0.06307505816221237	0.45477843	No	
row_42	DSG3	7419	-0.068878673017025	0.4527897	No	
row_43	DSC1	7600	-0.09165530651807785	0.4431186	No	
row_44	JUP	7883	-0.12835349142551422	0.4278442	No	
row_45	KRT86	8077	-0.152547225356102	0.41791293	No	
row_46	KRT1	8257	-0.17709927260875702	0.4089897	No	
row_47	KRT2	8557	-0.22153113782405853	0.39348444	No	
row_48	KRT72	8913	-0.2808681130409241	0.37521932	No	
row_49	KRT8	9446	-0.37152689695358276	0.3474486	No	
row_50	KRT23	12060	-1.0347394943237305	0.2046681	No	
row_51	KRT83	12139	-1.0684014558792114	0.20878448	No	
row_52	PCSK6	14684	-2.4701104164123535	0.08158637	No	
row_53	KRT10	14821	-2.5659255981445312	0.094441324	No	
row_54	LIPJ	15008	-2.768707513809204	0.10604185	No	
row_55	SPINK5	15702	-3.592968702316284	0.09497371	No	
