NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCO2	2068	1.689262866973877	-0.11111197	No	
row_1	NDUFS5	2195	1.571982741355896	-0.11030761	No	
row_2	CHCHD7	3980	0.5555735230445862	-0.21080953	No	
row_3	NDUFAF6	4510	0.4002832770347595	-0.23939641	No	
row_4	NDUFS8	4594	0.3798869848251343	-0.24224685	No	
row_5	NDUFAF7	4824	0.3222176134586334	-0.25385398	No	
row_6	NDUFAB1	4841	0.3189389705657959	-0.25313663	No	
row_7	SDHAF4	5391	0.20247824490070343	-0.2839022	No	
row_8	COX18	6502	0.037608686834573746	-0.34802255	No	
row_9	NDUFAF8	7985	-0.14210692048072815	-0.43315813	No	
row_10	CHCHD4	8006	-0.14459675550460815	-0.43357143	No	
row_11	NDUFA13	8399	-0.1982557475566864	-0.45526204	No	
row_12	TMEM223	8666	-0.23778203129768372	-0.46944833	No	
row_13	NDUFB10	8759	-0.2538987100124359	-0.4734698	No	
row_14	COA8	8827	-0.26664265990257263	-0.47597706	No	
row_15	NDUFA11	9007	-0.2977558970451355	-0.48481327	No	
row_16	PET100	9140	-0.3209829032421112	-0.49080652	No	
row_17	TTC19	9500	-0.37968820333480835	-0.50964963	No	
row_18	OXA1L	9984	-0.4735078513622284	-0.53519374	No	
row_19	COX14	10008	-0.47595423460006714	-0.5340724	No	
row_20	NDUFAF5	10215	-0.5210549831390381	-0.5433217	No	
row_21	NDUFAF2	10419	-0.5685767531394958	-0.5521522	No	
row_22	TMEM126B	10551	-0.5978449583053589	-0.55666006	No	
row_23	NDUFB8	10790	-0.6575247645378113	-0.5670599	No	
row_24	TMEM126A	10923	-0.6955394148826599	-0.571122	No	
row_25	FASTKD3	11137	-0.7587875127792358	-0.57955116	No	
row_26	DMAC1	11220	-0.7815834879875183	-0.5802726	No	
row_27	NDUFAF3	11642	-0.9045166969299316	-0.6000021	No	
row_28	COA3	11989	-1.0132278203964233	-0.6148256	No	
row_29	OMA1	12108	-1.0553687810897827	-0.6162213	No	
row_30	DMAC2	12182	-1.0808429718017578	-0.6148783	No	
row_31	ACAD9	12255	-1.1068717241287231	-0.6133432	No	
row_32	COA5	12513	-1.2073719501495361	-0.622009	No	
row_33	NDUFAF1	12707	-1.2931939363479614	-0.62652403	Yes	
row_34	NDUFS4	12760	-1.3173221349716187	-0.62274504	Yes	
row_35	COA1	12831	-1.3505980968475342	-0.6198374	Yes	
row_36	NDUFB9	12989	-1.424977421760559	-0.62158716	Yes	
row_37	UQCC2	13017	-1.4431730508804321	-0.6157108	Yes	
row_38	UQCC3	13035	-1.4482872486114502	-0.6092287	Yes	
row_39	TMEM186	13179	-1.5248494148254395	-0.6096523	Yes	
row_40	FOXRED1	13203	-1.5387345552444458	-0.6030515	Yes	
row_41	COX19	13273	-1.572540283203125	-0.5989416	Yes	
row_42	BCS1L	13482	-1.6889610290527344	-0.60228527	Yes	
row_43	COX17	13584	-1.7450894117355347	-0.59913987	Yes	
row_44	NDUFS3	13603	-1.7523658275604248	-0.5911479	Yes	
row_45	SDHAF1	13916	-1.9495025873184204	-0.5991741	Yes	
row_46	NDUFB4	14003	-1.9913033246994019	-0.59389013	Yes	
row_47	NDUFS7	14130	-2.0635857582092285	-0.5905512	Yes	
row_48	SDHAF2	14167	-2.087885856628418	-0.5818722	Yes	
row_49	COX16	14248	-2.1477088928222656	-0.57543427	Yes	
row_50	LYRM2	14513	-2.348005533218384	-0.57862467	Yes	
row_51	AIFM1	14525	-2.356564998626709	-0.5671119	Yes	
row_52	NDUFA9	14528	-2.358956813812256	-0.5550654	Yes	
row_53	SURF1	14713	-2.490534543991089	-0.5528857	Yes	
row_54	NDUFA2	14737	-2.5051774978637695	-0.541302	Yes	
row_55	NDUFB5	14898	-2.653782367706299	-0.5368901	Yes	
row_56	SMIM20	14941	-2.696272134780884	-0.52542204	Yes	
row_57	NDUFC1	14952	-2.7080881595611572	-0.51203895	Yes	
row_58	NDUFB7	14959	-2.714019298553467	-0.49839357	Yes	
row_59	UQCRFS1	14966	-2.7207465171813965	-0.48471346	Yes	
row_60	NDUFA8	15030	-2.7912800312042236	-0.47397232	Yes	
row_61	NDUFS1	15060	-2.822007656097412	-0.46110278	Yes	
row_62	NDUFB6	15111	-2.877983331680298	-0.4491614	Yes	
row_63	NDUFB1	15177	-2.9584250450134277	-0.43767437	Yes	
row_64	NDUFB2	15237	-3.0224244594573975	-0.42550972	Yes	
row_65	NDUFS2	15244	-3.0309019088745117	-0.41023052	Yes	
row_66	NDUFC2	15428	-3.2519493103027344	-0.40406716	Yes	
row_67	NDUFA6	15492	-3.332843065261841	-0.3905338	Yes	
row_68	UQCC1	15633	-3.485813856124878	-0.3806732	Yes	
row_69	NDUFAF4	15801	-3.7361857891082764	-0.37108612	Yes	
row_70	NDUFA10	15834	-3.7726941108703613	-0.35348883	Yes	
row_71	SAMM50	15844	-3.7894673347473145	-0.3344724	Yes	
row_72	NDUFB11	15880	-3.8633811473846436	-0.31658134	Yes	
row_73	NDUFA3	16075	-4.2057318687438965	-0.30613774	Yes	
row_74	LYRM7	16289	-4.619129180908203	-0.29466364	Yes	
row_75	TIMM21	16353	-4.755935192108154	-0.27379304	Yes	
row_76	NUBPL	16478	-5.046015739440918	-0.25496125	Yes	
row_77	NDUFB3	16518	-5.126477241516113	-0.23078963	Yes	
row_78	SDHAF3	16634	-5.477243900299072	-0.209213	Yes	
row_79	NDUFA5	16653	-5.533434867858887	-0.18172643	Yes	
row_80	SLC25A33	16763	-6.007405757904053	-0.15706873	Yes	
row_81	STMP1	16852	-6.4399495124816895	-0.12896416	Yes	
row_82	COX20	16859	-6.459706783294678	-0.096006565	Yes	
row_83	ECSIT	16949	-6.908978462219238	-0.065541685	Yes	
row_84	SCO1	17145	-8.148316383361816	-0.0348287	Yes	
row_85	NDUFA1	17223	-8.980220794677734	0.0070104646	Yes	
