NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS5	2195	1.571982741355896	-0.120272964	No	
row_1	NDUFS8	4594	0.3798869848251343	-0.25755835	No	
row_2	NDUFAB1	4841	0.3189389705657959	-0.27040908	No	
row_3	COX4I2	6648	0.01880571059882641	-0.37497944	No	
row_4	UQCRC1	6840	-0.0010706279426813126	-0.38604268	No	
row_5	NDUFA4	7605	-0.0924597904086113	-0.42990747	No	
row_6	NDUFV2	7823	-0.12047820538282394	-0.44195157	No	
row_7	NDUFA13	8399	-0.1982557475566864	-0.47439843	No	
row_8	NDUFB10	8759	-0.2538987100124359	-0.4940836	No	
row_9	ATP5F1EP2	8808	-0.2624207139015198	-0.4957096	No	
row_10	NDUFA11	9007	-0.2977558970451355	-0.50587213	No	
row_11	SLC25A51	10530	-0.5935985445976257	-0.59145445	No	
row_12	ATP5F1E	10731	-0.6460621953010559	-0.60019916	No	
row_13	C2orf69	10747	-0.6482204794883728	-0.59821415	No	
row_14	NDUFB8	10790	-0.6575247645378113	-0.5977527	No	
row_15	COX7C	11145	-0.7631180882453918	-0.61490595	No	
row_16	COA6	11185	-0.7721588611602783	-0.6137659	No	
row_17	COX6B1	11373	-0.8246908783912659	-0.6209708	No	
row_18	UQCRQ	11386	-0.8270066976547241	-0.61802465	No	
row_19	SDHB	11827	-0.9576210379600525	-0.63930494	No	
row_20	UQCRFS1P1	12003	-1.0167566537857056	-0.64496875	No	
row_21	UQCRHL	12207	-1.0890990495681763	-0.65193653	No	
row_22	ATP5MG	12402	-1.1636358499526978	-0.6580546	No	
row_23	UQCRB	12411	-1.1653754711151123	-0.6533868	No	
row_24	TEFM	12603	-1.249401330947876	-0.65895337	No	
row_25	NDUFAF1	12707	-1.2931939363479614	-0.6592277	No	
row_26	NDUFS4	12760	-1.3173221349716187	-0.65644056	No	
row_27	COX7A2	12818	-1.3444617986679077	-0.65382355	No	
row_28	COX4I1	12966	-1.412304162979126	-0.65612316	No	
row_29	NDUFB9	12989	-1.424977421760559	-0.6511235	No	
row_30	UQCC3	13035	-1.4482872486114502	-0.647354	No	
row_31	CYC1	13357	-1.6171412467956543	-0.6588345	No	
row_32	NDUFS3	13603	-1.7523658275604248	-0.6653156	Yes	
row_33	UQCRH	13611	-1.75447416305542	-0.6579959	Yes	
row_34	SDHC	13703	-1.80094575881958	-0.6553391	Yes	
row_35	NDUFB4	14003	-1.9913033246994019	-0.6638973	Yes	
row_36	NDUFS7	14130	-2.0635857582092285	-0.66211224	Yes	
row_37	COX5A	14135	-2.0671958923339844	-0.6532417	Yes	
