NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27L	391	6.100013256072998	0.07170301	Yes	
row_1	RPS4X	963	3.713189125061035	0.09605616	Yes	
row_2	RPL12	992	3.627394914627075	0.15054406	Yes	
row_3	RPL28	1554	2.420092821121216	0.15547441	Yes	
row_4	RPS9	1713	2.164020299911499	0.17979385	Yes	
row_5	EEF1A1	1863	1.9454578161239624	0.20125392	Yes	
row_6	RPL8	2025	1.7391307353973389	0.21882714	Yes	
row_7	RPS2	2161	1.6081610918045044	0.23588093	Yes	
row_8	RPL7A	2186	1.580193042755127	0.2589335	Yes	
row_9	RPS8	2328	1.461248517036438	0.27336714	Yes	
row_10	EEF2	2462	1.3501869440078735	0.28654632	Yes	
row_11	RPL10A	2484	1.3335137367248535	0.305957	Yes	
row_12	RPLP0	2545	1.2911590337753296	0.32245278	Yes	
row_13	RPS24	2557	1.2819650173187256	0.34164548	Yes	
row_14	RPL36	2610	1.2476383447647095	0.3579316	Yes	
row_15	RPS19	2629	1.2294341325759888	0.37590614	Yes	
row_16	RPS28	2685	1.1895389556884766	0.39111975	Yes	
row_17	RPS20	2770	1.12912118434906	0.4037185	Yes	
row_18	RPL14	2795	1.1141546964645386	0.4195622	Yes	
row_19	RPL24	2850	1.081952691078186	0.4331695	Yes	
row_20	RPS5	2855	1.0785083770751953	0.44962063	Yes	
row_21	RPL13	2894	1.0539218187332153	0.46372142	Yes	
row_22	RPL37A	2986	1.0013055801391602	0.47393748	Yes	
row_23	RPL22L1	3036	0.9724437594413757	0.4861406	Yes	
row_24	RPL15	3139	0.9070780277252197	0.49426174	Yes	
row_25	RPL31	3161	0.8974649310112	0.50692743	Yes	
row_26	RPL41	3218	0.8709487915039062	0.517155	Yes	
row_27	RPL13A	3548	0.7054182887077332	0.5090042	Yes	
row_28	RPL3	3609	0.6817293763160706	0.51607305	Yes	
row_29	RPSA	3628	0.6743817925453186	0.5254618	Yes	
row_30	RPS29	3680	0.6582475304603577	0.53268886	Yes	
row_31	RPL35	3721	0.6412225961685181	0.54028994	Yes	
row_32	RPL4	3722	0.6408283710479736	0.5502026	Yes	
row_33	RPS15	3766	0.6202771663665771	0.5573059	Yes	
row_34	RPL39L	3805	0.6081013083457947	0.5645105	Yes	
row_35	RPL39	3928	0.5699193477630615	0.56625754	Yes	
row_36	RPL26	3941	0.5661114454269409	0.5743191	Yes	
row_37	RPS3	4085	0.5175405740737915	0.57403916	Yes	
row_38	RPL32	4206	0.48173055052757263	0.5745379	Yes	
row_39	RPS18	4224	0.47594937682151794	0.5809151	Yes	
row_40	RPLP2	4239	0.47275251150131226	0.5874167	Yes	
row_41	RPL23A	4241	0.47208908200263977	0.59466124	Yes	
row_42	RPL27	4288	0.46245914697647095	0.5991495	Yes	
row_43	RPS12	4439	0.41939011216163635	0.5969457	Yes	
row_44	RPS6	4575	0.3850248157978058	0.5950794	Yes	
row_45	RPL10	4629	0.37160319089889526	0.5977567	Yes	
row_46	RPL18	4652	0.365917831659317	0.6021422	Yes	
row_47	RPL23	4688	0.3546137511730194	0.6055996	Yes	
row_48	RPS3A	4994	0.28259792923927307	0.59229904	No	
row_49	RPS14	5142	0.25222620368003845	0.58768326	No	
row_50	RPS11	5147	0.25155946612358093	0.59134275	No	
row_51	RPL29	5163	0.24906527996063232	0.5943263	No	
row_52	RPL36AL	5170	0.24775347113609314	0.59781104	No	
row_53	UBA52	5317	0.21912838518619537	0.59274125	No	
row_54	RPL38	5320	0.218133345246315	0.59599954	No	
row_55	RPS15A	5336	0.21440936625003815	0.598447	No	
row_56	RPL34	5615	0.16200177371501923	0.5848454	No	
row_57	RPL7	5617	0.16104945540428162	0.58727866	No	
row_58	RPL19	5730	0.14062027633190155	0.5829645	No	
row_59	FAU	5824	0.12601962685585022	0.5795253	No	
row_60	RPL30	5831	0.12467028945684433	0.5811061	No	
row_61	RPL35A	6003	0.09969979524612427	0.57274044	No	
row_62	RPS25	6090	0.08665622770786285	0.569098	No	
row_63	RPS23	6150	0.0790276974439621	0.5669019	No	
row_64	RPS7	6184	0.07459785789251328	0.56614375	No	
row_65	RPL37	6204	0.0723426342010498	0.56616193	No	
row_66	RPLP1	6252	0.06705455482006073	0.56447595	No	
row_67	RPL27A	6423	0.046912338584661484	0.5553517	No	
row_68	RPS27	6429	0.04616044834256172	0.555776	No	
row_69	RPS17	6536	0.03240351378917694	0.5501355	No	
row_70	RPS13	6658	0.017383666709065437	0.54339355	No	
row_71	RPL36A	6844	-0.0013279153499752283	0.53269506	No	
row_72	RPL11	7034	-0.022371230646967888	0.5220903	No	
row_73	RPL17	7219	-0.04186728224158287	0.51207685	No	
row_74	RPS10	7380	-0.06386154890060425	0.50379413	No	
row_75	RPS21	7478	-0.07611890137195587	0.49935132	No	
row_76	RPL21	8032	-0.14728489518165588	0.46958834	No	
row_77	RPS26	8180	-0.1653258204460144	0.46362838	No	
row_78	RPL5	8440	-0.2039865404367447	0.4517771	No	
row_79	RPL26L1	8819	-0.2649182379245758	0.43397334	No	
row_80	RPS4Y1	9412	-0.36621108651161194	0.40533713	No	
row_81	RPS27A	9904	-0.4549795687198639	0.38392603	No	
row_82	RPS16	10055	-0.48700404167175293	0.38276812	No	
row_83	RPL18A	10348	-0.5526187419891357	0.37439758	No	
row_84	RPL22	10896	-0.6867051124572754	0.35332626	No	
row_85	RPL6	12739	-1.3070465326309204	0.26681733	No	
