NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS5	2195	1.571982741355896	-0.11697658	No	
row_1	NDUFS8	4594	0.3798869848251343	-0.25327128	No	
row_2	NDUFAB1	4841	0.3189389705657959	-0.26547393	No	
row_3	VPS9D1	5760	0.13641703128814697	-0.3177074	No	
row_4	NDUFV2	7823	-0.12047820538282394	-0.43621522	No	
row_5	NDUFA13	8399	-0.1982557475566864	-0.46821535	No	
row_6	NDUFB10	8759	-0.2538987100124359	-0.48736766	No	
row_7	ATP5F1EP2	8808	-0.2624207139015198	-0.48847646	No	
row_8	NDUFA11	9007	-0.2977558970451355	-0.49803722	No	
row_9	ATP5F1E	10731	-0.6460621953010559	-0.5935959	No	
row_10	NDUFB8	10790	-0.6575247645378113	-0.59277225	No	
row_11	ATP5MC2	11585	-0.8852762579917908	-0.633074	No	
row_12	SDHB	11827	-0.9576210379600525	-0.64092857	No	
row_13	ATP5MG	12402	-1.1636358499526978	-0.66673577	No	
row_14	NDUFS4	12760	-1.3173221349716187	-0.6790142	No	
row_15	NDUFB9	12989	-1.424977421760559	-0.68314666	No	
row_16	NDUFS3	13603	-1.7523658275604248	-0.70746833	Yes	
row_17	SDHC	13703	-1.80094575881958	-0.7017497	Yes	
row_18	NDUFB4	14003	-1.9913033246994019	-0.70638996	Yes	
row_19	NDUFS7	14130	-2.0635857582092285	-0.70056397	Yes	
row_20	NDUFS6	14367	-2.2302017211914062	-0.70004195	Yes	
row_21	ATP5MF	14507	-2.3404555320739746	-0.6932084	Yes	
row_22	NDUFA9	14528	-2.358956813812256	-0.67937386	Yes	
row_23	ATP5ME	14534	-2.3610193729400635	-0.66465855	Yes	
row_24	NDUFV1	14706	-2.4850051403045654	-0.6587574	Yes	
row_25	NDUFA2	14737	-2.5051774978637695	-0.644572	Yes	
row_26	NDUFB5	14898	-2.653782367706299	-0.63696194	Yes	
row_27	NDUFC1	14952	-2.7080881595611572	-0.6228175	Yes	
row_28	NDUFB7	14959	-2.714019298553467	-0.60591674	Yes	
row_29	NDUFA8	15030	-2.7912800312042236	-0.5922269	Yes	
row_30	NDUFS1	15060	-2.822007656097412	-0.57597023	Yes	
row_31	ATP5PB	15084	-2.843700885772705	-0.55922866	Yes	
row_32	NDUFB6	15111	-2.877983331680298	-0.54244274	Yes	
row_33	ATP5F1D	15115	-2.8833279609680176	-0.52429247	Yes	
row_34	NDUFB1	15177	-2.9584250450134277	-0.50901985	Yes	
row_35	NDUFB2	15237	-3.0224244594573975	-0.4932248	Yes	
row_36	NDUFS2	15244	-3.0309019088745117	-0.4743102	Yes	
row_37	NDUFC2	15428	-3.2519493103027344	-0.4642291	Yes	
row_38	NDUFA6	15492	-3.332843065261841	-0.44669273	Yes	
row_39	ATP5PF	15632	-3.4848365783691406	-0.43258652	Yes	
row_40	NDUFA10	15834	-3.7726941108703613	-0.42023724	Yes	
row_41	SDHA	15856	-3.8164961338043213	-0.39719775	Yes	
row_42	NDUFB11	15880	-3.8633811473846436	-0.373976	Yes	
row_43	ATP5PD	15906	-3.9043750762939453	-0.35060942	Yes	
row_44	ATP5F1A	15971	-4.031851291656494	-0.3286886	Yes	
row_45	ATP5PO	15977	-4.039560794830322	-0.303306	Yes	
row_46	ATP5MC3	16070	-4.195987701416016	-0.28196174	Yes	
row_47	NDUFA3	16075	-4.2057318687438965	-0.25546527	Yes	
row_48	NDUFA12	16288	-4.618636131286621	-0.23837623	Yes	
row_49	SDHD	16325	-4.7067060470581055	-0.21054703	Yes	
row_50	ATP5F1B	16343	-4.739020347595215	-0.18141344	Yes	
row_51	ATP5F1C	16455	-4.990995407104492	-0.15611583	Yes	
row_52	NDUFB3	16518	-5.126477241516113	-0.12712288	Yes	
row_53	NDUFA5	16653	-5.533434867858887	-0.09970841	Yes	
row_54	ATP5MC1	16750	-5.9369120597839355	-0.06753175	Yes	
row_55	NDUFV3	16983	-7.034494400024414	-0.03624657	Yes	
row_56	NDUFA1	17223	-8.980220794677734	0.0069989758	Yes	
