NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS5	2195	1.571982741355896	-0.116184995	No	
row_1	NDUFS8	4594	0.3798869848251343	-0.25226343	No	
row_2	NDUFAB1	4841	0.3189389705657959	-0.26430812	No	
row_3	NDUFV2	7823	-0.12047820538282394	-0.4358759	No	
row_4	NDUFA13	8399	-0.1982557475566864	-0.46777222	No	
row_5	NDUFB10	8759	-0.2538987100124359	-0.4867966	No	
row_6	ATP5F1EP2	8808	-0.2624207139015198	-0.4877775	No	
row_7	NDUFA11	9007	-0.2977558970451355	-0.49719125	No	
row_8	ATP5F1E	10731	-0.6460621953010559	-0.59241366	No	
row_9	NDUFB8	10790	-0.6575247645378113	-0.5912703	No	
row_10	SDHB	11827	-0.9576210379600525	-0.64463234	No	
row_11	ATP5MG	12402	-1.1636358499526978	-0.66986763	No	
row_12	NDUFS4	12760	-1.3173221349716187	-0.6815026	No	
row_13	NDUFB9	12989	-1.424977421760559	-0.68494105	No	
row_14	NDUFS3	13603	-1.7523658275604248	-0.70840484	Yes	
row_15	SDHC	13703	-1.80094575881958	-0.7018116	Yes	
row_16	NDUFB4	14003	-1.9913033246994019	-0.7054824	Yes	
row_17	NDUFS7	14130	-2.0635857582092285	-0.6986541	Yes	
row_18	NDUFS6	14367	-2.2302017211914062	-0.69704753	Yes	
row_19	ATP5MF	14507	-2.3404555320739746	-0.6890773	Yes	
row_20	NDUFA9	14528	-2.358956813812256	-0.67409873	Yes	
row_21	ATP5ME	14534	-2.3610193729400635	-0.6582386	Yes	
row_22	NDUFV1	14706	-2.4850051403045654	-0.65113014	Yes	
row_23	NDUFA2	14737	-2.5051774978637695	-0.63572973	Yes	
row_24	NDUFB5	14898	-2.653782367706299	-0.62683076	Yes	
row_25	NDUFC1	14952	-2.7080881595611572	-0.61137253	Yes	
row_26	NDUFB7	14959	-2.714019298553467	-0.5931557	Yes	
row_27	NDUFA8	15030	-2.7912800312042236	-0.5781115	Yes	
row_28	NDUFS1	15060	-2.822007656097412	-0.56048614	Yes	
row_29	ATP5PB	15084	-2.843700885772705	-0.54236543	Yes	
row_30	NDUFB6	15111	-2.877983331680298	-0.5241837	Yes	
row_31	ATP5F1D	15115	-2.8833279609680176	-0.5046353	Yes	
row_32	NDUFB1	15177	-2.9584250450134277	-0.48792738	Yes	
row_33	NDUFB2	15237	-3.0224244594573975	-0.47066608	Yes	
row_34	NDUFS2	15244	-3.0309019088745117	-0.45028177	Yes	
row_35	NDUFC2	15428	-3.2519493103027344	-0.43862146	Yes	
row_36	NDUFA6	15492	-3.332843065261841	-0.41946822	Yes	
row_37	ATP5PF	15632	-3.4848365783691406	-0.40367043	Yes	
row_38	NDUFA10	15834	-3.7726941108703613	-0.3894892	Yes	
row_39	SDHA	15856	-3.8164961338043213	-0.3645989	Yes	
row_40	NDUFB11	15880	-3.8633811473846436	-0.3395036	Yes	
row_41	ATP5PD	15906	-3.9043750762939453	-0.31424353	Yes	
row_42	ATP5F1A	15971	-4.031851291656494	-0.29036692	Yes	
row_43	ATP5PO	15977	-4.039560794830322	-0.26302558	Yes	
row_44	NDUFA3	16075	-4.2057318687438965	-0.23986803	Yes	
row_45	NDUFA12	16288	-4.618636131286621	-0.2205367	Yes	
row_46	SDHD	16325	-4.7067060470581055	-0.19042484	Yes	
row_47	ATP5F1B	16343	-4.739020347595215	-0.1589932	Yes	
row_48	ATP5F1C	16455	-4.990995407104492	-0.13127407	Yes	
row_49	NDUFB3	16518	-5.126477241516113	-0.0997946	Yes	
row_50	NDUFA5	16653	-5.533434867858887	-0.06969531	Yes	
row_51	NDUFV3	16983	-7.034494400024414	-0.04060571	Yes	
row_52	NDUFA1	17223	-8.980220794677734	0.006997319	Yes	
