NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPD2	1369	2.7614455223083496	-0.06550575	No	
row_1	NDUFS5	2195	1.571982741355896	-0.10544123	No	
row_2	NDUFS8	4594	0.3798869848251343	-0.24242339	No	
row_3	NDUFAB1	4841	0.3189389705657959	-0.25507885	No	
row_4	SLC25A22	6438	0.045401785522699356	-0.34728295	No	
row_5	COX4I2	6648	0.01880571059882641	-0.35929313	No	
row_6	UQCRC1	6840	-0.0010706279426813126	-0.37034935	No	
row_7	NDUFA4	7605	-0.0924597904086113	-0.41413426	No	
row_8	NDUFV2	7823	-0.12047820538282394	-0.42610046	No	
row_9	NDUFB10	8759	-0.2538987100124359	-0.47898316	No	
row_10	SLC25A13	9035	-0.3037109971046448	-0.4933941	No	
row_11	SLC25A51	10530	-0.5935985445976257	-0.57695574	No	
row_12	NDUFB8	10790	-0.6575247645378113	-0.58867466	No	
row_13	COX7C	11145	-0.7631180882453918	-0.60536855	No	
row_14	COA6	11185	-0.7721588611602783	-0.6037745	No	
row_15	COX6B1	11373	-0.8246908783912659	-0.61048955	No	
row_16	UQCRQ	11386	-0.8270066976547241	-0.60705805	No	
row_17	SDHB	11827	-0.9576210379600525	-0.6277621	No	
row_18	UQCRFS1P1	12003	-1.0167566537857056	-0.6328238	No	
row_19	UQCRHL	12207	-1.0890990495681763	-0.6391462	No	
row_20	SLC25A18	12272	-1.1122872829437256	-0.6373029	No	
row_21	UQCRB	12411	-1.1653754711151123	-0.6394803	No	
row_22	NDUFAF1	12707	-1.2931939363479614	-0.6501124	No	
row_23	NDUFS4	12760	-1.3173221349716187	-0.6465511	No	
row_24	COX7A2	12818	-1.3444617986679077	-0.64314383	No	
row_25	COX4I1	12966	-1.412304162979126	-0.6446104	No	
row_26	NDUFB9	12989	-1.424977421760559	-0.6387745	No	
row_27	UQCC3	13035	-1.4482872486114502	-0.63415426	No	
row_28	CYC1	13357	-1.6171412467956543	-0.6446758	No	
row_29	NDUFS3	13603	-1.7523658275604248	-0.65012115	Yes	
row_30	UQCRH	13611	-1.75447416305542	-0.6417725	Yes	
row_31	ETFRF1	13647	-1.7752622365951538	-0.6349417	Yes	
row_32	SDHC	13703	-1.80094575881958	-0.629141	Yes	
row_33	NDUFB4	14003	-1.9913033246994019	-0.6365215	Yes	
row_34	NDUFS7	14130	-2.0635857582092285	-0.6335222	Yes	
row_35	COX5A	14135	-2.0671958923339844	-0.6234395	Yes	
row_36	SDHAF2	14167	-2.087885856628418	-0.61481714	Yes	
row_37	AFG1L	14170	-2.0925867557525635	-0.60449183	Yes	
row_38	ETFB	14266	-2.163344383239746	-0.59919953	Yes	
row_39	NDUFS6	14367	-2.2302017211914062	-0.5938631	Yes	
row_40	COX6A1	14424	-2.268899440765381	-0.5857855	Yes	
row_41	NDUFA9	14528	-2.358956813812256	-0.57998043	Yes	
row_42	COX5B	14607	-2.4186956882476807	-0.5724295	Yes	
row_43	NDUFV1	14706	-2.4850051403045654	-0.5657059	Yes	
row_44	NDUFA2	14737	-2.5051774978637695	-0.55494356	Yes	
row_45	ETFA	14838	-2.5853350162506104	-0.54783523	Yes	
row_46	UQCR11	14884	-2.6313281059265137	-0.53731215	Yes	
row_47	NDUFB5	14898	-2.653782367706299	-0.5248238	Yes	
row_48	NDUFC1	14952	-2.7080881595611572	-0.514381	Yes	
row_49	NDUFB7	14959	-2.714019298553467	-0.5011867	Yes	
row_50	UQCRFS1	14966	-2.7207465171813965	-0.48795882	Yes	
row_51	NDUFA8	15030	-2.7912800312042236	-0.4776801	Yes	
row_52	NDUFS1	15060	-2.822007656097412	-0.46527898	Yes	
row_53	NDUFB6	15111	-2.877983331680298	-0.45381477	Yes	
row_54	NDUFB1	15177	-2.9584250450134277	-0.4428179	Yes	
row_55	NDUFB2	15237	-3.0224244594573975	-0.43115422	Yes	
row_56	NDUFS2	15244	-3.0309019088745117	-0.4163788	Yes	
row_57	SLC25A12	15416	-3.2441625595092773	-0.41009507	Yes	
row_58	NDUFC2	15428	-3.2519493103027344	-0.39450628	Yes	
row_59	NDUFA6	15492	-3.332843065261841	-0.3815254	Yes	
row_60	COX6C	15691	-3.5697944164276123	-0.3751806	Yes	
row_61	NDUFA10	15834	-3.7726941108703613	-0.36458024	Yes	
row_62	SDHA	15856	-3.8164961338043213	-0.34675375	Yes	
row_63	UQCRC2	15992	-4.059958457946777	-0.33431467	Yes	
row_64	COX8A	16029	-4.115386486053467	-0.31586555	Yes	
row_65	NDUFA3	16075	-4.2057318687438965	-0.29748687	Yes	
row_66	UQCR10	16134	-4.326603412628174	-0.27925798	Yes	
row_67	COX7B	16225	-4.4968132972717285	-0.26203305	Yes	
row_68	NDUFA12	16288	-4.618636131286621	-0.24257867	Yes	
row_69	SDHD	16325	-4.7067060470581055	-0.22117911	Yes	
row_70	NDUFB3	16518	-5.126477241516113	-0.20671965	Yes	
row_71	NDUFA5	16653	-5.533434867858887	-0.18687065	Yes	
row_72	COX15	16689	-5.6289849281311035	-0.1608114	Yes	
row_73	NDUFV3	16983	-7.034494400024414	-0.14268105	Yes	
row_74	ETFDH	17010	-7.189838886260986	-0.10831258	Yes	
row_75	CYCS	17018	-7.227428436279297	-0.072656184	Yes	
row_76	NDUFA1	17223	-8.980220794677734	-0.03966315	Yes	
row_77	PPARGC1A	17257	-9.342024803161621	0.005038413	Yes	
