NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCO2	2068	1.689262866973877	-0.11239514	No	
row_1	NDUFS5	2195	1.571982741355896	-0.11274862	No	
row_2	COQ10B	2317	1.4722901582717896	-0.113253035	No	
row_3	NDUFAF6	4510	0.4002832770347595	-0.23853378	No	
row_4	NDUFS8	4594	0.3798869848251343	-0.2416651	No	
row_5	NDUFAF7	4824	0.3222176134586334	-0.25351366	No	
row_6	NDUFAB1	4841	0.3189389705657959	-0.25303105	No	
row_7	COX11	5350	0.20930762588977814	-0.28154984	No	
row_8	COX7A2L	6029	0.09598784148693085	-0.320423	No	
row_9	COX18	6502	0.037608686834573746	-0.34761432	No	
row_10	UQCRC1	6840	-0.0010706279426813126	-0.3671424	No	
row_11	TRAP1	7455	-0.07321544736623764	-0.40240675	No	
row_12	NDUFA4	7605	-0.0924597904086113	-0.41063416	No	
row_13	NDUFV2	7823	-0.12047820538282394	-0.42267907	No	
row_14	NDUFA13	8399	-0.1982557475566864	-0.45513013	No	
row_15	NDUFB10	8759	-0.2538987100124359	-0.47481564	No	
row_16	NDUFA11	9007	-0.2977558970451355	-0.48781565	No	
row_17	COX14	10008	-0.47595423460006714	-0.54367244	No	
row_18	NDUFAF5	10215	-0.5210549831390381	-0.55330884	No	
row_19	NDUFAF2	10419	-0.5685767531394958	-0.5625613	No	
row_20	TMEM126B	10551	-0.5978449583053589	-0.56751114	No	
row_21	LRPPRC	10609	-0.6149009466171265	-0.5680965	No	
row_22	NDUFB8	10790	-0.6575247645378113	-0.5756226	No	
row_23	COX7C	11145	-0.7631180882453918	-0.5927671	No	
row_24	COX6B1	11373	-0.8246908783912659	-0.60227835	No	
row_25	UQCRQ	11386	-0.8270066976547241	-0.5993178	No	
row_26	NDUFAF3	11642	-0.9045166969299316	-0.610099	No	
row_27	SDHB	11827	-0.9576210379600525	-0.6165303	No	
row_28	ACAD9	12255	-1.1068717241287231	-0.6363862	No	
row_29	UQCRB	12411	-1.1653754711151123	-0.64021814	No	
row_30	NDUFAF1	12707	-1.2931939363479614	-0.6515995	Yes	
row_31	NDUFS4	12760	-1.3173221349716187	-0.64878976	Yes	
row_32	COA1	12831	-1.3505980968475342	-0.64687616	Yes	
row_33	COX4I1	12966	-1.412304162979126	-0.64839923	Yes	
row_34	NDUFB9	12989	-1.424977421760559	-0.6433747	Yes	
row_35	TMEM186	13179	-1.5248494148254395	-0.6475881	Yes	
row_36	COX19	13273	-1.572540283203125	-0.6460264	Yes	
row_37	CYC1	13357	-1.6171412467956543	-0.6436879	Yes	
row_38	TACO1	13501	-1.7008188962936401	-0.64445716	Yes	
row_39	NDUFS3	13603	-1.7523658275604248	-0.6425642	Yes	
row_40	UQCRH	13611	-1.75447416305542	-0.63521355	Yes	
row_41	SDHC	13703	-1.80094575881958	-0.63252616	Yes	
row_42	COQ10A	13842	-1.8959068059921265	-0.63214314	Yes	
row_43	NDUFB4	14003	-1.9913033246994019	-0.63261354	Yes	
row_44	NDUFS7	14130	-2.0635857582092285	-0.6307937	Yes	
row_45	COX5A	14135	-2.0671958923339844	-0.6218866	Yes	
row_46	COX16	14248	-2.1477088928222656	-0.61888343	Yes	
row_47	ETFB	14266	-2.163344383239746	-0.61030483	Yes	
row_48	NDUFS6	14367	-2.2302017211914062	-0.6062414	Yes	
row_49	COX6A1	14424	-2.268899440765381	-0.5994566	Yes	
row_50	NDUFA9	14528	-2.358956813812256	-0.5949979	Yes	
row_51	COX5B	14607	-2.4186956882476807	-0.588826	Yes	
row_52	NDUFV1	14706	-2.4850051403045654	-0.5835202	Yes	
row_53	SURF1	14713	-2.490534543991089	-0.5728575	Yes	
row_54	NDUFA2	14737	-2.5051774978637695	-0.5631155	Yes	
row_55	ETFA	14838	-2.5853350162506104	-0.557482	Yes	
row_56	UQCR11	14884	-2.6313281059265137	-0.5484574	Yes	
row_57	NDUFB5	14898	-2.653782367706299	-0.53747874	Yes	
row_58	NDUFC1	14952	-2.7080881595611572	-0.5285785	Yes	
row_59	NDUFB7	14959	-2.714019298553467	-0.51692784	Yes	
row_60	UQCRFS1	14966	-2.7207465171813965	-0.5052474	Yes	
row_61	NDUFA8	15030	-2.7912800312042236	-0.49655896	Yes	
row_62	NDUFS1	15060	-2.822007656097412	-0.485764	Yes	
row_63	NDUFB6	15111	-2.877983331680298	-0.47593874	Yes	
row_64	NDUFB1	15177	-2.9584250450134277	-0.4666273	Yes	
row_65	NDUFB2	15237	-3.0224244594573975	-0.45668513	Yes	
row_66	NDUFS2	15244	-3.0309019088745117	-0.44363356	Yes	
row_67	NDUFC2	15428	-3.2519493103027344	-0.43986383	Yes	
row_68	NDUFA6	15492	-3.332843065261841	-0.42878118	Yes	
row_69	COX6C	15691	-3.5697944164276123	-0.4244757	Yes	
row_70	NDUFAF4	15801	-3.7361857891082764	-0.41427612	Yes	
row_71	NDUFA10	15834	-3.7726941108703613	-0.39945212	Yes	
row_72	SDHA	15856	-3.8164961338043213	-0.38379693	Yes	
row_73	NDUFB11	15880	-3.8633811473846436	-0.3680504	Yes	
row_74	TIMMDC1	15966	-4.025444507598877	-0.35518095	Yes	
row_75	UQCRC2	15992	-4.059958457946777	-0.33868125	Yes	
row_76	COX8A	16029	-4.115386486053467	-0.3225741	Yes	
row_77	NDUFA3	16075	-4.2057318687438965	-0.30658922	Yes	
row_78	UQCR10	16134	-4.326603412628174	-0.29082343	Yes	
row_79	COX7B	16225	-4.4968132972717285	-0.2761599	Yes	
row_80	NDUFA12	16288	-4.618636131286621	-0.25933492	Yes	
row_81	SDHD	16325	-4.7067060470581055	-0.2406136	Yes	
row_82	NUBPL	16478	-5.046015739440918	-0.22711569	Yes	
row_83	NDUFB3	16518	-5.126477241516113	-0.20671248	Yes	
row_84	NDUFA5	16653	-5.533434867858887	-0.19001643	Yes	
row_85	COX20	16859	-6.459706783294678	-0.17334066	Yes	
row_86	ECSIT	16949	-6.908978462219238	-0.14795522	Yes	
row_87	NDUFV3	16983	-7.034494400024414	-0.11876908	Yes	
