NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UCP2	738	4.498188018798828	-0.026957894	No	
row_1	SCO2	2068	1.689262866973877	-0.0981222	No	
row_2	NDUFS5	2195	1.571982741355896	-0.0998883	No	
row_3	COQ10B	2317	1.4722901582717896	-0.101715945	No	
row_4	NDUFAF6	4510	0.4002832770347595	-0.22750896	No	
row_5	NDUFS8	4594	0.3798869848251343	-0.23098536	No	
row_6	NDUFAF7	4824	0.3222176134586334	-0.24313782	No	
row_7	NDUFAB1	4841	0.3189389705657959	-0.24294113	No	
row_8	COX11	5350	0.20930762588977814	-0.27168274	No	
row_9	COX7A2L	6029	0.09598784148693085	-0.31068948	No	
row_10	COX18	6502	0.037608686834573746	-0.3379477	No	
row_11	UQCRC1	6840	-0.0010706279426813126	-0.35750058	No	
row_12	PM20D1	6999	-0.017534080892801285	-0.3666077	No	
row_13	TRAP1	7455	-0.07321544736623764	-0.39275375	No	
row_14	NDUFA4	7605	-0.0924597904086113	-0.40107426	No	
row_15	NDUFV2	7823	-0.12047820538282394	-0.41324207	No	
row_16	NDUFA13	8399	-0.1982557475566864	-0.44591078	No	
row_17	NDUFB10	8759	-0.2538987100124359	-0.4658484	No	
row_18	NDUFA11	9007	-0.2977558970451355	-0.4791317	No	
row_19	UCP3	9647	-0.40507376194000244	-0.5147848	No	
row_20	COX14	10008	-0.47595423460006714	-0.533997	No	
row_21	SLC25A14	10144	-0.5042006969451904	-0.5400525	No	
row_22	NDUFAF5	10215	-0.5210549831390381	-0.54227644	No	
row_23	NDUFAF2	10419	-0.5685767531394958	-0.55205095	No	
row_24	TMEM126B	10551	-0.5978449583053589	-0.5575439	No	
row_25	LRPPRC	10609	-0.6149009466171265	-0.5586824	No	
row_26	ATP5F1E	10731	-0.6460621953010559	-0.5634249	No	
row_27	NDUFB8	10790	-0.6575247645378113	-0.564471	No	
row_28	COX7C	11145	-0.7631180882453918	-0.58232194	No	
row_29	COX6B1	11373	-0.8246908783912659	-0.5925856	No	
row_30	UQCRQ	11386	-0.8270066976547241	-0.5903644	No	
row_31	ATP5MC2	11585	-0.8852762579917908	-0.5987314	No	
row_32	NDUFAF3	11642	-0.9045166969299316	-0.5987901	No	
row_33	SDHB	11827	-0.9576210379600525	-0.6060895	No	
