NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH3	38	10.840822219848633	0.044038076	Yes	
row_1	WNT10A	61	10.213289260864258	0.08632698	Yes	
row_2	RYR1	77	9.831542015075684	0.12739335	Yes	
row_3	SCEL	142	8.822376251220703	0.1613146	Yes	
row_4	CLDN1	172	8.368075370788574	0.19532704	Yes	
row_5	EREG	191	8.104013442993164	0.22885081	Yes	
row_6	TMEM79	207	7.7972412109375	0.26123998	Yes	
row_7	MET	255	7.297868251800537	0.28964403	Yes	
row_8	KRT17	363	6.308168411254883	0.3103483	Yes	
row_9	ANXA1	383	6.144872188568115	0.3354575	Yes	
row_10	POU2F3	396	6.090054512023926	0.36073866	Yes	
row_11	ITGA6	552	5.306312084197998	0.37438697	Yes	
row_12	SFN	567	5.244332313537598	0.3959448	Yes	
row_13	KRT80	630	4.932378768920898	0.4133894	Yes	
row_14	CDSN	644	4.883881568908691	0.43346772	Yes	
row_15	IVL	659	4.803308010101318	0.4531444	Yes	
row_16	ITGB4	670	4.762547016143799	0.47287908	Yes	
row_17	WNT5A	701	4.623974323272705	0.4908633	Yes	
row_18	COL1A1	807	4.250407695770264	0.5029062	Yes	
row_19	ABCA12	879	4.029911994934082	0.51597965	Yes	
row_20	TGFB2	892	3.9851083755493164	0.5322823	Yes	
row_21	EPHA2	908	3.919295310974121	0.5481303	Yes	
row_22	TP63	909	3.918600082397461	0.56484485	Yes	
row_23	ITGA3	1040	3.464524269104004	0.5720864	Yes	
row_24	COL5A1	1217	3.0624234676361084	0.5749461	Yes	
row_25	KRT6A	1240	3.0048179626464844	0.58648765	Yes	
row_26	COL3A1	1251	2.9760563373565674	0.5986021	Yes	
row_27	EVPL	1252	2.9751574993133545	0.61129254	Yes	
row_28	IL18	1296	2.8869001865386963	0.6211137	Yes	
row_29	KRT27	1350	2.799433469772339	0.62998205	Yes	
row_30	TGM1	1367	2.7697391510009766	0.6408687	Yes	
row_31	PDGFA	1372	2.7568113803863525	0.65239584	Yes	
row_32	ST14	1392	2.7260913848876953	0.66292244	Yes	
row_33	COL5A2	1526	2.4821243286132812	0.6657997	Yes	
row_34	LSR	1608	2.3231520652770996	0.6710133	Yes	
row_35	INHBA	1647	2.255612850189209	0.6784316	Yes	
row_36	APCDD1	1717	2.1598000526428223	0.6836441	Yes	
row_37	STMN1	1729	2.140071153640747	0.6921348	Yes	
row_38	DSP	1850	1.9620102643966675	0.6935471	Yes	
row_39	KRT16	1935	1.8431849479675293	0.6965396	Yes	
