NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ME3	478	5.654603481292725	-0.013203736	No	
row_1	UCP2	738	4.498188018798828	-0.016651923	No	
row_2	PDK3	789	4.321654796600342	-0.008394492	No	
row_3	SLC16A3	1584	2.3627209663391113	-0.04849242	No	
row_4	SCO2	2068	1.689262866973877	-0.07223336	No	
row_5	NDUFS5	2195	1.571982741355896	-0.0755034	No	
row_6	PDK4	2269	1.5143367052078247	-0.07583832	No	
row_7	COQ10B	2317	1.4722901582717896	-0.07476894	No	
row_8	SLC16A1	2491	1.3273159265518188	-0.08140614	No	
row_9	MPC2	2600	1.2554994821548462	-0.08444654	No	
row_10	LDHA	2709	1.175855040550232	-0.08769274	No	
row_11	PDP1	2823	1.097983479499817	-0.0914311	No	
row_12	NDUFAF6	4510	0.4002832770347595	-0.1885056	No	
row_13	NDUFS8	4594	0.3798869848251343	-0.1923538	No	
row_14	NDUFAF7	4824	0.3222176134586334	-0.20484677	No	
row_15	NDUFAB1	4841	0.3189389705657959	-0.2049537	No	
row_16	VDAC1	4878	0.31184759736061096	-0.20624276	No	
row_17	COX11	5350	0.20930762588977814	-0.23310953	No	
row_18	PDK2	5880	0.11793330311775208	-0.26358745	No	
row_19	PDK1	5893	0.11501991003751755	-0.26398852	No	
row_20	COX7A2L	6029	0.09598784148693085	-0.2715962	No	
row_21	IDH2	6157	0.07801125198602676	-0.27878478	No	
row_22	COX18	6502	0.037608686834573746	-0.29870507	No	
row_23	DLST	6555	0.03008810430765152	-0.3016532	No	
row_24	UQCRC1	6840	-0.0010706279426813126	-0.31817648	No	
row_25	PDP2	6947	-0.01160793099552393	-0.32431465	No	
row_26	PM20D1	6999	-0.017534080892801285	-0.32723707	No	
row_27	FAHD1	7402	-0.06672365963459015	-0.35045713	No	
row_28	BSG	7416	-0.06856843829154968	-0.35103643	No	
row_29	TRAP1	7455	-0.07321544736623764	-0.3530585	No	
row_30	NDUFA4	7605	-0.0924597904086113	-0.36148992	No	
row_31	NDUFV2	7823	-0.12047820538282394	-0.3738059	No	
row_32	ME2	7827	-0.12077255547046661	-0.3736684	No	
row_33	LDHC	8164	-0.1635606288909912	-0.3927977	No	
row_34	NDUFA13	8399	-0.1982557475566864	-0.40590194	No	
row_35	NDUFB10	8759	-0.2538987100124359	-0.4261362	No	
row_36	DLAT	8761	-0.25399547815322876	-0.42553806	No	
row_37	SLC16A8	8779	-0.2571936547756195	-0.42586273	No	
row_38	NDUFA11	9007	-0.2977558970451355	-0.43830255	No	
row_39	CS	9113	-0.31567442417144775	-0.44359684	No	
row_40	LDHB	9539	-0.3846686780452728	-0.46733373	No	
row_41	UCP3	9647	-0.40507376194000244	-0.4725134	No	
row_42	COX14	10008	-0.47595423460006714	-0.49223205	No	
row_43	SLC25A14	10144	-0.5042006969451904	-0.49878493	No	
row_44	GSTZ1	10179	-0.5115600824356079	-0.49944156	No	
row_45	PDHB	10182	-0.5123699307441711	-0.498234	No	
row_46	NDUFAF5	10215	-0.5210549831390381	-0.4987497	No	
row_47	NDUFAF2	10419	-0.5685767531394958	-0.50909317	No	
row_48	TMEM126B	10551	-0.5978449583053589	-0.5151713	No	
row_49	LRPPRC	10609	-0.6149009466171265	-0.5168992	No	
row_50	ATP5F1E	10731	-0.6460621953010559	-0.52227086	No	
row_51	NDUFB8	10790	-0.6575247645378113	-0.5239469	No	
row_52	ADHFE1	10830	-0.6676791906356812	-0.5244911	No	
row_53	COX7C	11145	-0.7631180882453918	-0.540791	No	
row_54	PPARD	11205	-0.7772961854934692	-0.5422157	No	
row_55	COX6B1	11373	-0.8246908783912659	-0.54980254	No	
row_56	UQCRQ	11386	-0.8270066976547241	-0.54836386	No	
row_57	GLO1	11579	-0.8832861185073853	-0.557254	No	
row_58	ATP5MC2	11585	-0.8852762579917908	-0.55525744	No	
row_59	NDUFAF3	11642	-0.9045166969299316	-0.55617887	No	
row_60	SDHB	11827	-0.9576210379600525	-0.56441146	No	
row_61	ACAD9	12255	-1.1068717241287231	-0.5863986	No	
row_62	ATP5MG	12402	-1.1636358499526978	-0.5918876	No	
row_63	UQCRB	12411	-1.1653754711151123	-0.5893419	No	
row_64	SUCLG2	12643	-1.2654170989990234	-0.599514	No	
row_65	NDUFAF1	12707	-1.2931939363479614	-0.5998385	No	
row_66	NDUFS4	12760	-1.3173221349716187	-0.5994605	No	
row_67	COA1	12831	-1.3505980968475342	-0.6000439	No	
row_68	COX4I1	12966	-1.412304162979126	-0.6041921	No	
row_69	NDUFB9	12989	-1.424977421760559	-0.6017902	No	
row_70	TMEM186	13179	-1.5248494148254395	-0.60884804	No	
