NAME	TITLE	SCORE	
CLDN16		14.8735895	
LHX2		14.122111	
HS6ST2		14.012653	
PRR15		13.781647	
SLIT1		13.261584	
ABCC11		13.182702	
KLK11		13.088177	
BRINP1		12.878127	
ZCCHC12		12.82703	
SOX11		12.759442	
DPP4		12.749343	
HMGA2		12.463453	
SYTL5		12.303814	
GRM4		12.240541	
B3GNT3		11.9842205	
LINC02555		11.944578	
ADCY8		11.899183	
GALE		11.893224	
TRPC5		11.852705	
BID		11.81038	
SLC22A31		11.704056	
AMIGO2		11.648439	
TRDC		11.64114	
MROH6		11.586977	
CYP2S1		11.552368	
MEGF11		11.536285	
TMC6		11.521355	
ALDH3B1		11.463795	
LRRK2		11.420932	
LINC02471		11.382984	
ALK		11.193032	
ARHGAP36		11.169061	
XKRX		11.122835	
KCNJ2		11.102106	
LIPH		11.052705	
HPCAL4		11.013754	
LGALS3		10.977344	
CAMK2N1		10.906326	
CDH3		10.840822	
IGFL2		10.815275	
QPCT		10.814706	
METTL7B		10.810095	
CYSLTR2		10.787523	
CTSH		10.7750225	
TGFA		10.726031	
STRA6		10.719489	
GJB3		10.713242	
EPHB3		10.693468	
PSD3		10.606109	
ICAM5		10.498322	
ZMAT3		10.487023	
CTXND1		10.480065	
SDK1		10.472936	
FAS		10.429975	
BAIAP3		10.399399	
SIGLEC6		10.29922	
PROS1		10.295369	
PTCHD4		10.269948	
IL1RAP		10.243158	
MIR31HG		10.239184	
PLXNC1		10.238392	
WNT10A		10.213289	
TMEM215		10.20263	
CLDN10		10.202344	
LPAR5		10.165029	
HNRNPA1P27		10.164363	
TMPRSS4		10.127381	
PLCD3		10.039147	
PPP1R1B		10.001126	
PTPRE		9.99671	
RXRG		9.976789	
KCNN4		9.916294	
RASGRF1		9.901978	
SYT12		9.864628	
GALNT7		9.857405	
CTSC		9.840291	
RIN1		9.835004	
RYR1		9.831542	
BNC1		9.811097	
NPC2		9.765522	
TIMP1		9.750538	
DUSP4		9.742712	
TUSC3		9.711011	
GDF15		9.706894	
UNC5B		9.692701	
NRCAM		9.674101	
MSMP		9.6664915	
TMEM163		9.653596	
LINC02408		9.646493	
ABCC3		9.635128	
NAT8L		9.632175	
ASCC3		9.591787	
TMEM92		9.582482	
ENTPD1		9.560978	
KLK7		9.554899	
KCNQ3		9.546808	
TENM1		9.540534	
SYTL1		9.478853	
DCHS2		9.473059	
DCSTAMP		9.4245405	
CST2		9.42085	
PCDHAC2		9.418532	
SPTBN2		9.40805	
DMBT1		9.391756	
FAM43A		9.384063	
LY6E		9.383544	
TNNT1		9.371009	
MTHFD1L		9.368037	
SLC35F2		9.326914	
ICAM4		9.309564	
PHACTR3		9.306025	
RAB27A		9.291776	
DSC3		9.286712	
SERPINA1		9.283109	
ETV5		9.25205	
ADAMTS18		9.228192	
TNFRSF10B		9.1895075	
ETV4		9.185984	
TINCR		9.180117	
AGR2		9.176425	
DDB2		9.118371	
PHYHIP		9.108695	
STAC		9.081971	
CC2D2B		9.073809	
EDEM1		9.06868	
AHNAK2		9.058188	
B3GNT7		9.05297	
NAPSA		9.011152	
SLC6A20		9.010676	
C11orf80		9.008417	
EMILIN2		8.997658	
NELL2		8.975981	
DUSP6		8.959105	
RUNX1		8.950498	
ZNF560		8.926579	
TMEM132D		8.924977	
TIAM1		8.917372	
KRT15		8.909311	
DOK7		8.908173	
CORO2A		8.87789	
GABRB2		8.853172	
SHROOM4		8.835851	
SCEL		8.822376	
TMPRSS6		8.821532	
CPNE4		8.819838	
BBC3		8.777287	
LRP4		8.777257	
EGFEM1P		8.759567	
TMEM130		8.7510605	
GLT1D1		8.712783	
PDE5A		8.689926	
PLA2G12B		8.686706	
SLC9A7P1		8.680164	
IGSF1		8.654083	
CDC42EP5		8.6469	
IER5L		8.645838	
PRSS23		8.636601	
CLIP3		8.628067	
GALNT5		8.628045	
CD109		8.621414	
FAM20A		8.598951	
NGEF		8.540316	
PNMA1		8.535437	
RTL4		8.508575	
NKAIN4		8.490337	
FAXC		8.440522	
STK32A		8.436624	
ELFN2		8.416921	
GAP43		8.415205	
MDK		8.391876	
MSN		8.391358	
MMP16		8.368791	
CLDN1		8.368075	
SFTPA1		8.359312	
NRP2		8.324703	
PRSS2		8.300998	
GLS2		8.263761	
MVP		8.251046	
CRLF2		8.208709	
STAM		8.206335	
HCN4		8.1720705	
MUC21		8.171208	
KLK10		8.165448	
ISYNA1		8.1623745	
SLC27A6		8.158099	
CD55		8.15404	
MFGE8		8.147344	
SRCIN1		8.147259	
RDH5		8.144711	
NECTIN4		8.1359	
TESC		8.111318	
EREG		8.104013	
FYN		8.096438	
CHST2		8.092901	
ICAM1		8.080501	
SYNDIG1L		8.065621	
OLAH		8.017433	
DIRAS3		8.005499	
GOLT1A		7.968195	
LAMB3		7.9594226	
QSOX1		7.923322	
LRRC52-AS1		7.9212213	
DUSP5		7.9190106	
SLC25A47P1		7.911539	
PRMT8		7.895158	
NR2F1-AS1		7.8562827	
NOD1		7.8375072	
TMEM79		7.797241	
EPS8		7.7953587	
NFE2L3		7.780256	
KLHDC8A		7.7774806	
TBC1D2		7.777435	
PLAG1		7.7747064	
MXRA8		7.774306	
INAVA		7.7585654	
FN1		7.756341	
RBFOX1		7.7473707	
ADAMTS9		7.7399597	
OPCML		7.707666	
GABRG3		7.697155	
DACH2		7.6969647	
ATP6V1B2		7.686812	
PAX9		7.6865597	
RINL		7.6852055	
RUNX2		7.664886	
TRIM54		7.63673	
FBXO41		7.6365094	
SHC3		7.618115	
FNDC4		7.594683	
SLC34A2		7.5888433	
TGFBR1		7.567393	
LASP1		7.564517	
EPHA10		7.5608797	
BMERB1		7.5566072	
PRLHR		7.532188	
PDLIM4		7.4905157	
AHR		7.479382	
PLPP2		7.468046	
MAG		7.4399757	
C17orf107		7.4368	
RSPO1		7.430678	
ITPR2		7.428217	
NRIP1		7.4249177	
MRC2		7.4050174	
FBXO2		7.398527	
HRK		7.397955	
RASD2		7.391474	
SIGLEC15		7.387356	
PNPLA5		7.35597	
ABR		7.3465414	
GLDN		7.342884	
THRSP		7.3329644	
TMEM117		7.3209376	
STMN2		7.320391	
MAPK13		7.297968	
MET		7.2978683	
CLDN9		7.29158	
C4orf48		7.26313	
TGFB1		7.2540584	
LAD1		7.2395086	
LAMP5		7.2386565	
KLK6		7.220728	
TMEM184A		7.211351	
PLD3		7.192161	
PTP4A3		7.19161	
SNX25		7.179447	
PIWIL1		7.1764627	
BEAN1		7.1755476	
SSTR3		7.174572	
CHI3L1		7.16904	
PAPSS1		7.141204	
ARX		7.1388783	
IL17RD		7.131386	
SNX30		7.110508	
CDH4		7.1079493	
MGAT3		7.1075144	
IGF2R		7.092644	
MPZL2		7.0844254	
ENDOD1		7.067705	
ALDH1A3		7.058469	
DPP10		7.0310893	
RAD23B		7.025781	
HACD1		7.0153136	
LINC02718		7.015103	
ZDHHC20		7.0043335	
TMEM100		6.9964905	
TACSTD2		6.996228	
PARP14		6.981119	
SLC2A13		6.9801316	
ERICH3		6.9772816	
RCN2		6.972024	
CYP1B1		6.9680777	
C2CD4A		6.9536266	
BHLHE40		6.9440675	
TANC2		6.94337	
CBLN4		6.9327455	
PLXND1		6.9173417	
LCN2		6.9171476	
PARP4		6.901464	
MISP		6.88185	
SUSD1		6.8812237	
DRAM1		6.8802805	
CCDC33		6.876479	
RNF225		6.871828	
BAX		6.87053	
GGCT		6.8684955	
TNFRSF10C		6.868355	
KCNS3		6.86705	
ULBP1		6.866145	
CACNG4		6.8524003	
PLP2		6.8433537	
PRDM1		6.822143	
PLEKHG4		6.820997	
MFSD4A		6.7818356	
ATP11A		6.7749033	
LINC00511		6.761029	
PNP		6.758175	
RAPGEF5		6.7472115	
GGT6		6.7462993	
STK32A-AS1		6.735641	
TM4SF1		6.73061	
NPTXR		6.7290583	
CDC42EP3		6.6971498	
DLG4		6.692662	
SLC24A2		6.690443	
KCNJ2-AS1		6.689399	
CCND2		6.6737146	
PDZK1IP1		6.6532307	
ADTRP		6.6462755	
PDZRN4		6.640017	
CCND1		6.6235185	
SEZ6L2		6.6095505	
ADK		6.6007614	
BIRC7		6.5789475	
HEY2		6.57038	
LINC02454		6.5684476	
ESPN		6.5537844	
PLEKHN1		6.5385666	
NTM		6.5270457	
ACBD7		6.5071077	
BMP1		6.4981904	
TNC		6.479583	
ABTB2		6.4793243	
COL7A1		6.468629	
LGALS1		6.45913	
CD44		6.440485	
FLNA		6.437281	
TRIM47		6.4329987	
ADAMTS14		6.426237	
ARHGAP23		6.4200335	
COL8A2		6.413295	
HLA-G		6.407062	
SERINC5		6.40591	
ADRA1B		6.393078	
SYT1		6.390332	
ACTBL2		6.378698	
SEC14L6		6.3689327	
FIBCD1		6.3636265	
IDH1		6.3626666	
VSTM2L		6.347474	
ECE1		6.3411636	
SHISA6		6.316943	
XPR1		6.3136563	
KRT17		6.3081684	
AFF2		6.281846	
LLGL1		6.2728987	
POPDC3		6.2694917	
VTCN1		6.254182	
CDK5RAP2		6.247558	
