Gene	Description	Ranks	Tumor vs Normal
FAS	FAS	10.43	1
TIMP1	TIMP1	9.75	1
EREG	EREG	8.1	1
TGFB1	TGFB1	7.25	1
CCND2	CCND2	6.67	1
FLNA	FLNA	6.44	1
HLA-G	HLA-G	6.41	1
BCAT1	BCAT1	5.53	1
INHBB	INHBB	4.95	1
STAT1	STAT1	4.92	1
HDAC9	HDAC9	4.8	1
GBP2	GBP2	4.66	1
ST8SIA4	ST8SIA4	4.55	1
CCL13	CCL13	4.27	1
CD47	CD47	3.96	1
CTSS	CTSS	3.68	1
DEGS1	DEGS1	3.68	1
F2R	F2R	3.51	1
LYN	LYN	3.33	1
ELF4	ELF4	3.25	1
RIPK2	RIPK2	3.14	1
IL18	IL18	2.89	1
HIF1A	HIF1A	2.75	1
MAP3K7	MAP3K7	2.6	1
B2M	B2M	2.35	1
IFNAR2	IFNAR2	2.34	1
INHBA	INHBA	2.26	1
RPS9	RPS9	2.16	1
HLA-A	HLA-A	2.07	1
IGSF6	IGSF6	1.93	1
HLA-DMB	HLA-DMB	1.86	1
CDKN2A	CDKN2A	1.84	1
CCL22	CCL22	1.71	1
IL27RA	IL27RA	1.59	1
NLRP3	NLRP3	1.49	1
HLA-DRA	HLA-DRA	1.48	1
STAT4	STAT4	1.48	1
IFNGR2	IFNGR2	1.46	1
LIF	LIF	1.4	1
CD40	CD40	1.37	1
CCND3	CCND3	1.28	1
CCL7	CCL7	1.27	1
HLA-DQA1	HLA-DQA1	1.27	1
RPS19	RPS19	1.23	1
C2	C2	1.16	1
HLA-DOA	HLA-DOA	1.12	1
IL11	IL11	1.1	1
CD74	CD74	1.04	1
TAP1	TAP1	1.04	1
MMP9	MMP9	1	1
