NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CELLULAR RESPIRATION%GOBP%GO:0045333	CELLULAR RESPIRATION%GOBP%GO:0045333	Details ...	131	-0.6861537	-2.3667638	0.0	0.0	0.0	3803	tags=55%, list=22%, signal=70%	
AEROBIC RESPIRATION%GOBP%GO:0009060	AEROBIC RESPIRATION%GOBP%GO:0009060	Details ...	116	-0.69436866	-2.3559594	0.0	0.0	0.0	3803	tags=57%, list=22%, signal=72%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	88	-0.705584	-2.286921	0.0	0.0	0.0	3803	tags=60%, list=22%, signal=77%	
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	Details ...	84	-0.6828735	-2.2192023	0.0	0.0	0.0	3803	tags=58%, list=22%, signal=74%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	Details ...	67	-0.697487	-2.214653	0.0	0.0	0.0	4047	tags=64%, list=23%, signal=83%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	Details ...	113	-0.65725493	-2.2014096	0.0	0.0	0.0	4047	tags=59%, list=23%, signal=77%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	Details ...	67	-0.697487	-2.2010374	0.0	0.0	0.0	4047	tags=64%, list=23%, signal=83%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 83%611105	RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 83%611105	Details ...	92	-0.66750836	-2.1857991	0.0	0.0	0.0	4047	tags=59%, list=23%, signal=76%	
PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	Details ...	57	-0.7257725	-2.182371	0.0	0.0	0.0	3780	tags=65%, list=22%, signal=83%	
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	Details ...	78	-0.6822284	-2.1783206	0.0	0.0	0.0	3803	tags=59%, list=22%, signal=75%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	155	-0.61868674	-2.170737	0.0	0.0	0.0	3852	tags=54%, list=22%, signal=69%	
PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	Details ...	53	-0.7244241	-2.1705368	0.0	0.0	0.0	3780	tags=66%, list=22%, signal=84%	
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	Details ...	66	-0.6954474	-2.1576328	0.0	0.0	0.0	4047	tags=64%, list=23%, signal=83%	
ENERGY DERIVATION BY OXIDATION OF ORGANIC COMPOUNDS%GOBP%GO:0015980	ENERGY DERIVATION BY OXIDATION OF ORGANIC COMPOUNDS%GOBP%GO:0015980	Details ...	161	-0.6133462	-2.1544821	0.0	0.0	0.0	3297	tags=43%, list=19%, signal=53%	
AXONEME ASSEMBLY%GOBP%GO:0035082	AXONEME ASSEMBLY%GOBP%GO:0035082	Details ...	54	-0.7101555	-2.153736	0.0	0.0	0.0	3347	tags=57%, list=19%, signal=71%	
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	Details ...	61	-0.69770616	-2.139601	0.0	0.0	0.0	4047	tags=66%, list=23%, signal=85%	
