NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CELLULAR RESPIRATION%GOBP%GO:0045333	CELLULAR RESPIRATION%GOBP%GO:0045333	Details ...	131	-0.66582227	-2.1494734	0.0	0.0	0.0	3743	tags=60%, list=22%, signal=76%	
AEROBIC RESPIRATION%GOBP%GO:0009060	AEROBIC RESPIRATION%GOBP%GO:0009060	Details ...	116	-0.6671742	-2.1025367	0.0	3.3426762E-4	0.001	3743	tags=62%, list=22%, signal=79%	
PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	Details ...	57	-0.7190449	-2.0560646	0.0	2.2284508E-4	0.001	3343	tags=68%, list=19%, signal=84%	
PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	Details ...	53	-0.720391	-2.0510871	0.0	1.6713381E-4	0.001	3743	tags=74%, list=22%, signal=94%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	88	-0.6730317	-2.0499601	0.0	1.3370706E-4	0.001	3743	tags=64%, list=22%, signal=81%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	Details ...	113	-0.6479371	-2.0384603	0.0	2.2317191E-4	0.002	4073	tags=62%, list=23%, signal=80%	
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	Details ...	84	-0.6602691	-2.0319777	0.0	1.9129021E-4	0.002	3743	tags=62%, list=22%, signal=79%	
THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-1428517.1	THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-1428517.1	Details ...	160	-0.6164563	-2.0283344	0.0	1.6737894E-4	0.002	3743	tags=53%, list=22%, signal=67%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 83%611105	RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 83%611105	Details ...	92	-0.6573166	-2.0184515	0.0	2.2272056E-4	0.003	4639	tags=67%, list=27%, signal=92%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	155	-0.61355203	-2.0125024	0.0	2.004485E-4	0.003	4528	tags=66%, list=26%, signal=89%	
ENERGY DERIVATION BY OXIDATION OF ORGANIC COMPOUNDS%GOBP%GO:0015980	ENERGY DERIVATION BY OXIDATION OF ORGANIC COMPOUNDS%GOBP%GO:0015980	Details ...	161	-0.6128672	-2.0013041	0.0	1.8222591E-4	0.003	3743	tags=52%, list=22%, signal=66%	
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	Details ...	61	-0.6817142	-1.9966874	0.0	1.6704042E-4	0.003	3743	tags=66%, list=22%, signal=83%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	Details ...	67	-0.67048615	-1.9863737	0.0	2.573003E-4	0.005	4639	tags=75%, list=27%, signal=101%	
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	Details ...	78	-0.65886474	-1.9577986	0.0	8.109092E-4	0.017	3743	tags=63%, list=22%, signal=80%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	Details ...	67	-0.67048615	-1.9552104	0.0	9.3499507E-4	0.021	4639	tags=75%, list=27%, signal=101%	
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	Details ...	66	-0.6696635	-1.9541552	0.0	8.765579E-4	0.021	4639	tags=74%, list=27%, signal=101%	
