NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAX	88	9.458694458007812	0.018725028	No	
row_1	TCIRG1	327	6.947288990020752	0.022393087	No	
row_2	IDH1	502	6.087252616882324	0.027616188	No	
row_3	GPX4	1854	3.3979363441467285	-0.04241021	No	
row_4	ATP6V1F	2298	2.9525766372680664	-0.0607379	No	
row_5	CS	3561	1.9098260402679443	-0.12933823	No	
row_6	ISCU	3976	1.6274728775024414	-0.14931932	No	
row_7	COX11	4941	1.1178053617477417	-0.20258059	No	
row_8	SLC25A11	4944	1.117477536201477	-0.1998799	No	
row_9	MRPL35	5584	0.8387656211853027	-0.23493825	No	
row_10	PDK4	6162	0.628905713558197	-0.26691887	No	
row_11	PHB2	6235	0.602921187877655	-0.26958746	No	
row_12	NDUFV2	6265	0.5943731069564819	-0.26977614	No	
row_13	TIMM10	6377	0.5596237778663635	-0.27482262	No	
row_14	OPA1	6666	0.4760061204433441	-0.2903766	No	
row_15	ATP6V1G1	6899	0.4078752398490906	-0.3028446	No	
row_16	ATP5MC2	7081	0.35805487632751465	-0.3124714	No	
row_17	MRPL11	7198	0.3307032287120819	-0.3183858	No	
row_18	OXA1L	7807	0.20057618618011475	-0.3532496	No	
row_19	ATP5F1E	7830	0.194206103682518	-0.35403985	No	
row_20	MRPS12	7866	0.18932916224002838	-0.35559863	No	
row_21	COX7A2L	8149	0.13778898119926453	-0.37165618	No	
row_22	SLC25A5	8494	0.07726633548736572	-0.39147303	No	
row_23	MTRR	8534	0.06804047524929047	-0.39357027	No	
row_24	ABCB7	8701	0.04336974769830704	-0.40311772	No	
row_25	NDUFS8	8742	0.037574660032987595	-0.4053499	No	
row_26	NDUFAB1	8968	0.005071628838777542	-0.41842616	No	
row_27	ATP5MF	9007	-1.4005566299601924E-5	-0.42063668	No	
row_28	SDHB	9023	-9.503583423793316E-4	-0.4215069	No	
row_29	UQCRH	9118	-0.009667953476309776	-0.4269508	No	
row_30	LRPPRC	9124	-0.010089486837387085	-0.42721626	No	
row_31	TIMM9	9971	-0.14226967096328735	-0.47607228	No	
row_32	IMMT	9993	-0.147954523563385	-0.47692093	No	
row_33	MTRF1	10061	-0.1614372432231903	-0.4804116	No	
row_34	RHOT1	10087	-0.1647610068321228	-0.4814506	No	
row_35	MRPS15	10216	-0.19446823000907898	-0.48840654	No	
row_36	COX4I1	10491	-0.2546081840991974	-0.5037042	No	
row_37	TIMM8B	10501	-0.256980836391449	-0.5035799	No	
row_38	UQCRB	10503	-0.2573062479496002	-0.5029895	No	
row_39	ATP5MG	10587	-0.27688494324684143	-0.50711983	No	
row_40	RHOT2	10617	-0.2835412323474884	-0.5080921	No	
