NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ME3	1953	3.286893367767334	-0.102212116	No	
row_1	CS	3561	1.9098260402679443	-0.18901037	No	
row_2	MTFR2	5361	0.9342364072799683	-0.29026008	No	
row_3	MDH1	5903	0.7153905630111694	-0.3192353	No	
row_4	NDUFV2	6265	0.5943731069564819	-0.3381733	No	
row_5	NDUFS5	7044	0.3668118715286255	-0.38208613	No	
row_6	C2orf69	7487	0.2680521011352539	-0.4068318	No	
row_7	UQCRHL	7752	0.21082423627376556	-0.42144006	No	
row_8	OXA1L	7807	0.20057618618011475	-0.42389432	No	
row_9	ATP5F1E	7830	0.194206103682518	-0.42451283	No	
row_10	SLC25A51	8380	0.09554734826087952	-0.4560538	No	
row_11	ACO1	8523	0.07028990238904953	-0.46405742	No	
row_12	NDUFS8	8742	0.037574660032987595	-0.47658312	No	
row_13	SUCLG2	8926	0.009900662116706371	-0.48717117	No	
row_14	NDUFAB1	8968	0.005071628838777542	-0.4895337	No	
row_15	ATP5MF	9007	-1.4005566299601924E-5	-0.4917392	No	
row_16	MRPS36	9016	-3.729199816007167E-4	-0.49220228	No	
row_17	SDHB	9023	-9.503583423793316E-4	-0.49254733	No	
row_18	SIRT3	9110	-0.009224780835211277	-0.49750763	No	
row_19	UQCRH	9118	-0.009667953476309776	-0.49788114	No	
row_20	BLOC1S1	9269	-0.028821535408496857	-0.5064897	No	
row_21	ATP5F1EP2	9385	-0.04415952414274216	-0.5130148	No	
row_22	COA6	9741	-0.10062915831804276	-0.5332784	No	
row_23	NDUFB10	9973	-0.1429796814918518	-0.5462013	No	
row_24	COX4I2	10105	-0.16826264560222626	-0.55323434	No	
row_25	COX4I1	10491	-0.2546081840991974	-0.57471716	No	
row_26	UQCRB	10503	-0.2573062479496002	-0.57448334	No	
row_27	ATP5MG	10587	-0.27688494324684143	-0.5783621	No	
row_28	NDUFB8	10642	-0.2898830771446228	-0.5805136	No	
row_29	NDUFA13	10801	-0.3300207853317261	-0.5885653	No	
row_30	IREB2	10841	-0.34124934673309326	-0.589672	No	
row_31	DLST	11153	-0.43684032559394836	-0.606242	No	
row_32	TEFM	11154	-0.4372052252292633	-0.6047598	No	
row_33	UQCC3	11457	-0.536163866519928	-0.62047064	No	
row_34	SLC25A14	11552	-0.5661010146141052	-0.6240074	No	
row_35	COX6B1	11664	-0.5949235558509827	-0.6284331	No	
row_36	SDHA	11810	-0.641370952129364	-0.6346747	No	
row_37	COX7C	11828	-0.6476640701293945	-0.6334657	No	
row_38	NDUFS7	11874	-0.6611036062240601	-0.6338363	No	
row_39	NDUFA4	12168	-0.772903561592102	-0.6482222	No	
row_40	NDUFS2	12203	-0.7847267389297485	-0.64753526	No	
row_41	SDHAF2	12216	-0.790374219417572	-0.6455522	No	
row_42	IDH3A	12280	-0.816435694694519	-0.6464409	No	
row_43	UQCRC1	12353	-0.8453896045684814	-0.6477539	No	
row_44	MDH2	12433	-0.8780769109725952	-0.6493623	No	
row_45	NDUFA11	12568	-0.9364008903503418	-0.6539653	No	
row_46	UQCRFS1P1	12658	-0.9763363003730774	-0.655821	No	
row_47	NDUFA9	12819	-1.0544042587280273	-0.66153306	No	
row_48	UQCRQ	13299	-1.3120225667953491	-0.68488693	No	
row_49	NDUFA2	13362	-1.3463454246520996	-0.68392116	No	
row_50	NDUFAF1	13543	-1.4788916110992432	-0.6893549	Yes	
row_51	SDHC	13566	-1.4938242435455322	-0.68556744	Yes	
row_52	NDUFS6	13601	-1.5115705728530884	-0.68241626	Yes	
row_53	NDUFS3	13731	-1.6074053049087524	-0.6844542	Yes	
row_54	COX7A2	13889	-1.7307751178741455	-0.6876991	Yes	
row_55	IDH3G	13925	-1.7590032815933228	-0.68376714	Yes	
row_56	NDUFB4	14050	-1.8782931566238403	-0.6845965	Yes	
row_57	CYC1	14057	-1.8860586881637573	-0.6785506	Yes	
row_58	NDUFS4	14063	-1.8904919624328613	-0.6724316	Yes	
row_59	COX15	14072	-1.896417498588562	-0.6664667	Yes	
row_60	ATP5F1D	14130	-1.9476184844970703	-0.66317225	Yes	
row_61	UQCR11	14148	-1.9618736505508423	-0.6575078	Yes	
row_62	NDUFS1	14150	-1.9621472358703613	-0.6509137	Yes	
row_63	AFG1L	14222	-2.02341890335083	-0.6481748	Yes	
row_64	ATP5ME	14257	-2.0619006156921387	-0.64315796	Yes	
row_65	ATP5PB	14553	-2.361917018890381	-0.6522729	Yes	
row_66	COX5A	14631	-2.4632315635681152	-0.6483912	Yes	
row_67	UQCRC2	14708	-2.5386762619018555	-0.6441957	Yes	
row_68	NDUFV1	14766	-2.592885732650757	-0.63871366	Yes	
row_69	NDUFA10	14787	-2.6135756969451904	-0.6310139	Yes	
row_70	ATP5PO	14802	-2.6290745735168457	-0.62291336	Yes	
row_71	IDH3B	14840	-2.6764864921569824	-0.615987	Yes	
row_72	UQCRFS1	14880	-2.725820302963257	-0.6090095	Yes	
row_73	NDUFA3	14921	-2.783438205718994	-0.60189474	Yes	
row_74	NDUFB9	14957	-2.834733486175537	-0.5943158	Yes	
row_75	NDUFA8	14965	-2.84342885017395	-0.5850823	Yes	
row_76	NDUFB5	14992	-2.8884167671203613	-0.57679904	Yes	
row_77	FH	15010	-2.9124886989593506	-0.5679118	Yes	
row_78	ATP5PF	15066	-3.003762722015381	-0.56092066	Yes	
row_79	COX6A1	15110	-3.0599753856658936	-0.5530425	Yes	
row_80	NDUFC2	15178	-3.1486127376556396	-0.54625684	Yes	
row_81	ATP5F1A	15265	-3.2690796852111816	-0.54016554	Yes	
row_82	NDUFC1	15282	-3.3019423484802246	-0.5298999	Yes	
row_83	COX6C	15396	-3.4943923950195312	-0.5246119	Yes	
row_84	SDHD	15558	-3.7836246490478516	-0.5211293	Yes	
row_85	NDUFB1	15580	-3.827535629272461	-0.509372	Yes	
row_86	NDUFB6	15588	-3.8428196907043457	-0.4967503	Yes	
row_87	NDUFB3	15616	-3.903435230255127	-0.48508394	Yes	
row_88	UQCR10	15642	-3.9532318115234375	-0.47313267	Yes	
row_89	NDUFA12	15776	-4.220357894897461	-0.4665443	Yes	
row_90	MTFR1	15815	-4.310270309448242	-0.45413715	Yes	
row_91	NDUFA6	15900	-4.541218280792236	-0.44361696	Yes	
row_92	NDUFB11	15906	-4.552684783935547	-0.42847258	Yes	
row_93	COX5B	15913	-4.56729793548584	-0.41333672	Yes	
row_94	ACO2	15968	-4.670464038848877	-0.4006371	Yes	
row_95	ATP5F1C	16030	-4.843791484832764	-0.38775614	Yes	
row_96	SURF1	16031	-4.8448333740234375	-0.37133113	Yes	
row_97	NDUFB7	16060	-4.923641681671143	-0.35626408	Yes	
row_98	ATP5PD	16074	-4.958098888397217	-0.3402096	Yes	
row_99	ATP5F1B	16077	-4.964226245880127	-0.3234959	Yes	
row_100	SUCLA2	16122	-5.08279275894165	-0.30881798	Yes	
row_101	NNT	16148	-5.170717239379883	-0.29273918	Yes	
row_102	COX7B	16150	-5.180792808532715	-0.27523324	Yes	
